geo,year,O,R,I,S,O_raw,R_raw,I_raw,S_raw
FR,1981,,,,0.028683212769152314,,,,1.12
FR,1982,,,,0.0442483453412986,,,,1.15
FR,1983,,,,0.0442483453412986,,,,1.15
FR,1984,,,,0.10216848959287993,,,,1.21
FR,1985,,,,0.21856677945174768,,,,1.27
FR,1986,,,,0.21856677945174768,,,,1.27
FR,1987,,,,0.30483520892847826,,,,1.3
FR,1988,,,,0.30483520892847826,,,,1.3
FR,1989,,,,0.48127290983296134,,,,1.35
FR,1990,0.2398076784118971,0.12495907980977954,,0.6625079849177418,90.4,6.349138991379798,,1.4
FR,1991,0.2376571382145858,0.12537441632518395,,0.7547579214932942,90.3,6.368187186350492,,1.43
FR,1992,0.21688724534020365,0.12578313817205333,,0.828326327766513,89.3,6.386879319362644,,1.46
FR,1993,0.15471880097090013,0.12607636397024308,,0.828326327766513,85.8,6.400257445308821,,1.46
FR,1994,0.21488414870934713,0.12622173515483356,,0.7547579214932942,89.2,6.406879986069314,,1.43
FR,1995,0.28314713407785586,0.12596679511194322,,0.6282236860128969,92.3,6.395261598115449,,1.39
FR,1996,0.3002575479542978,0.12537441632518395,,0.6625079849177418,93.0,6.368187186350492,,1.4
FR,1997,0.4136058878950967,0.12476804044807928,,0.5559719860262102,97.2,6.340359303727752,,1.37
FR,1998,0.536911386697633,0.12418619732902776,,0.40740170029839234,101.4,6.313548046277095,,1.33
FR,1999,0.6119644163928519,0.12342957856203171,,0.5187270901670396,104.0,6.278521424165844,,1.36
FR,2000,0.7379619381792281,0.12264967540632986,,0.4440280139737905,108.9,6.242223265455165,,1.34
FR,2001,0.7666039854116322,0.12205917775956823,,0.6282236860128969,110.2,6.214608098422191,,1.39
FR,2002,0.7402437154480227,0.12180179847427643,,0.7259686727152125,109.0,6.202535517187922,,1.42
FR,2003,0.7168528659221438,0.12252430084597143,,0.5187270901670396,108.0,6.236369590203704,,1.36
FR,2004,0.7601923215881029,0.3773479393024941,,0.5187270901670396,109.9,13.608107866715102,,1.36
FR,2005,0.7687145209170196,0.42289146040719783,,0.3374920150822581,110.3,14.561792751107173,,1.31
FR,2006,0.7949292547483373,0.466514053219753,,0.40740170029839234,111.6,15.449514224210803,,1.33
FR,2007,0.8188728173308146,0.5,,0.3374920150822581,112.9,16.12317421937106,,1.31
FR,2008,0.755851420613647,0.5276109273957889,,0.40740170029839234,109.7,16.678375727919207,,1.33
FR,2009,0.37685710450412824,0.5450737354581996,,0.6282236860128969,95.9,17.031061144229476,,1.39
FR,2010,0.49556267729194536,0.5582964319781462,,0.5925982997016077,100.0,17.299558433468825,,1.38
FR,2011,0.5777586222791052,0.5834757133121573,,,102.8,17.81584433716494,,
FR,2012,0.5044373227080543,0.5942659466309776,0.22580180344645132,,100.3,18.039675109669915,14.97,
FR,2013,0.4866908270599484,0.6031681391754229,,,99.7,18.22575786877433,,
FR,2014,0.4542745761824916,0.6103395869181558,0.19222019648608216,,98.6,18.376698697001423,14.7,
FR,2015,0.49556267729194536,0.6176407210904893,0.424282767012049,,100.0,18.53140502562079,16.2,
FR,2016,0.5073951926946574,0.626029994228697,0.3094682773934585,,100.4,18.710568379070217,15.54,
FR,2017,0.5748692527165783,0.6337188523122833,0.6138386664268272,,102.7,18.876198081790953,17.22,
FR,2018,0.5978251163987819,0.6411179867687147,0.575717232987951,,103.5,19.036977170253756,17.01,
FR,2019,0.614770617537907,0.6487926996927165,0.6523247127005164,,104.1,19.20529489588728,17.44,
FR,2020,0.29530880407345245,0.6555787477774108,0.7424683176666391,,92.8,19.355531653833694,18.01,
FR,2021,0.44256789122298773,0.6625079849177419,,,98.2,19.51039588365535,,
FR,2022,0.4367375645448554,0.6690266815219368,0.6725427172013226,,98.0,19.657514398404082,17.56,
FR,2023,0.4572096818914675,0.6750023206720145,,,98.7,19.79366755127736,,
FR,2024,,0.6782259785494393,0.37726858753897663,,,19.86765484946502,15.94,
