geo,year,industrial_production_i15,berd_pc_gdp,env_tax_env_mio_eur,ict_spec_pc_ent_ge10,solar_collector_ths_m2,heat_pump_cap_ath_mw,road_elec_ktoe,sdg_13_50_mio_eur
BE,1981,,1.0,,,,,,
BE,1982,,1.05,,,,,,
BE,1983,,1.1,,,,,,
BE,1984,,1.12,,,,,,
BE,1985,,1.16,,,,,,
BE,1986,,1.18,,,,,,
BE,1987,,1.19,,,,,,
BE,1988,,1.17,,,,,,
BE,1989,,1.1,,,,,,
BE,1990,,,,,34.0,0.0,,
BE,1991,,1.08,,,36.0,0.0,,
BE,1992,,1.16,,,36.0,0.0,,
BE,1993,,1.22,,,36.0,0.0,,
BE,1994,,1.21,,,36.0,0.0,,
BE,1995,,1.19,,,36.0,0.0,,
BE,1996,,1.26,,,36.0,0.0,,
BE,1997,,1.31,,,36.0,0.0,,
BE,1998,,1.32,,,36.0,0.0,,
BE,1999,,1.38,,,38.0,0.0,,
BE,2000,71.6,1.42,,,41.0,0.0,,
BE,2001,74.6,1.51,,,44.0,0.0,,
BE,2002,75.1,1.36,,,50.0,0.0,,
BE,2003,76.2,1.31,,,58.0,0.0,,
BE,2004,81.0,1.28,,,74.0,0.0,,
BE,2005,84.1,1.24,,,77.0,0.0,,
BE,2006,89.4,1.29,,,110.0,0.0,,
BE,2007,96.3,1.32,,,139.0,0.0,,
BE,2008,99.9,1.34,4492.06,,176.0,0.0,,
BE,2009,88.9,1.34,4435.97,,319.0,0.0,,
BE,2010,97.0,1.32,4005.88,,374.9,0.0,,
BE,2011,101.7,,4495.79,,409.7,0.0,,
BE,2012,99.9,,4700.49,27.88,447.5,0.0,,
BE,2013,99.9,,4708.35,,570.0,0.0,0.344,
BE,2014,101.2,,4545.87,26.15,613.5,0.0,0.645,142.74
BE,2015,100.0,,4671.59,28.25,659.5,0.0,1.083,46.83
BE,2016,104.5,,5490.17,25.7,659.5,0.0,2.442,100.92
BE,2017,107.5,,6093.53,29.4,686.4,0.0,4.007,104.92
BE,2018,108.7,,6178.02,28.23,705.8,0.0,6.062,80.68
BE,2019,114.0,,6521.49,27.96,724.2,0.0,10.31,99.71
BE,2020,109.7,,5826.63,30.26,740.3,0.0,11.685,119.25
BE,2021,128.1,,6348.64,,749.2,0.0,28.53,282.57
BE,2022,127.2,,6236.24,32.7,756.4,3653.15,52.089,395.52
BE,2023,120.6,,7056.98,,760.8,4224.91,94.979,241.19
BE,2024,,,,29.11,760.4,4953.32,149.888,159.95
DE,1990,,,,,348.0,0.0,,
DE,1991,76.9,1.71,,,478.0,0.0,,
DE,1992,75.1,1.61,,,594.0,0.0,,
DE,1993,69.5,1.53,,,762.0,0.0,,
DE,1994,71.6,1.45,,,957.0,0.0,,
DE,1995,72.3,1.45,,,1166.0,0.0,,
DE,1996,72.4,1.45,,,1459.0,0.0,,
DE,1997,74.5,1.51,,,1816.0,0.0,,
DE,1998,77.2,1.55,,,2182.0,0.0,,
DE,1999,78.1,1.68,,,2624.0,0.0,,
DE,2000,82.5,1.74,,,3251.0,0.0,,
DE,2001,82.7,1.73,,,4149.0,0.0,,
DE,2002,81.8,1.73,,,4679.0,0.0,,
DE,2003,82.3,1.77,,,5399.0,811.139,,
DE,2004,84.8,1.75,,,6145.0,807.352,,
DE,2005,87.7,1.74,,,7085.0,828.626,,
DE,2006,92.7,1.78,,,8475.0,994.566,,
DE,2007,98.3,1.77,,,9403.0,1202.543,,
DE,2008,98.3,1.86,22985.08,,11278.0,1515.807,,
DE,2009,82.2,1.91,21811.33,,12832.0,1790.771,,
DE,2010,91.3,1.9,22473.84,,13914.0,2121.179,,
DE,2011,97.8,,25114.25,,15100.0,2507.414,,
DE,2012,97.5,,25357.83,21.28,16140.0,2963.898,,
DE,2013,97.6,,24858.01,,17020.0,3404.587,3.439,
DE,2014,98.9,,22852.77,22.29,17746.0,3832.256,4.643,5130.61
DE,2015,99.7,,23109.57,21.37,18339.0,4284.896,6.793,7406.15
DE,2016,100.6,,21940.89,22.23,18812.0,4775.732,9.286,8534.08
DE,2017,103.7,,23572.17,18.96,19091.0,5345.795,13.5,6729.6
DE,2018,104.7,,24240.6,20.05,19269.0,5973.131,19.518,6611.98
DE,2019,101.3,,42567.92,19.05,19326.0,6650.004,28.891,6811.79
DE,2020,91.6,,41471.95,19.42,21416.0,7627.961,57.18,7698.28
DE,2021,95.8,,47363.12,,22057.0,8480.378,119.175,7844.73
DE,2022,95.5,,37056.68,22.23,22415.0,10426.967,211.084,9476.29
DE,2023,93.9,,33859.85,,22395.0,11227.236,388.994,9464.62
DE,2024,,,,22.86,22157.0,12631.983,507.997,10686.55
FR,1981,,1.12,,,,,,
FR,1982,,1.15,,,,,,
FR,1983,,1.15,,,,,,
FR,1984,,1.21,,,,,,
FR,1985,,1.27,,,,,,
FR,1986,,1.27,,,,,,
FR,1987,,1.3,,,,,,
FR,1988,,1.3,,,,,,
FR,1989,,1.35,,,,,,
FR,1990,90.4,1.4,,,571.0,0.0,,
FR,1991,90.3,1.43,,,582.0,0.0,,
FR,1992,89.3,1.46,,,593.0,0.0,,
FR,1993,85.8,1.46,,,601.0,0.0,,
FR,1994,89.2,1.43,,,605.0,0.0,,
FR,1995,92.3,1.39,,,598.0,0.0,,
FR,1996,93.0,1.4,,,582.0,0.0,,
FR,1997,97.2,1.37,,,566.0,0.0,,
FR,1998,101.4,1.33,,,551.0,0.0,,
FR,1999,104.0,1.36,,,532.0,0.0,,
FR,2000,108.9,1.34,,,513.0,0.0,,
FR,2001,110.2,1.39,,,499.0,0.0,,
FR,2002,109.0,1.42,,,493.0,0.0,,
FR,2003,108.0,1.36,,,510.0,0.0,,
FR,2004,109.9,1.36,,,527.0,1538.19,,
FR,2005,110.3,1.31,,,583.0,3610.548,,
FR,2006,111.6,1.33,,,744.0,6877.322,,
FR,2007,112.9,1.31,,,917.0,10947.709,,
FR,2008,109.7,1.33,14206.43,,1139.0,15360.078,,
FR,2009,95.9,1.39,14162.63,,1302.0,19121.799,,
FR,2010,100.0,1.38,14970.83,,1447.0,22506.86,,
FR,2011,102.8,,15716.44,,2204.051,24767.759,,
FR,2012,100.3,,16297.65,14.97,2461.061,27747.055,,
FR,2013,99.7,,17094.08,,2663.917,30877.94,4.921,
FR,2014,98.6,,17351.09,14.7,2806.867,34080.783,6.937,2921.43
FR,2015,100.0,,18664.24,16.2,2966.639,37641.276,9.45,2792.83
FR,2016,100.4,,19453.62,15.54,3209.298,41623.713,12.644,3334.84
FR,2017,102.7,,21903.1,17.22,3426.476,46009.213,16.547,4377.38
FR,2018,103.5,,23272.32,17.01,3632.604,50969.224,20.759,5088.76
FR,2019,104.1,,23381.9,17.44,3787.529,57846.285,28.161,5958.78
FR,2020,92.8,,20596.83,18.01,3915.897,65020.718,36.482,6715.53
FR,2021,98.2,,22880.46,,4064.834,73131.03,76.296,5781.84
FR,2022,98.0,,22908.66,17.56,4218.715,81632.217,131.958,7667.73
FR,2023,98.7,,22085.89,,4378.871,90118.604,194.533,7182.99
FR,2024,,,,15.94,4421.371,96106.592,277.12,7220.85
EE,1990,,,,,0.0,0.0,,
EE,1991,,,,,0.0,0.0,,
