file,size_bytes,sha256_1mb_prefix
14852709.zip,76134552,58a49c1790e1863f61617c3fc7f322e2203be738c5443ab0c37b0ce311a4a7f1
estat_avia_paoac.tsv.gz,56015575,078eeaeaffa750dab55c68321d86b116b6a29474f2d8d481c53fc158ff968c35
estat_env_ac_taxind2.tsv.gz,1008702,d0975d6fd1d69f180b84f6f31b2f1b21c7976834f3cc9ce377b69fb38d123390
estat_isoc_ske_itrcrn2.tsv.gz,482154,09f6e09b7f02887f2bb253b43c955ad3e5d8f157cb735f75b14678787155e3be
estat_isoc_ske_itspe.tsv.gz,9990,8ff1c59bb84b38326e7fcfb1d04b722cc2319520bc767bfe2d33cdbb10fecd3f
estat_nrg_cb_rw.tsv.gz,675582,183726f40a97efa87cbd110ef332366ce0ddb4e30be7cfdab36051c4be2b3696
estat_nrg_inf_hptc.tsv.gz,36593,da1250ea9fa5dae1c718f9b9954e43d698e71f53c808d5a3017771044b64b83c
estat_nrg_inf_stcs.tsv.gz,3439,524ad3b7991cce38d8d14d0b4aa71473e7147cf7cb9d61ed739be5c9f7e5d0ac
estat_rd_e_berdfund.tsv.gz,1088978,7311489773ea354d39d9b04026658eceb929c43c36b98541586af18148ccf736
estat_rd_e_berdind.tsv.gz,389166,4dec53f5b84e60abf3ec46e5bfab7cb319774c25494b4c318eff8ad26d3262c6
estat_rd_e_gerdsobj92.tsv.gz,295621,417baf36abe032ac1567c0d1697fb12c53e0835d23f5550fc982620628d67f63
estat_rd_p_bempocc.tsv.gz,254082,5750305d85615dfafebee1b03ca1dec9f6d7ca3b60def46930ff9aff18d7b1ad
estat_sdg_13_50.tsv.gz,1284,ce8dd0d41fa4a66ceec2639101b12df8e11e41d293debb51fb1ebd005b8a3613
estat_sts_inpr_a.tsv.gz,1513796,cec1876927b5d0b6ac4e0d8f9d4d57ebd7d49a07c9fd400ed824b797af32a058
estat_ten00127.tsv.gz,16961,17ba872eaf095cb5f9957f44a7a6e193692bf3c592d24dac749b16f29576c29e
