geo,year,industrial_production_i15,berd_pc_gdp,env_tax_env_mio_eur,ict_spec_pc_ent_ge10,solar_collector_ths_m2,heat_pump_cap_ath_mw,road_elec_ktoe,sdg_13_50_mio_eur
BE,1981,,1.0,,,,,,
BE,1982,,1.05,,,,,,
BE,1983,,1.1,,,,,,
BE,1984,,1.12,,,,,,
BE,1985,,1.16,,,,,,
BE,1986,,1.18,,,,,,
BE,1987,,1.19,,,,,,
BE,1988,,1.17,,,,,,
BE,1989,,1.1,,,,,,
BE,1990,,,,,34.0,0.0,,
BE,1991,,1.08,,,36.0,0.0,,
BE,1992,,1.16,,,36.0,0.0,,
BE,1993,,1.22,,,36.0,0.0,,
BE,1994,,1.21,,,36.0,0.0,,
BE,1995,,1.19,,,36.0,0.0,,
BE,1996,,1.26,,,36.0,0.0,,
BE,1997,,1.31,,,36.0,0.0,,
BE,1998,,1.32,,,36.0,0.0,,
BE,1999,,1.38,,,38.0,0.0,,
BE,2000,71.6,1.42,,,41.0,0.0,,
BE,2001,74.6,1.51,,,44.0,0.0,,
BE,2002,75.1,1.36,,,50.0,0.0,,
BE,2003,76.2,1.31,,,58.0,0.0,,
BE,2004,81.0,1.28,,,74.0,0.0,,
BE,2005,84.1,1.24,,,77.0,0.0,,
BE,2006,89.4,1.29,,,110.0,0.0,,
BE,2007,96.3,1.32,,,139.0,0.0,,
BE,2008,99.9,1.34,4492.06,,176.0,0.0,,
BE,2009,88.9,1.34,4435.97,,319.0,0.0,,
BE,2010,97.0,1.32,4005.88,,374.9,0.0,,
BE,2011,101.7,,4495.79,,409.7,0.0,,
BE,2012,99.9,,4700.49,27.88,447.5,0.0,,
BE,2013,99.9,,4708.35,,570.0,0.0,0.344,
BE,2014,101.2,,4545.87,26.15,613.5,0.0,0.645,142.74
BE,2015,100.0,,4671.59,28.25,659.5,0.0,1.083,46.83
BE,2016,104.5,,5490.17,25.7,659.5,0.0,2.442,100.92
BE,2017,107.5,,6093.53,29.4,686.4,0.0,4.007,104.92
BE,2018,108.7,,6178.02,28.23,705.8,0.0,6.062,80.68
BE,2019,114.0,,6521.49,27.96,724.2,0.0,10.31,99.71
BE,2020,109.7,,5826.63,30.26,740.3,0.0,11.685,119.25
BE,2021,128.1,,6348.64,,749.2,0.0,28.53,282.57
BE,2022,127.2,,6236.24,32.7,756.4,3653.15,52.089,395.52
BE,2023,120.6,,7056.98,,760.8,4224.91,94.979,241.19
BE,2024,,,,29.11,760.4,4953.32,149.888,159.95
