t,O,R,I,demand,S
0.000000,0.494236,0.643084,0.596524,0.414040,0.296172
1.000000,0.463571,0.661686,0.601557,0.396161,0.304477
2.000000,0.555644,0.690166,0.644883,0.403210,0.279850
3.000000,0.527512,0.645699,0.672245,0.402333,0.299810
4.000000,0.609439,0.567165,0.603258,0.411807,0.330202
5.000000,0.596441,0.627413,0.616567,0.418147,0.271603
6.000000,0.644083,0.536806,0.488069,0.390862,0.278526
7.000000,0.668691,0.607472,0.526273,0.420447,0.276934
8.000000,0.639209,0.551667,0.558503,0.420373,0.327152
9.000000,0.662149,0.571511,0.549599,0.391960,0.287479
10.000000,0.631201,0.547721,0.495657,0.451715,0.285421
11.000000,0.604198,0.541436,0.537490,0.415614,0.336075
12.000000,0.699712,0.491149,0.399500,0.395358,0.340587
13.000000,0.575904,0.482235,0.444254,0.400188,0.334709
14.000000,0.644584,0.561955,0.439509,0.394812,0.297146
15.000000,0.572803,0.497994,0.376350,0.406095,0.337479
16.000000,0.559229,0.441857,0.314098,0.386350,0.298968
17.000000,0.584729,0.498142,0.380643,0.413727,0.322039
18.000000,0.589742,0.486137,0.391146,0.388781,0.345102
19.000000,0.538707,0.502681,0.383055,0.448562,0.308234
20.000000,0.563722,0.464508,0.372711,0.387431,0.315469
21.000000,0.533468,0.501753,0.434689,0.362983,0.342329
22.000000,0.475882,0.458897,0.399869,0.410954,0.373746
23.000000,0.389697,0.477798,0.500545,0.402577,0.312072
24.000000,0.415743,0.461046,0.478338,0.387808,0.350556
25.000000,0.394061,0.619085,0.505572,0.439814,0.285902
26.000000,0.373762,0.558439,0.589213,0.379382,0.355719
27.000000,0.390003,0.624765,0.572077,0.414541,0.311351
28.000000,0.307414,0.588719,0.558207,0.454405,0.309669
29.000000,0.364662,0.534627,0.569471,0.419723,0.353719
30.000000,0.407924,0.610583,0.556287,0.424157,0.345510
31.000000,0.371513,0.597296,0.657586,0.417258,0.351995
32.000000,0.408304,0.660216,0.630079,0.459056,0.339311
33.000000,0.354510,0.648102,0.679112,0.418874,0.348581
34.000000,0.426477,0.627879,0.546686,0.422988,0.340892
35.000000,0.369614,0.684843,0.630941,0.397600,0.350547
36.000000,0.403988,0.589072,0.610984,0.417096,0.313642
37.000000,0.452819,0.663147,0.551935,0.426507,0.367452
38.000000,0.425141,0.651080,0.554036,0.464320,0.282131
39.000000,0.504346,0.613057,0.526452,0.457532,0.338743
40.000000,0.589638,0.594663,0.519682,0.410183,0.319279
41.000000,0.525964,0.586084,0.488716,0.378399,0.401074
42.000000,0.539673,0.650618,0.416134,0.426851,0.436948
43.000000,0.533309,0.503611,0.412264,0.430950,0.363800
44.000000,0.639782,0.535233,0.350620,0.413299,0.381207
45.000000,0.624693,0.449470,0.397621,0.450463,0.408796
46.000000,0.643820,0.523070,0.338142,0.406135,0.347407
47.000000,0.653779,0.518118,0.362254,0.400461,0.323667
48.000000,0.596380,0.506630,0.287707,0.417334,0.361496
49.000000,0.709034,0.471950,0.424302,0.416520,0.326668
50.000000,0.623024,0.520997,0.433131,0.434748,0.449908
51.000000,0.646860,0.478418,0.419437,0.421062,0.420485
52.000000,0.702923,0.394423,0.408970,0.434567,0.375495
53.000000,0.579713,0.360180,0.369819,0.425078,0.349904
54.000000,0.635161,0.422817,0.420571,0.386539,0.363876
55.000000,0.620868,0.499623,0.525970,0.423686,0.395478
56.000000,0.582713,0.442665,0.498561,0.416304,0.291028
57.000000,0.574352,0.490889,0.529091,0.414223,0.368154
58.000000,0.615027,0.496441,0.545570,0.417171,0.355907
59.000000,0.472875,0.505687,0.587737,0.466394,0.387304
60.000000,0.541361,0.499230,0.627773,0.407212,0.369359
61.000000,0.493284,0.514857,0.692225,0.441847,0.303918
62.000000,0.475762,0.547127,0.618673,0.440315,0.373716
63.000000,0.350335,0.534569,0.650706,0.457524,0.420095
64.000000,0.483959,0.515165,0.646529,0.393674,0.412408
65.000000,0.404068,0.566702,0.687034,0.445379,0.308266
66.000000,0.390386,0.596062,0.597318,0.423696,0.407205
67.000000,0.309418,0.648541,0.647604,0.416961,0.373319
68.000000,0.365422,0.616035,0.579842,0.435941,0.339687
