geo,year,industrial_production_i15,berd_pc_gdp,env_tax_env_mio_eur,ict_spec_pc_ent_ge10,solar_collector_ths_m2,heat_pump_cap_ath_mw,road_elec_ktoe,sdg_13_50_mio_eur
FR,1981,,1.12,,,,,,
FR,1982,,1.15,,,,,,
FR,1983,,1.15,,,,,,
FR,1984,,1.21,,,,,,
FR,1985,,1.27,,,,,,
FR,1986,,1.27,,,,,,
FR,1987,,1.3,,,,,,
FR,1988,,1.3,,,,,,
FR,1989,,1.35,,,,,,
FR,1990,90.4,1.4,,,571.0,0.0,,
FR,1991,90.3,1.43,,,582.0,0.0,,
FR,1992,89.3,1.46,,,593.0,0.0,,
FR,1993,85.8,1.46,,,601.0,0.0,,
FR,1994,89.2,1.43,,,605.0,0.0,,
FR,1995,92.3,1.39,,,598.0,0.0,,
FR,1996,93.0,1.4,,,582.0,0.0,,
FR,1997,97.2,1.37,,,566.0,0.0,,
FR,1998,101.4,1.33,,,551.0,0.0,,
FR,1999,104.0,1.36,,,532.0,0.0,,
FR,2000,108.9,1.34,,,513.0,0.0,,
FR,2001,110.2,1.39,,,499.0,0.0,,
FR,2002,109.0,1.42,,,493.0,0.0,,
FR,2003,108.0,1.36,,,510.0,0.0,,
FR,2004,109.9,1.36,,,527.0,1538.19,,
FR,2005,110.3,1.31,,,583.0,3610.548,,
FR,2006,111.6,1.33,,,744.0,6877.322,,
FR,2007,112.9,1.31,,,917.0,10947.709,,
FR,2008,109.7,1.33,14206.43,,1139.0,15360.078,,
FR,2009,95.9,1.39,14162.63,,1302.0,19121.799,,
FR,2010,100.0,1.38,14970.83,,1447.0,22506.86,,
FR,2011,102.8,,15716.44,,2204.051,24767.759,,
FR,2012,100.3,,16297.65,14.97,2461.061,27747.055,,
FR,2013,99.7,,17094.08,,2663.917,30877.94,4.921,
FR,2014,98.6,,17351.09,14.7,2806.867,34080.783,6.937,2921.43
FR,2015,100.0,,18664.24,16.2,2966.639,37641.276,9.45,2792.83
FR,2016,100.4,,19453.62,15.54,3209.298,41623.713,12.644,3334.84
FR,2017,102.7,,21903.1,17.22,3426.476,46009.213,16.547,4377.38
FR,2018,103.5,,23272.32,17.01,3632.604,50969.224,20.759,5088.76
FR,2019,104.1,,23381.9,17.44,3787.529,57846.285,28.161,5958.78
FR,2020,92.8,,20596.83,18.01,3915.897,65020.718,36.482,6715.53
FR,2021,98.2,,22880.46,,4064.834,73131.03,76.296,5781.84
FR,2022,98.0,,22908.66,17.56,4218.715,81632.217,131.958,7667.73
FR,2023,98.7,,22085.89,,4378.871,90118.604,194.533,7182.99
FR,2024,,,,15.94,4421.371,96106.592,277.12,7220.85
year,O,R,I
2008,14206.43,1.39,4576.95
2009,14162.63,1.14,4561.52
2010,14970.83,1.2,4997.21
2011,15716.44,0.86,5198.66
2012,16297.65,0.9,5378.91
2013,17094.08,0.76,5646.38
2014,17351.09,0.76,5699.82
2015,18664.24,0.78,5910.48
2016,19453.62,0.74,5965.44
2017,21903.1,0.78,5137.68
2018,23272.32,0.82,4956.9
2019,23381.9,0.68,5193.03
2020,20596.83,0.65,4737.26
2021,22880.46,0.69,5434.46
2022,22908.66,0.52,5547.94
2023,22085.89,0.45,5187.7
main
