geo,year,O_prod_index,R_renew_TJ,I_highered_share,S1_rd_eur_hab,S2_training_pct,S3_rd_personnel,D_envtax_mio
DE,1995,75.0,107828.0,0.4278170134249538,343.3,3.9,129370.0,
DE,1996,74.9,108054.0,0.42021276595744683,340.7,5.3,126392.0,
DE,1997,77.1,163905.0,0.43121877365632094,351.0,5.7,132687.0,
DE,1998,80.3,173983.0,,367.2,5.9,133529.0,
DE,1999,81.5,170898.0,0.4333559162272821,409.8,5.9,150150.0,
DE,2000,85.5,182629.0,0.4400953821100384,433.3,5.8,153120.0,
DE,2001,85.5,185700.0,0.44408058243910997,441.7,5.8,157836.0,
DE,2002,84.5,187100.0,0.4131636192603915,448.2,5.7,155440.0,
DE,2003,85.0,259993.0,0.44588992137240885,460.8,5.8,161980.0,
DE,2004,88.6,286517.0,0.44981995107067263,464.8,5.8,162239.0,
DE,2005,91.3,293684.0,0.46259469696969696,468.5,6.2,166874.0,
DE,2006,96.2,329834.0,0.4461526414700355,499.1,6.0,171063.0,
DE,2007,101.7,346359.0,0.4481281478789137,522.8,6.1,174307.0,
DE,2008,102.3,397448.0,0.4613456567713637,560.4,5.9,180295.0,22985.08
DE,2009,85.6,375494.0,0.47253227714623736,552.1,6.1,183214.0,21811.33
DE,2010,95.1,455472.0,0.4812425514275351,574.3,5.7,187000.0,22473.84
DE,2011,101.8,409219.0,0.4807692307692308,,5.5,,25114.25
DE,2012,101.0,457500.0,0.4853512895438953,,5.0,,25357.83
DE,2013,100.9,464507.0,0.4849315068493151,,5.0,,24858.01
DE,2014,102.2,390187.0,0.4741496056719509,,5.0,,22852.77
DE,2015,103.7,392543.0,0.47345073262535287,,4.9,,23109.57
DE,2016,104.7,378549.0,0.4785029468480947,,5.1,,21940.89
DE,2017,107.3,384427.0,0.4764106539675508,,5.1,,23572.17
DE,2018,108.4,399364.0,0.4820923252822638,,5.1,,24240.6
DE,2019,104.7,403882.0,0.48761264524354553,,5.1,,42567.92
DE,2020,95.5,388273.0,0.4879539733908666,,4.0,,41471.95
DE,2021,100.0,446150.0,0.49292749025051225,,3.8,,47363.12
DE,2022,99.6,466765.0,0.48674429313860934,,4.5,,37056.68
DE,2023,97.3,402565.0,0.4893744387907812,,4.6,,33859.85
DE,2024,92.7,409565.0,0.49528899852674135,,4.6,,
FR,1995,93.4,392308.0,0.2480916030534351,282.2,2.0,66618.0,
FR,1996,94.4,421826.0,0.24759805348750152,290.7,2.0,68487.0,
FR,1997,98.6,381462.0,0.2500844737286704,288.3,1.9,72023.0,
FR,1998,102.9,382455.0,0.2631940567698716,292.3,2.0,71717.0,
FR,1999,105.8,362263.0,0.2707929534392902,310.1,2.2,75390.0,
FR,2000,110.4,346072.0,0.27788054968287523,319.6,2.4,81012.0,
FR,2001,111.6,350989.0,0.2868951342656718,340.8,2.3,88479.0,
FR,2002,110.4,329565.0,0.2868314606741573,355.5,2.2,95294.0,
FR,2003,109.4,351420.0,0.2958124771090221,349.9,2.3,100646.0,
FR,2004,112.1,353986.0,0.30088043894347327,361.6,2.1,108752.0,
FR,2005,112.2,353430.0,0.3136163982430454,358.5,2.3,106837.0,
FR,2006,113.1,313053.0,0.3123405925053953,378.2,2.2,113521.0,
FR,2007,114.4,306405.0,0.3336345420971987,388.9,2.4,124577.0,
FR,2008,111.5,321314.0,0.35071128354348524,402.5,2.4,128373.0,14206.43
FR,2009,97.2,335539.0,0.35039693402682726,409.2,2.3,133536.0,14162.63
FR,2010,101.9,373833.0,0.35555473208330246,412.3,2.4,,14970.83
FR,2011,104.5,309504.408,0.369278766746192,,2.4,,15716.44
FR,2012,101.8,359896.338,0.38354637336504166,,2.6,,16297.65
FR,2013,101.6,391288.006,0.3952918097106425,,2.2,,17094.08
FR,2014,100.5,317628.132,0.4146761351409512,,2.3,,17351.09
FR,2015,102.2,340138.043,0.4324558240173098,,2.2,,18664.24
FR,2016,102.7,365018.993,0.4411462576600192,,2.2,,19453.62
FR,2017,104.8,355009.938,0.4600744284954811,,2.4,,21903.1
FR,2018,105.5,350684.013,0.4720505568939632,,2.3,,23272.32
FR,2019,105.9,348839.181,0.4893509298950282,,2.2,,23381.9
FR,2020,94.6,325353.657,0.5110391327340033,,2.4,,20596.83
FR,2021,100.0,369863.373,0.5066440937839392,,3.2,,22880.46
FR,2022,100.4,339907.309,0.5056536461482646,,3.6,,22908.66
FR,2023,101.0,344072.887,0.5225265949431938,,3.8,,22085.89
FR,2024,101.1,338857.066,0.5356340381402316,,3.8,,
IT,1995,112.4,45876.0,0.09987865416436845,78.8,1.7,27104.0,
IT,1996,111.4,43858.0,0.10860976033344913,92.0,1.9,27735.0,
IT,1997,115.1,48738.0,0.11328689709554476,94.9,1.9,27612.0,
IT,1998,117.3,51504.0,0.12570490244798305,96.9,2.6,27333.0,
IT,1999,117.4,54977.0,0.131345136911516,99.9,3.1,26192.0,
IT,2000,121.1,59859.0,0.13681091947942017,109.6,3.2,26099.0,
IT,2001,120.2,62770.0,0.14675305426750515,116.9,2.6,26550.0,
IT,2002,118.6,97526.0,0.15532278841889638,123.8,3.3,28019.0,
IT,2003,117.3,153281.0,0.1560091081911049,121.8,3.0,26866.0,
IT,2004,118.4,101031.0,0.16911088987593811,126.0,2.5,27594.0,
IT,2005,116.3,170513.0,0.17809125401303627,134.4,2.3,27939.0,
IT,2006,119.9,201808.0,0.1837500486059805,139.7,2.8,30006.0,
IT,2007,123.0,276483.0,0.19044077350661553,159.9,2.7,32871.0,
IT,2008,119.1,330973.0,0.20329071265734958,170.6,2.8,,16813.05
IT,2009,96.8,323416.0,0.20101179062461752,170.5,2.5,38143.0,19199.48
IT,2010,103.4,307127.0,0.20582129045389783,173.4,2.5,41674.0,19257.87
IT,2011,103.9,201410.0,0.21057910789953121,,2.3,,22565.19
IT,2012,97.7,286839.0,0.22533525892304518,,2.3,,24490.66
IT,2013,94.6,287443.0,0.23708257885206555,,2.0,,26034.76
IT,2014,93.6,251259.0,0.24322258783568623,,2.1,,29046.39
IT,2015,95.4,284711.0,0.25275731380147337,,2.1,,27062.82
IT,2016,96.6,275557.0,0.2555221960111516,,2.2,,28314.66
IT,2017,99.6,300301.325,0.26577884510424626,,2.5,,26811.01
IT,2018,101.3,279391.463,0.2765670883840056,,2.3,,26447.82
IT,2019,100.2,280006.374,0.2809902662340549,,2.5,,27980.82
IT,2020,89.2,270594.331,0.2777637816915924,,2.4,,25291.54
IT,2021,100.0,301835.65,0.2772173332379385,,1.8,,25343.91
IT,2022,99.6,257356.029,0.27361205343565026,,1.8,,21085.28
IT,2023,97.2,233423.434,0.28150290365464004,,1.8,,24198.44
IT,2024,94.3,226717.561,0.2932409012131716,,1.3,,
ES,1995,101.3,134271.0,0.13473389355742296,44.4,1.3,10803.0,
ES,1996,100.6,135062.0,0.15665479591437403,48.9,1.2,11100.0,
ES,1997,107.5,135628.0,0.1633274254450181,50.0,1.1,12009.0,
ES,1998,113.3,141373.0,0.1706103070679225,61.7,1.2,13902.0,
ES,1999,116.3,142085.0,0.18433232169954475,65.2,1.1,15178.0,
ES,2000,121.0,139694.0,0.20024267243013688,76.6,1.0,20869.0,
ES,2001,119.5,140223.0,0.20138813183618592,80.6,1.0,18959.0,
ES,2002,119.4,141531.0,0.2127909107568261,95.8,0.9,24632.0,
ES,2003,121.2,141738.0,0.2226450999048525,106.7,1.0,27581.0,
ES,2004,123.6,143357.0,0.2440547176429323,114.9,0.9,32054.0,
ES,2005,123.8,144048.0,0.2520111750647952,127.4,,35034.0,
ES,2006,128.3,154430.0,0.2684093185563346,149.9,1.3,39936.0,
ES,2007,131.4,155774.0,0.2808929294187241,167.6,1.3,42101.0,
ES,2008,122.1,151843.0,0.28555934304307407,178.3,1.1,46375.0,6966.61
ES,2009,102.3,155249.0,0.29279356678923674,165.1,1.0,46153.0,6306.04
ES,2010,103.2,152894.0,0.3010597978663672,163.2,1.0,45377.0,6396.44
ES,2011,101.0,158687.0,0.31619537275064263,,0.9,,5957.06
ES,2012,94.4,161171.0,0.33011927719448614,,0.9,,5563.73
ES,2013,92.6,156777.0,0.34393574865553356,,0.9,,7293.89
ES,2014,94.0,156350.0,0.3574740717142756,,1.1,,7419.14
ES,2015,97.1,164376.0,0.3576499388004896,,1.3,,8700.32
ES,2016,98.5,150522.0,0.3714522764199537,,1.3,,9276.69
ES,2017,101.4,152640.0,0.3795337236290574,,1.2,,9869.4
ES,2018,102.3,154083.0,0.3769217360990065,,1.2,,10189.35
ES,2019,102.8,159422.0,0.38869773746220415,,1.1,,10020.59
ES,2020,93.2,152546.0,0.40301331464611073,,1.0,,9090.5
ES,2021,100.0,158604.0,0.40695748205411375,,1.1,,10930.96
ES,2022,102.3,167309.0,0.40969663579077853,,1.0,,10611.23
ES,2023,100.7,180037.0,0.414804563559036,,1.0,,13084.58
ES,2024,101.4,174421.0,0.42096829185134677,,1.2,,
