geo,year,O,R,I,Cap,D_E,Sigma,S,V,C,O_raw,R_raw,I_raw,D_raw,S2_training_pct_raw
AT,2008,0.30788,0.05,0.057519,0.000885,0.808634,0.807748,0.6,0.01,0.05,81.7,121562.619,0.3385490753911807,3209.06,4.4
AT,2009,0.05,0.090349,0.128979,0.000583,0.71354,0.712958,0.8,0.01,0.104378,71.7,122742.232,0.3530512041150339,3110.54,4.6
AT,2010,0.17894,0.516697,0.062682,0.005795,0.088869,0.083074,0.7,0.01,0.151958,76.7,135206.556,0.339596700274977,2463.36,4.5
AT,2011,0.294986,0.301318,0.059405,0.00528,0.173075,0.167795,1.0,0.01,0.21993,81.2,128909.924,0.3389316538371822,2550.6,4.8
AT,2012,0.318195,0.48518,0.05,0.007719,0.160614,0.152895,0.7,0.01,0.26751,82.1,134285.128,0.3370230805463965,2537.69,4.5
AT,2013,0.325931,0.545225,0.162946,0.028956,0.119322,0.090366,0.6,0.01,0.308294,82.4,136040.565,0.3599446239040147,2494.91,4.4
AT,2014,0.323352,0.147668,0.499961,0.023873,0.141677,0.117804,0.5,0.01,0.34228,82.3,124417.944,0.4283391405342625,2518.07,4.3
AT,2015,0.367192,0.297102,0.564077,0.061537,0.16462,0.103083,0.4,0.01,0.369468,84.0,128786.671,0.4413509812870835,2541.84,4.2
AT,2016,0.416189,0.478996,0.610734,0.121752,0.05,0.0,0.4,0.121752,0.700497,85.9,134104.354,0.4508196721311475,2423.09,4.2
AT,2017,0.529656,0.539264,0.668346,0.190896,0.27562,0.084724,0.2,0.148534,0.90242,90.3,135866.303,0.4625114995400183,2656.84,4.0
AT,2018,0.648281,0.205912,0.8525,0.113799,0.592376,0.478577,0.3,0.01,0.922811,94.9,126120.715,0.4998841251448435,2985.01,4.1
AT,2019,0.653438,0.261745,0.843114,0.144202,0.722893,0.578692,0.1,0.01,0.929608,95.1,127753.014,0.4979793444095196,3120.23,3.9
AT,2020,0.519341,0.23661,0.820735,0.100853,0.345145,0.244292,0.3,0.01,0.95,89.9,127018.177,0.4934377158646097,2728.87,4.1
AT,2021,0.779799,0.84775,0.949781,0.627877,0.95,0.322123,0.0,0.466815,0.95,100.0,144884.915,0.5196266156055529,3355.52,3.8
AT,2022,0.95,0.761916,0.839251,0.607467,0.575562,0.0,0.0,0.607467,0.95,106.6,142375.55,0.4971954229302221,2967.59,3.8
