t,O,R,I,demand,S
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.2,0.254237,1.0,0.661436,0.0
6,0.2,0.254237,1.0,0.661436,0.0
7,0.2,0.254237,1.0,0.661436,0.0
8,0.2,0.254237,1.0,0.661436,0.0
9,0.2,0.254237,1.0,0.661436,0.0
10,0.2,0.254237,1.0,0.661436,0.0
11,0.2,0.254237,0.0,0.661436,0.0
12,0.2,0.254237,0.0,0.661436,0.0
13,0.2,0.254237,0.0,0.661436,0.0
14,0.2,0.254237,0.0,0.661436,0.0
15,0.2,0.254237,0.0,0.661436,0.0
16,0.2,0.254237,0.0,0.661436,0.0
17,0.2,0.254237,0.0,0.661436,0.0
18,0.2,0.254237,0.0,0.661436,0.0
19,0.2,0.254237,0.0,0.661436,0.0
20,0.2,0.254237,0.0,0.661436,0.0
21,0.2,0.254237,0.0,0.661436,0.0
22,0.2,0.254237,0.0,0.661436,0.0
23,0.2,0.369492,1.0,0.726756,0.0
24,0.2,0.369492,1.0,0.726756,0.0
25,0.2,0.369492,1.0,0.726756,0.0
26,0.4,0.433898,0.928023,0.726756,0.0
27,0.6,0.586441,0.590661,0.818033,0.25
28,0.6,0.586441,0.590661,0.818033,0.25
29,0.6,0.586441,0.710615,0.818033,0.25
30,0.6,0.586441,0.710615,0.818033,0.25
31,0.6,0.586441,0.710615,0.818033,0.25
32,0.6,0.586441,1.0,0.818033,0.25
33,0.6,0.586441,0.0,0.818033,0.25
34,0.6,0.586441,0.0,0.818033,0.25
35,0.6,0.586441,0.0,0.818033,0.25
36,0.6,0.586441,0.0,0.818033,0.25
37,0.6,0.589831,0.0,0.818033,0.25
38,0.8,0.952542,0.998364,0.985357,1.0
39,0.8,0.952542,0.998364,0.985357,1.0
40,0.8,0.952542,0.998364,0.985357,1.0
41,0.8,0.952542,0.998364,0.985357,1.0
42,0.8,0.952542,0.998364,0.985357,1.0
43,0.8,0.952542,1.0,0.985357,1.0
44,0.8,0.952542,0.0,0.985357,1.0
45,0.8,0.952542,0.0,0.985357,1.0
46,0.8,0.952542,0.0,0.985357,1.0
47,0.8,0.952542,0.0,0.985357,1.0
48,0.8,0.952542,0.0,0.985357,1.0
49,0.8,0.952542,0.0,0.985357,1.0
50,1.0,0.972881,1.0,1.0,1.0
51,1.0,0.972881,1.0,1.0,1.0
52,1.0,0.989831,0.376433,1.0,1.0
53,1.0,0.989831,0.376433,1.0,1.0
54,1.0,0.99322,0.337454,1.0,1.0
55,1.0,0.99322,0.337454,1.0,1.0
56,1.0,0.99322,0.4,1.0,1.0
57,1.0,1.0,0.328513,1.0,1.0
58,1.0,1.0,0.2,1.0,1.0
59,1.0,1.0,0.2,1.0,1.0
