t,O,R,I,demand,S
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.09243697478991593,0.11750449579831927,0.4621848739495797,0.30570571428571414,0.0
10,0.19159663865546214,0.24355477310924362,0.9579831932773107,0.6336445714285712,0.0
11,0.2,0.254237,1.0,0.661436,0.0
12,0.2,0.254237,1.0,0.661436,0.0
13,0.2,0.254237,1.0,0.661436,0.0
14,0.2,0.254237,1.0,0.661436,0.0
15,0.2,0.254237,1.0,0.661436,0.0
16,0.2,0.254237,1.0,0.661436,0.0
17,0.2,0.254237,1.0,0.661436,0.0
18,0.2,0.254237,1.0,0.661436,0.0
19,0.2,0.254237,1.0,0.661436,0.0
20,0.2,0.254237,1.0,0.661436,0.0
21,0.2,0.254237,0.5882352941176479,0.661436,0.0
22,0.2,0.254237,0.09243697478991719,0.661436,0.0
23,0.2,0.254237,0.0,0.661436,0.0
24,0.2,0.254237,0.0,0.661436,0.0
25,0.2,0.254237,0.0,0.661436,0.0
26,0.2,0.254237,0.0,0.661436,0.0
27,0.2,0.254237,0.0,0.661436,0.0
28,0.2,0.254237,0.0,0.661436,0.0
29,0.2,0.254237,0.0,0.661436,0.0
30,0.2,0.254237,0.0,0.661436,0.0
31,0.2,0.254237,0.0,0.661436,0.0
32,0.2,0.254237,0.0,0.661436,0.0
33,0.2,0.254237,0.0,0.661436,0.0
34,0.2,0.254237,0.0,0.661436,0.0
35,0.2,0.254237,0.0,0.661436,0.0
36,0.2,0.254237,0.0,0.661436,0.0
37,0.2,0.254237,0.0,0.661436,0.0
38,0.2,0.254237,0.0,0.661436,0.0
39,0.2,0.254237,0.0,0.661436,0.0
40,0.2,0.254237,0.0,0.661436,0.0
41,0.2,0.254237,0.0,0.661436,0.0
42,0.2,0.254237,0.0,0.661436,0.0
43,0.2,0.254237,0.0,0.661436,0.0
44,0.2,0.254237,0.0,0.661436,0.0
45,0.2,0.29007258823529397,0.310924369747898,0.6817455798319327,0.0
46,0.2,0.3472158235294114,0.806722689075627,0.71413112605042,0.0
