t,year,O,R,I,demand
0,1845,19580.0,30090.0,0.5012152703404267,49670.0
1,1846,19600.0,45150.0,0.36055216012154595,64750.0
2,1847,19610.0,49150.0,0.3357540745037803,68760.0
3,1848,11990.0,39520.0,0.2649826140326224,51510.0
4,1849,28040.0,21230.0,0.8418935906229847,49270.0
5,1850,58000.0,8420.0,2.065299740859631,66420.0
6,1851,74600.0,5560.0,2.6682716389196797,80160.0
7,1852,75090.0,5080.0,2.7586662341197457,80170.0
8,1853,88480.0,10170.0,2.2720579723145375,98650.0
9,1854,61280.0,19600.0,1.417410717055433,80880.0
10,1855,74670.0,32910.0,1.1844463990938778,107580.0
11,1856,88060.0,34380.0,1.2701333622650084,122440.0
12,1857,68510.0,29590.0,1.19853749268118,98100.0
13,1858,32190.0,21300.0,0.9207780900404028,53490.0
14,1859,12640.0,13690.0,0.6540462469540113,26330.0
15,1860,21490.0,7650.0,1.3373440743419478,29140.0
16,1861,30350.0,4080.0,2.1326443081156503,34430.0
17,1862,2180.0,4090.0,0.42730584410084516,6270.0
18,1863,152650.0,14330.0,2.4554609991005236,166980.0
19,1864,148360.0,38220.0,1.5854857179561528,186580.0
20,1865,85810.0,60780.0,0.8803759775705102,146590.0
21,1866,41410.0,70770.0,0.4606732401421376,112180.0
22,1867,14750.0,72770.0,0.1845726661409374,87520.0
23,1868,2280.0,42680.0,0.05206383224467798,44960.0
24,1869,5910.0,16390.0,0.307943956835947,22300.0
25,1870,9950.0,9830.0,0.6992317749328618,19780.0
26,1871,10440.0,5800.0,1.0295701633762917,16240.0
27,1872,70640.0,5260.0,2.66912191176688,75900.0
28,1873,50120.0,18910.0,1.2948264018608704,69030.0
29,1874,50130.0,30950.0,0.9630556794887852,81080.0
30,1875,101250.0,31180.0,1.4462603711867763,132430.0
31,1876,97120.0,46340.0,1.1300430933691574,143460.0
32,1877,86510.0,45770.0,1.061285304643724,132280.0
33,1878,72170.0,44150.0,0.9687466307350399,116320.0
34,1879,38320.0,36330.0,0.7201659440055396,74650.0
35,1880,10110.0,12030.0,0.6099896053858875,22140.0
36,1881,7740.0,12600.0,0.4789115383158483,20340.0
37,1882,9670.0,18340.0,0.4234939988243757,28010.0
38,1883,43120.0,35140.0,0.8006936323430107,78260.0
39,1884,52210.0,43770.0,0.7851891762470395,95980.0
40,1885,134850.0,65690.0,1.1160617713130376,200540.0
41,1886,134860.0,79350.0,0.9930851295659519,214210.0
42,1887,103790.0,51650.0,1.1017631152249423,155440.0
43,1888,46100.0,32590.000000000004,0.881505321776326,78690.0
44,1889,15030.0,22450.0,0.5125256611134095,37480.0
45,1890,24200.0,16160.0,0.9152878159050173,40360.0
46,1891,41650.0,14120.0,1.3736089002456595,55770.0
47,1892,52340.0,20380.0,1.2720408579370621,72720.0
48,1893,53780.0,33330.0,0.9607067521738926,87110.0
49,1894,70400.0,46000.0,0.9283865818970721,116400.0
50,1895,85810.0,51410.0,0.9817478949445266,137220.0
51,1896,56690.0,46430.0,0.7979454137238732,103120.0
52,1897,16590.0,33680.0,0.4005143819284585,50270.0
53,1898,6160.0,18010.0,0.2942122561443916,24170.0
54,1899,2300.0,8860.0,0.23085552730107645,11160.0
55,1900,12820.0,7130.0,1.028877911891514,19950.0
56,1901,4720.0,9470.0,0.40444392732325934,14190.0
57,1902,4730.0,14860.0,0.27638098787343424,19590.0
58,1903,37220.0,31470.0,0.7805662572552718,68690.0
59,1904,69720.0,60570.0,0.7659618547893559,130290.0
60,1905,57780.0,63510.0,0.6469877423475922,121290.0
61,1906,28680.0,54700.0,0.42155046793602063,83380.0
62,1907,23370.0,6300.0,1.5494954892273711,29670.0
63,1908,21540.0,3410.0,1.9899484758689934,24950.0
64,1909,26340.0,5440.0,1.7649372242866563,31780.0
65,1910,53100.0,11650.0,1.7151725748957056,64750.0
66,1911,68480.0,20350.0,1.4736168947138732,88830.0
67,1912,75580.0,32880.0,1.1935048978699738,108460.0
68,1913,57920.0,39550.0,0.9019741789286168,97470.0
69,1914,40970.0,43360.0,0.6652009700616696,84330.0
70,1915,24950.0,40830.0,0.47690464785012376,65780.0
71,1916,12590.0,30360.0,0.34692432305886933,42950.0
72,1917,4970.0,17180.0,0.2541236637888308,22150.0
73,1918,4500.0,6820.0,0.5067416469418858,11320.0
74,1919,11210.0,3190.0,1.5070327385305686,14400.0
75,1920,56600.0,3520.0,2.8376307909582645,60120.0
76,1921,69630.0,9940.0,2.079994652944723,79570.0
77,1922,77740.0,20300.0,1.574725812370441,98040.0
78,1923,80530.0,31990.0,1.2576941448400072,112520.0
79,1924,73380.0,42360.0,1.0051354484758437,115740.0
80,1925,36930.0,49080.0,0.5610148268698715,86010.0
81,1926,4640.0,53990.0,0.08246325661637362,58630.0
82,1927,2540.0,52250.0,0.0474851684778465,54790.0
83,1928,1800.0,37700.0,0.046664684235548794,39500.0
84,1929,2390.0,19140.0,0.11770756943473819,21530.0
85,1930,4230.0,6980.0,0.47379246031427746,11210.0
86,1931,19520.0,8310.0,1.2086064992787515,27830.0
87,1932,82110.0,16010.000000000002,1.812935616366876,98120.0
88,1933,89760.0,24820.0,1.5296006548278565,114580.0
89,1934,81660.0,29700.0,1.3216054409194486,111360.0
90,1935,15760.0,35400.0,0.368257000659652,51160.0
