date,cases,deaths,geoId,country,cases_rolling14,deaths_rolling14,cases_rz,deaths_rz
2019-12-31,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-01,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-02,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-03,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-04,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-05,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-06,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-07,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-08,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-09,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-10,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-11,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-12,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-13,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-14,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-15,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-16,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-17,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-18,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-19,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-20,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-21,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-22,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-23,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-24,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-25,0,0,CA,Canada,0.0,0.0,-0.6755714853057982,-0.6745
2020-01-26,1,0,CA,Canada,1.0,0.0,-0.6745,-0.6745
2020-01-27,0,0,CA,Canada,1.0,0.0,-0.6755714853057982,-0.6745
2020-01-28,1,0,CA,Canada,2.0,0.0,-0.6745,-0.6745
2020-01-29,1,0,CA,Canada,3.0,0.0,-0.6745,-0.6745
2020-01-30,0,0,CA,Canada,3.0,0.0,-0.6755714853057982,-0.6745
2020-01-31,0,0,CA,Canada,3.0,0.0,-0.6755714853057982,-0.6745
2020-02-01,1,0,CA,Canada,4.0,0.0,-0.6745,-0.6745
2020-02-02,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-03,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-04,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-05,1,0,CA,Canada,5.0,0.0,-0.6745,-0.6745
2020-02-06,0,0,CA,Canada,5.0,0.0,-0.6755714853057982,-0.6745
2020-02-07,2,0,CA,Canada,7.0,0.0,-0.6734285146942017,-0.6745
2020-02-08,0,0,CA,Canada,7.0,0.0,-0.6755714853057982,-0.6745
2020-02-09,0,0,CA,Canada,6.0,0.0,-0.6755714853057982,-0.6745
2020-02-10,0,0,CA,Canada,6.0,0.0,-0.6755714853057982,-0.6745
2020-02-11,0,0,CA,Canada,5.0,0.0,-0.6755714853057982,-0.6745
2020-02-12,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-13,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-14,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-15,1,0,CA,Canada,4.0,0.0,-0.6745,-0.6745
2020-02-16,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-17,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-18,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-19,0,0,CA,Canada,3.0,0.0,-0.6755714853057982,-0.6745
2020-02-20,0,0,CA,Canada,3.0,0.0,-0.6755714853057982,-0.6745
2020-02-21,1,0,CA,Canada,2.0,0.0,-0.6745,-0.6745
2020-02-22,0,0,CA,Canada,2.0,0.0,-0.6755714853057982,-0.6745
2020-02-23,0,0,CA,Canada,2.0,0.0,-0.6755714853057982,-0.6745
2020-02-24,0,0,CA,Canada,2.0,0.0,-0.6755714853057982,-0.6745
2020-02-25,2,0,CA,Canada,4.0,0.0,-0.6734285146942017,-0.6745
2020-02-26,0,0,CA,Canada,4.0,0.0,-0.6755714853057982,-0.6745
2020-02-27,1,0,CA,Canada,5.0,0.0,-0.6745,-0.6745
2020-02-28,2,0,CA,Canada,7.0,0.0,-0.6734285146942017,-0.6745
2020-02-29,2,0,CA,Canada,8.0,0.0,-0.6734285146942017,-0.6745
2020-03-01,4,0,CA,Canada,12.0,0.0,-0.6712855440826052,-0.6745
2020-03-02,4,0,CA,Canada,16.0,0.0,-0.6712855440826052,-0.6745
2020-03-03,3,0,CA,Canada,19.0,0.0,-0.6723570293884035,-0.6745
2020-03-04,3,0,CA,Canada,22.0,0.0,-0.6723570293884035,-0.6745
2020-03-05,3,0,CA,Canada,25.0,0.0,-0.6723570293884035,-0.6745
2020-03-06,12,0,CA,Canada,36.0,0.0,-0.6627136616362193,-0.6745
2020-03-07,6,0,CA,Canada,42.0,0.0,-0.6691425734710088,-0.6745
2020-03-08,6,0,CA,Canada,48.0,0.0,-0.6691425734710088,-0.6745
2020-03-09,5,0,CA,Canada,53.0,0.0,-0.670214058776807,-0.6745
2020-03-10,15,1,CA,Canada,66.0,1.0,-0.6594992057188245,-0.6131818181818182
