date,cases,deaths,geoId,country,cases_rolling14,deaths_rolling14,cases_rz,deaths_rz
2019-12-31,27,0,CN,China,27.0,0.0,0.071,0.0
2020-01-01,0,0,CN,China,27.0,0.0,-0.8875000000000001,0.0
2020-01-02,0,0,CN,China,27.0,0.0,-0.8875000000000001,0.0
2020-01-03,17,0,CN,China,44.0,0.0,-0.284,0.0
2020-01-04,0,0,CN,China,44.0,0.0,-0.8875000000000001,0.0
2020-01-05,15,0,CN,China,59.0,0.0,-0.355,0.0
2020-01-06,0,0,CN,China,59.0,0.0,-0.8875000000000001,0.0
2020-01-07,0,0,CN,China,59.0,0.0,-0.8875000000000001,0.0
2020-01-08,0,0,CN,China,59.0,0.0,-0.8875000000000001,0.0
2020-01-09,0,0,CN,China,59.0,0.0,-0.8875000000000001,0.0
2020-01-10,0,0,CN,China,59.0,0.0,-0.8875000000000001,0.0
2020-01-11,0,1,CN,China,59.0,1.0,-0.8875000000000001,1.0
2020-01-12,0,0,CN,China,59.0,1.0,-0.8875000000000001,0.0
2020-01-13,0,0,CN,China,59.0,1.0,-0.8875000000000001,0.0
2020-01-14,0,0,CN,China,32.0,1.0,-0.8875000000000001,0.0
2020-01-15,0,1,CN,China,32.0,2.0,-0.8875000000000001,1.0
2020-01-16,0,0,CN,China,32.0,2.0,-0.8875000000000001,0.0
2020-01-17,4,0,CN,China,19.0,2.0,-0.7455,0.0
2020-01-18,17,0,CN,China,36.0,2.0,-0.284,0.0
2020-01-19,136,1,CN,China,157.0,3.0,3.9405,1.0
2020-01-20,19,0,CN,China,176.0,3.0,-0.213,0.0
2020-01-21,151,3,CN,China,327.0,6.0,4.473,3.0
2020-01-22,140,11,CN,China,467.0,17.0,4.0825,11.0
2020-01-23,97,0,CN,China,564.0,17.0,2.556,0.0
2020-01-24,259,9,CN,China,823.0,26.0,8.307,9.0
2020-01-25,441,15,CN,China,1264.0,40.0,14.767999999999999,15.0
2020-01-26,665,15,CN,China,1929.0,55.0,22.72,15.0
2020-01-27,787,25,CN,China,2716.0,80.0,27.051,25.0
2020-01-28,1753,25,CN,China,4469.0,105.0,61.344,25.0
2020-01-29,1466,26,CN,China,5935.0,130.0,51.155499999999996,26.0
2020-01-30,1740,38,CN,China,7675.0,168.0,60.88249999999999,38.0
2020-01-31,1980,43,CN,China,9651.0,211.0,69.4025,43.0
2020-02-01,2095,46,CN,China,11729.0,257.0,73.485,46.0
2020-02-02,2590,45,CN,China,14183.0,301.0,91.0575,45.0
2020-02-03,2812,57,CN,China,16976.0,358.0,98.9385,57.0
2020-02-04,3237,65,CN,China,20062.0,420.0,114.02600000000001,65.0
2020-02-05,3872,66,CN,China,23794.0,475.0,136.5685,66.0
2020-02-06,3727,72,CN,China,27424.0,547.0,131.421,72.0
2020-02-07,3160,73,CN,China,30325.0,611.0,111.29249999999999,73.0
2020-02-08,3418,86,CN,China,33302.0,682.0,120.45150000000001,86.0
2020-02-09,2607,89,CN,China,35244.0,756.0,91.661,89.0
2020-02-10,2974,97,CN,China,37431.0,828.0,104.6895,97.0
2020-02-11,2490,108,CN,China,38168.0,911.0,87.5075,108.0
2020-02-12,2028,97,CN,China,38730.0,982.0,71.1065,97.0
2020-02-13,15141,254,CN,China,52131.0,1198.0,536.618,254.0
2020-02-14,4156,13,CN,China,54307.0,1168.0,146.6505,13.0
2020-02-15,2538,143,CN,China,54750.0,1265.0,89.2115,143.0
2020-02-16,2007,142,CN,China,54167.0,1362.0,70.36099999999999,142.0
2020-02-17,2052,105,CN,China,53407.0,1410.0,71.9585,105.0
2020-02-18,1890,98,CN,China,52060.0,1443.0,66.2075,98.0
2020-02-19,1750,139,CN,China,49938.0,1516.0,61.237500000000004,139.0
2020-02-20,394,112,CN,China,46605.0,1556.0,13.0995,112.0
2020-02-21,891,118,CN,China,44336.0,1601.0,30.743,118.0
2020-02-22,826,109,CN,China,41744.0,1624.0,28.4355,109.0
2020-02-23,647,98,CN,China,39784.0,1633.0,22.081,98.0
2020-02-24,218,150,CN,China,37028.0,1686.0,6.851499999999999,150.0
2020-02-25,515,70,CN,China,35053.0,1648.0,17.395,70.0
2020-02-26,410,52,CN,China,33435.0,1603.0,13.6675,52.0
2020-02-27,439,29,CN,China,18733.0,1378.0,14.697,29.0
2020-02-28,329,44,CN,China,14906.0,1409.0,10.792,44.0
2020-02-29,428,47,CN,China,12796.0,1313.0,14.306499999999998,47.0
2020-03-01,574,35,CN,China,11363.0,1206.0,19.4895,35.0
2020-03-02,205,42,CN,China,9516.0,1143.0,6.39,42.0
2020-03-03,127,32,CN,China,7753.0,1077.0,3.6209999999999996,32.0
2020-03-04,119,37,CN,China,6122.0,975.0,3.3369999999999997,37.0
2020-03-05,117,31,CN,China,5845.0,894.0,3.266,31.0
2020-03-06,170,30,CN,China,5124.0,806.0,5.1475,30.0
2020-03-07,101,28,CN,China,4399.0,725.0,2.698,28.0
2020-03-08,46,27,CN,China,3798.0,654.0,0.7455,27.0
2020-03-09,45,23,CN,China,3625.0,527.0,0.71,23.0
2020-03-10,20,17,CN,China,3130.0,474.0,-0.1775,17.0
2020-03-11,29,22,CN,China,2749.0,444.0,0.142,22.0
2020-03-12,24,11,CN,China,2334.0,426.0,-0.0355,11.0
2020-03-13,22,7,CN,China,2027.0,389.0,-0.1065,7.0
2020-03-14,19,15,CN,China,1618.0,357.0,-0.213,15.0
2020-03-15,22,9,CN,China,1066.0,331.0,-0.1065,9.0
2020-03-16,25,13,CN,China,886.0,302.0,0.0,13.0
2020-03-17,43,9,CN,China,802.0,279.0,0.639,9.0
2020-03-18,23,16,CN,China,706.0,258.0,-0.071,16.0
2020-03-19,44,8,CN,China,633.0,235.0,0.6745,8.0
2020-03-20,99,4,CN,China,562.0,209.0,2.627,4.0
2020-03-21,52,6,CN,China,513.0,187.0,0.9585,6.0
2020-03-22,65,6,CN,China,532.0,166.0,1.42,6.0
2020-03-23,138,9,CN,China,625.0,152.0,4.0115,9.0
2020-03-24,69,7,CN,China,674.0,142.0,1.562,7.0
2020-03-25,78,4,CN,China,723.0,124.0,1.8815,4.0
2020-03-26,102,6,CN,China,801.0,119.0,2.7335000000000003,6.0
2020-03-27,94,5,CN,China,873.0,117.0,2.4495,5.0
2020-03-28,119,3,CN,China,973.0,105.0,3.3369999999999997,3.0
