date,cases,deaths,geoId,country,cases_rolling14,deaths_rolling14,cases_rz,deaths_rz
2019-12-31,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-01,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-02,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-03,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-04,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-05,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-06,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-07,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-08,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-09,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-10,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-11,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-12,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-13,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-14,0,0,JP,Japan,0.0,0.0,-0.6857416666666667,-0.6745
2020-01-15,1,0,JP,Japan,1.0,0.0,-0.6832435185185185,-0.6745
2020-01-16,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-17,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-18,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-19,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-20,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-21,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-22,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-23,0,0,JP,Japan,1.0,0.0,-0.6857416666666667,-0.6745
2020-01-24,1,0,JP,Japan,2.0,0.0,-0.6832435185185185,-0.6745
2020-01-25,0,0,JP,Japan,2.0,0.0,-0.6857416666666667,-0.6745
2020-01-26,1,0,JP,Japan,3.0,0.0,-0.6832435185185185,-0.6745
2020-01-27,0,0,JP,Japan,3.0,0.0,-0.6857416666666667,-0.6745
2020-01-28,1,0,JP,Japan,4.0,0.0,-0.6832435185185185,-0.6745
2020-01-29,3,0,JP,Japan,6.0,0.0,-0.6782472222222222,-0.6745
2020-01-30,4,0,JP,Japan,10.0,0.0,-0.675749074074074,-0.6745
2020-01-31,3,0,JP,Japan,13.0,0.0,-0.6782472222222222,-0.6745
2020-02-01,1,0,JP,Japan,14.0,0.0,-0.6832435185185185,-0.6745
2020-02-02,4,0,JP,Japan,18.0,0.0,-0.675749074074074,-0.6745
2020-02-03,1,0,JP,Japan,19.0,0.0,-0.6832435185185185,-0.6745
2020-02-04,0,0,JP,Japan,19.0,0.0,-0.6857416666666667,-0.6745
2020-02-05,5,0,JP,Japan,24.0,0.0,-0.673250925925926,-0.6745
2020-02-06,0,0,JP,Japan,24.0,0.0,-0.6857416666666667,-0.6745
2020-02-07,0,0,JP,Japan,23.0,0.0,-0.6857416666666667,-0.6745
2020-02-08,0,0,JP,Japan,23.0,0.0,-0.6857416666666667,-0.6745
2020-02-09,0,0,JP,Japan,22.0,0.0,-0.6857416666666667,-0.6745
2020-02-10,0,0,JP,Japan,22.0,0.0,-0.6857416666666667,-0.6745
2020-02-11,0,0,JP,Japan,21.0,0.0,-0.6857416666666667,-0.6745
2020-02-12,0,0,JP,Japan,18.0,0.0,-0.6857416666666667,-0.6745
2020-02-13,4,1,JP,Japan,18.0,1.0,-0.675749074074074,-0.505875
2020-02-14,1,0,JP,Japan,16.0,1.0,-0.6832435185185185,-0.6745
2020-02-15,8,0,JP,Japan,23.0,1.0,-0.6657564814814815,-0.6745
2020-02-16,14,0,JP,Japan,33.0,1.0,-0.6507675925925925,-0.6745
2020-02-17,7,0,JP,Japan,39.0,1.0,-0.6682546296296297,-0.6745
2020-02-18,0,0,JP,Japan,39.0,1.0,-0.6857416666666667,-0.6745
2020-02-19,7,0,JP,Japan,41.0,1.0,-0.6682546296296297,-0.6745
2020-02-20,18,0,JP,Japan,59.0,1.0,-0.640775,-0.6745
2020-02-21,9,0,JP,Japan,68.0,1.0,-0.6632583333333333,-0.6745
2020-02-22,12,0,JP,Japan,80.0,1.0,-0.6557638888888889,-0.6745
2020-02-23,27,0,JP,Japan,107.0,1.0,-0.6182916666666667,-0.6745
2020-02-24,12,0,JP,Japan,119.0,1.0,-0.6557638888888889,-0.6745
2020-02-25,0,0,JP,Japan,119.0,1.0,-0.6857416666666667,-0.6745
2020-02-26,20,0,JP,Japan,139.0,1.0,-0.6357787037037037,-0.6745
2020-02-27,22,2,JP,Japan,157.0,2.0,-0.6307824074074074,-0.33725
2020-02-28,24,0,JP,Japan,180.0,2.0,-0.625786111111111,-0.6745
2020-02-29,20,0,JP,Japan,192.0,2.0,-0.6357787037037037,-0.6745
2020-03-01,9,2,JP,Japan,187.0,4.0,-0.6632583333333333,-0.33725
2020-03-02,15,1,JP,Japan,195.0,5.0,-0.6482694444444445,-0.505875
2020-03-03,0,0,JP,Japan,195.0,5.0,-0.6857416666666667,-0.6745
2020-03-04,14,0,JP,Japan,202.0,5.0,-0.6507675925925925,-0.6745
2020-03-05,49,0,JP,Japan,233.0,5.0,-0.5633324074074074,-0.6745
2020-03-06,32,0,JP,Japan,256.0,5.0,-0.6058009259259259,-0.6745
2020-03-07,59,0,JP,Japan,303.0,5.0,-0.5383509259259259,-0.6745
2020-03-08,47,0,JP,Japan,323.0,5.0,-0.5683287037037037,-0.6745
2020-03-09,33,1,JP,Japan,344.0,6.0,-0.6033027777777777,-0.505875
2020-03-10,26,2,JP,Japan,370.0,8.0,-0.6207898148148148,-0.33725
2020-03-11,54,3,JP,Japan,404.0,11.0,-0.5508416666666667,-0.168625
2020-03-12,51,3,JP,Japan,433.0,12.0,-0.5583361111111111,-0.168625
2020-03-13,56,4,JP,Japan,465.0,16.0,-0.5458453703703704,0.0
2020-03-14,62,2,JP,Japan,507.0,18.0,-0.5308564814814816,-0.33725
2020-03-15,43,1,JP,Japan,541.0,17.0,-0.5783212962962963,-0.505875
2020-03-16,34,2,JP,Japan,560.0,18.0,-0.6008046296296297,-0.33725
2020-03-17,10,4,JP,Japan,570.0,22.0,-0.6607601851851852,0.0
2020-03-18,5,0,JP,Japan,561.0,22.0,-0.673250925925926,-0.6745
2020-03-19,44,1,JP,Japan,556.0,23.0,-0.5758231481481482,-0.505875
2020-03-20,77,4,JP,Japan,601.0,27.0,-0.4933842592592593,0.0
2020-03-21,57,2,JP,Japan,599.0,29.0,-0.5433472222222222,-0.33725
2020-03-22,39,1,JP,Japan,591.0,30.0,-0.5883138888888889,-0.505875
2020-03-23,43,5,JP,Japan,601.0,34.0,-0.5783212962962963,0.168625
2020-03-24,39,1,JP,Japan,614.0,33.0,-0.5883138888888889,-0.505875
2020-03-25,65,1,JP,Japan,625.0,31.0,-0.523362037037037,-0.505875
2020-03-26,75,2,JP,Japan,649.0,30.0,-0.49838055555555555,-0.33725
2020-03-27,96,1,JP,Japan,689.0,27.0,-0.4459194444444445,-0.505875
2020-03-28,135,3,JP,Japan,762.0,28.0,-0.34849166666666664,-0.168625
2020-03-29,194,3,JP,Japan,913.0,30.0,-0.20110092592592593,-0.168625
2020-03-30,173,2,JP,Japan,1052.0,30.0,-0.253562037037037,-0.33725
2020-03-31,87,2,JP,Japan,1129.0,28.0,-0.4684027777777778,-0.33725
2020-04-01,0,0,JP,Japan,1124.0,28.0,-0.6857416666666667,-0.6745
2020-04-02,225,1,JP,Japan,1305.0,28.0,-0.12365833333333333,-0.505875
2020-04-03,439,6,JP,Japan,1667.0,30.0,0.4109453703703703,0.33725
2020-04-04,318,6,JP,Japan,1928.0,34.0,0.10866944444444444,0.33725
2020-04-05,336,1,JP,Japan,2225.0,34.0,0.1536361111111111,-0.505875
2020-04-06,383,3,JP,Japan,2565.0,32.0,0.2710490740740741,-0.168625
2020-04-07,252,7,JP,Japan,2778.0,38.0,-0.05620833333333333,0.505875
2020-04-08,351,1,JP,Japan,3064.0,38.0,0.19110833333333332,-0.505875
2020-04-09,511,4,JP,Japan,3500.0,40.0,0.590812037037037,0.0
2020-04-10,579,3,JP,Japan,3983.0,42.0,0.7606861111111111,-0.168625
2020-04-11,658,6,JP,Japan,4506.0,45.0,0.9580398148148148,0.33725
2020-04-12,743,4,JP,Japan,5055.0,46.0,1.1703824074074074,0.0
2020-04-13,507,4,JP,Japan,5389.0,48.0,0.5808194444444444,0.0
2020-04-14,390,7,JP,Japan,5692.0,53.0,0.2885361111111111,0.505875
2020-04-15,455,10,JP,Japan,6147.0,63.0,0.4509157407407407,1.01175
2020-04-16,482,17,JP,Japan,6404.0,79.0,0.5183657407407408,2.192125
2020-04-17,585,12,JP,Japan,6550.0,85.0,0.775675,1.349
2020-04-18,628,6,JP,Japan,6860.0,85.0,0.8830953703703703,0.33725
2020-04-19,566,7,JP,Japan,7090.0,91.0,0.7282101851851852,0.505875
2020-04-20,390,10,JP,Japan,7097.0,98.0,0.2885361111111111,1.01175
2020-04-21,367,15,JP,Japan,7212.0,106.0,0.2310787037037037,1.854875
2020-04-22,378,0,JP,Japan,7239.0,105.0,0.25855833333333333,-0.6745
2020-04-23,276,101,JP,Japan,7004.0,202.0,0.003747222222222222,16.356625
2020-04-24,468,30,JP,Japan,6893.0,229.0,0.48339166666666666,4.38425
2020-04-25,652,17,JP,Japan,6887.0,240.0,0.9430509259259259,2.192125
2020-04-26,290,14,JP,Japan,6434.0,250.0,0.038721296296296295,1.68625
2020-04-27,203,3,JP,Japan,6130.0,249.0,-0.1786175925925926,-0.168625
2020-04-28,191,25,JP,Japan,5931.0,267.0,-0.20859537037037035,3.541125
2020-04-29,276,13,JP,Japan,5752.0,270.0,0.003747222222222222,1.517625
2020-04-30,236,26,JP,Japan,5506.0,279.0,-0.09617870370370371,3.70975
2020-05-01,193,17,JP,Japan,5114.0,284.0,-0.20359907407407407,2.192125
2020-05-02,263,26,JP,Japan,4749.0,304.0,-0.028728703703703704,3.70975
2020-05-03,295,34,JP,Japan,4478.0,331.0,0.051212037037037035,5.05875
2020-05-04,218,18,JP,Japan,4306.0,339.0,-0.14114537037037037,2.36075
2020-05-05,174,11,JP,Japan,4113.0,335.0,-0.25106388888888886,1.180375
2020-05-06,123,22,JP,Japan,3858.0,357.0,-0.37846944444444447,3.03525
2020-05-07,109,8,JP,Japan,3691.0,264.0,-0.4134435185185185,0.6745
2020-05-08,84,6,JP,Japan,3307.0,240.0,-0.47589722222222214,0.33725
2020-05-09,81,44,JP,Japan,2736.0,267.0,-0.48339166666666666,6.745
2020-05-10,119,12,JP,Japan,2565.0,265.0,-0.388462037037037,1.349
2020-05-11,51,8,JP,Japan,2413.0,270.0,-0.5583361111111111,0.6745
2020-05-12,76,22,JP,Japan,2298.0,267.0,-0.4958824074074074,3.03525
2020-05-13,150,25,JP,Japan,2172.0,279.0,-0.31101944444444446,3.541125
2020-05-14,55,19,JP,Japan,1991.0,272.0,-0.5483435185185185,2.529375
2020-05-15,114,23,JP,Japan,1912.0,278.0,-0.40095277777777777,3.203875
2020-05-16,44,15,JP,Japan,1693.0,267.0,-0.5758231481481482,1.854875
2020-05-17,48,19,JP,Japan,1446.0,252.0,-0.5658305555555555,2.529375
2020-05-18,20,5,JP,Japan,1248.0,239.0,-0.6357787037037037,0.168625
2020-05-19,60,14,JP,Japan,1134.0,242.0,-0.5358527777777777,1.68625
2020-05-20,20,8,JP,Japan,1031.0,228.0,-0.6357787037037037,0.6745
2020-05-21,39,6,JP,Japan,961.0,226.0,-0.5883138888888889,0.33725
2020-05-22,89,19,JP,Japan,966.0,239.0,-0.46340648148148145,2.529375
2020-05-23,23,12,JP,Japan,908.0,207.0,-0.6282842592592592,1.349
2020-05-24,14,12,JP,Japan,803.0,207.0,-0.6507675925925925,1.349
2020-05-25,31,10,JP,Japan,783.0,209.0,-0.608299074074074,1.01175
2020-05-26,42,16,JP,Japan,749.0,203.0,-0.5808194444444444,2.0235
2020-05-27,28,12,JP,Japan,627.0,190.0,-0.6157935185185185,1.349
2020-05-28,0,0,JP,Japan,572.0,171.0,-0.6857416666666667,-0.6745
2020-05-29,68,16,JP,Japan,526.0,164.0,-0.5158675925925925,2.0235
2020-05-30,85,12,JP,Japan,567.0,161.0,-0.4733990740740741,1.349
2020-05-31,47,5,JP,Japan,566.0,147.0,-0.5683287037037037,0.168625
2020-06-01,33,1,JP,Japan,579.0,143.0,-0.6033027777777777,-0.505875
2020-06-02,46,2,JP,Japan,565.0,131.0,-0.5708268518518518,-0.33725
2020-06-03,56,6,JP,Japan,601.0,129.0,-0.5458453703703704,0.33725
2020-06-04,32,3,JP,Japan,594.0,126.0,-0.6058009259259259,-0.168625
2020-06-05,46,4,JP,Japan,551.0,111.0,-0.5708268518518518,0.0
2020-06-06,39,7,JP,Japan,567.0,106.0,-0.5883138888888889,0.505875
2020-06-07,38,2,JP,Japan,591.0,96.0,-0.590812037037037,-0.33725
2020-06-08,33,0,JP,Japan,593.0,86.0,-0.6033027777777777,-0.6745
2020-06-09,36,0,JP,Japan,587.0,70.0,-0.5958083333333333,-0.6745
2020-06-10,41,3,JP,Japan,600.0,61.0,-0.5833175925925925,-0.168625
2020-06-11,41,1,JP,Japan,641.0,62.0,-0.5833175925925925,-0.505875
2020-06-12,40,2,JP,Japan,613.0,48.0,-0.5858157407407408,-0.33725
2020-06-13,50,2,JP,Japan,578.0,38.0,-0.5608342592592592,-0.33725
2020-06-14,47,1,JP,Japan,578.0,34.0,-0.5683287037037037,-0.505875
2020-06-15,73,0,JP,Japan,618.0,33.0,-0.5033768518518518,-0.6745
2020-06-16,85,2,JP,Japan,657.0,33.0,-0.4733990740740741,-0.33725
2020-06-17,41,4,JP,Japan,642.0,31.0,-0.5833175925925925,0.0
2020-06-18,40,4,JP,Japan,650.0,32.0,-0.5858157407407408,0.0
2020-06-19,72,0,JP,Japan,676.0,28.0,-0.5058750000000001,-0.6745
2020-06-20,59,17,JP,Japan,696.0,38.0,-0.5383509259259259,2.192125
2020-06-21,0,0,JP,Japan,658.0,36.0,-0.6857416666666667,-0.6745
2020-06-22,117,1,JP,Japan,742.0,37.0,-0.39345833333333335,-0.505875
2020-06-23,52,2,JP,Japan,758.0,39.0,-0.555837962962963,-0.33725
2020-06-24,59,8,JP,Japan,776.0,44.0,-0.5383509259259259,0.6745
2020-06-25,83,5,JP,Japan,818.0,48.0,-0.4783953703703704,0.168625
2020-06-26,87,1,JP,Japan,865.0,47.0,-0.4684027777777778,-0.505875
2020-06-27,100,2,JP,Japan,915.0,47.0,-0.4359268518518518,-0.33725
2020-06-28,93,0,JP,Japan,961.0,46.0,-0.4534138888888889,-0.6745
2020-06-29,86,1,JP,Japan,974.0,47.0,-0.4709009259259259,-0.505875
