date,cases,deaths,geoId,country,cases_rolling14,deaths_rolling14,cases_rz,deaths_rz
2019-12-31,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-01,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-02,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-03,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-04,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-05,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-06,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-07,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-08,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-09,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-10,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-11,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-12,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-13,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-14,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-15,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-16,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-17,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-18,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-19,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-20,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-21,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-22,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-23,0,0,SG,Singapore,0.0,0.0,-0.6745,0.0
2020-01-24,3,0,SG,Singapore,3.0,0.0,-0.6034999999999999,0.0
2020-01-25,0,0,SG,Singapore,3.0,0.0,-0.6745,0.0
2020-01-26,1,0,SG,Singapore,4.0,0.0,-0.6508333333333333,0.0
2020-01-27,0,0,SG,Singapore,4.0,0.0,-0.6745,0.0
2020-01-28,1,0,SG,Singapore,5.0,0.0,-0.6508333333333333,0.0
2020-01-29,2,0,SG,Singapore,7.0,0.0,-0.6271666666666667,0.0
2020-01-30,3,0,SG,Singapore,10.0,0.0,-0.6034999999999999,0.0
2020-01-31,3,0,SG,Singapore,13.0,0.0,-0.6034999999999999,0.0
2020-02-01,3,0,SG,Singapore,16.0,0.0,-0.6034999999999999,0.0
2020-02-02,2,0,SG,Singapore,18.0,0.0,-0.6271666666666667,0.0
2020-02-03,0,0,SG,Singapore,18.0,0.0,-0.6745,0.0
2020-02-04,0,0,SG,Singapore,18.0,0.0,-0.6745,0.0
2020-02-05,6,0,SG,Singapore,24.0,0.0,-0.5325,0.0
2020-02-06,4,0,SG,Singapore,28.0,0.0,-0.5798333333333333,0.0
2020-02-07,2,0,SG,Singapore,27.0,0.0,-0.6271666666666667,0.0
2020-02-08,3,0,SG,Singapore,30.0,0.0,-0.6034999999999999,0.0
2020-02-09,7,0,SG,Singapore,36.0,0.0,-0.5088333333333334,0.0
2020-02-10,3,0,SG,Singapore,39.0,0.0,-0.6034999999999999,0.0
2020-02-11,2,0,SG,Singapore,40.0,0.0,-0.6271666666666667,0.0
2020-02-12,2,0,SG,Singapore,40.0,0.0,-0.6271666666666667,0.0
2020-02-13,3,0,SG,Singapore,40.0,0.0,-0.6034999999999999,0.0
2020-02-14,8,0,SG,Singapore,45.0,0.0,-0.48516666666666663,0.0
2020-02-15,9,0,SG,Singapore,51.0,0.0,-0.46149999999999997,0.0
2020-02-16,5,0,SG,Singapore,54.0,0.0,-0.5561666666666667,0.0
2020-02-17,3,0,SG,Singapore,57.0,0.0,-0.6034999999999999,0.0
2020-02-18,2,0,SG,Singapore,59.0,0.0,-0.6271666666666667,0.0
2020-02-19,4,0,SG,Singapore,57.0,0.0,-0.5798333333333333,0.0
2020-02-20,3,0,SG,Singapore,56.0,0.0,-0.6034999999999999,0.0
2020-02-21,1,0,SG,Singapore,55.0,0.0,-0.6508333333333333,0.0
2020-02-22,1,0,SG,Singapore,53.0,0.0,-0.6508333333333333,0.0
2020-02-23,3,0,SG,Singapore,49.0,0.0,-0.6034999999999999,0.0
2020-02-24,0,0,SG,Singapore,46.0,0.0,-0.6745,0.0
2020-02-25,1,0,SG,Singapore,45.0,0.0,-0.6508333333333333,0.0
2020-02-26,1,0,SG,Singapore,44.0,0.0,-0.6508333333333333,0.0
2020-02-27,2,0,SG,Singapore,43.0,0.0,-0.6271666666666667,0.0
2020-02-28,3,0,SG,Singapore,38.0,0.0,-0.6034999999999999,0.0
2020-02-29,2,0,SG,Singapore,31.0,0.0,-0.6271666666666667,0.0
2020-03-01,4,0,SG,Singapore,30.0,0.0,-0.5798333333333333,0.0
2020-03-02,4,0,SG,Singapore,31.0,0.0,-0.5798333333333333,0.0
2020-03-03,2,0,SG,Singapore,31.0,0.0,-0.6271666666666667,0.0
2020-03-04,2,0,SG,Singapore,29.0,0.0,-0.6271666666666667,0.0
2020-03-05,2,0,SG,Singapore,28.0,0.0,-0.6271666666666667,0.0
2020-03-06,5,0,SG,Singapore,32.0,0.0,-0.5561666666666667,0.0
2020-03-07,13,0,SG,Singapore,44.0,0.0,-0.36683333333333334,0.0
2020-03-08,8,0,SG,Singapore,49.0,0.0,-0.48516666666666663,0.0
2020-03-09,12,0,SG,Singapore,61.0,0.0,-0.39049999999999996,0.0
2020-03-10,10,0,SG,Singapore,70.0,0.0,-0.4378333333333333,0.0
2020-03-11,6,0,SG,Singapore,75.0,0.0,-0.5325,0.0
2020-03-12,12,0,SG,Singapore,85.0,0.0,-0.39049999999999996,0.0
2020-03-13,9,0,SG,Singapore,91.0,0.0,-0.46149999999999997,0.0
2020-03-14,13,0,SG,Singapore,102.0,0.0,-0.36683333333333334,0.0
