iso_year,iso_week,country,geoId,cases,deaths,t
2020,1,Switzerland,CH,0,0,0
2020,2,Switzerland,CH,0,0,1
2020,3,Switzerland,CH,0,0,2
2020,4,Switzerland,CH,0,0,3
2020,5,Switzerland,CH,0,0,4
2020,6,Switzerland,CH,0,0,5
2020,7,Switzerland,CH,0,0,6
2020,8,Switzerland,CH,0,0,7
2020,9,Switzerland,CH,18,0,8
2020,10,Switzerland,CH,246,1,9
2020,11,Switzerland,CH,1095,10,10
2020,12,Switzerland,CH,4718,45,11
2020,13,Switzerland,CH,7075,179,12
2020,14,Switzerland,CH,7049,305,13
2020,15,Switzerland,CH,4619,291,14
2020,16,Switzerland,CH,2502,279,15
2020,17,Switzerland,CH,1489,218,16
2020,18,Switzerland,CH,923,138,17
2020,19,Switzerland,CH,434,65,18
2020,20,Switzerland,CH,321,70,19
2020,21,Switzerland,CH,153,40,20
2020,22,Switzerland,CH,120,15,21
2020,23,Switzerland,CH,111,4,22
2020,24,Switzerland,CH,138,16,23
2020,25,Switzerland,CH,198,1,24
2020,26,Switzerland,CH,263,4,25
2020,27,Switzerland,CH,642,4,26
2020,28,Switzerland,CH,599,0,27
2020,29,Switzerland,CH,693,2,28
2020,30,Switzerland,CH,809,12,29
2020,31,Switzerland,CH,1197,6,30
2020,32,Switzerland,CH,950,6,31
2020,33,Switzerland,CH,1469,3,32
2020,34,Switzerland,CH,1695,5,33
2020,35,Switzerland,CH,2089,5,34
2020,36,Switzerland,CH,2234,7,35
2020,37,Switzerland,CH,2746,11,36
2020,38,Switzerland,CH,2576,22,37
2020,39,Switzerland,CH,2693,14,38
2020,40,Switzerland,CH,2399,5,39
2020,41,Switzerland,CH,5967,10,40
2020,42,Switzerland,CH,13997,29,41
2020,43,Switzerland,CH,29096,54,42
2020,44,Switzerland,CH,50405,159,43
2020,45,Switzerland,CH,57432,369,44
2020,46,Switzerland,CH,45026,552,45
2020,47,Switzerland,CH,33297,611,46
2020,48,Switzerland,CH,27534,669,47
2020,49,Switzerland,CH,26084,596,48
2020,50,Switzerland,CH,29228,546,49
2020,51,Switzerland,CH,0,0,50
