date,excess_cum_per100k,excess_cum_low,excess_cum_high,covid_deaths_per100k,Code,Entity,excess_daily_per100k,excess_daily_rz,excess_cum_rz
2020-01-01,0.0,0.0,0.0,,BEL,Belgium,0.0,0.0,-1.7695688540665993
2020-01-04,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-05,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0,BEL,Belgium,0.0,0.0,-1.7695688540665993
2020-01-07,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-08,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-09,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-10,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-11,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-12,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-13,0.0,0.0,0.0,0.0,BEL,Belgium,0.0,0.0,-1.7695688540665993
2020-01-14,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-15,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-16,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-17,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-18,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-19,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-20,0.0,0.0,0.0,0.0,BEL,Belgium,0.0,0.0,-1.7695688540665993
2020-01-21,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-22,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-23,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-24,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-25,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-26,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-27,-0.95170707,-0.95170707,-0.95170707,0.0,BEL,Belgium,0.0,0.0,-1.7779241698275265
2020-01-28,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-29,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-30,,,,0.0,BEL,Belgium,0.0,0.0,
2020-01-31,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-01,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-02,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-03,-3.0859318,-3.0859318,-3.0859318,0.0,BEL,Belgium,0.0,0.0,-1.7966611552782392
2020-02-04,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-05,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-06,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-07,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-08,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-09,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-10,-4.4851937,-4.4851937,-4.4851937,0.0,BEL,Belgium,0.0,0.0,-1.8089456862807622
2020-02-11,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-12,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-13,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-14,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-15,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-16,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-17,-5.6714025,-5.6714025,-5.6714025,0.0,BEL,Belgium,0.0,0.0,-1.8193597615722183
2020-02-18,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-19,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-20,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-21,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-22,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-23,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-24,-8.03,-8.03,-8.03,0.0,BEL,Belgium,0.0,0.0,-1.8400665814400528
2020-02-25,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-26,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-27,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-28,,,,0.0,BEL,Belgium,0.0,0.0,
2020-02-29,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-01,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-02,-9.916734,-9.916734,-9.916734,0.0,BEL,Belgium,0.0,0.0,-1.8566307731160456
2020-03-03,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-04,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-05,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-06,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-07,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-08,,,,0.0,BEL,Belgium,0.0,0.0,
2020-03-09,-10.6864395,-10.6864395,-10.6864395,0.008589727,BEL,Belgium,0.0,0.0,-1.8633882436635985
2020-03-10,,,,0.008589727,BEL,Belgium,0.0,0.0,
2020-03-11,,,,0.008589727,BEL,Belgium,0.0,0.0,
2020-03-12,,,,0.017179454,BEL,Belgium,0.0,0.0,
2020-03-13,,,,0.042948633,BEL,Belgium,0.0,0.0,
2020-03-14,,,,0.042948633,BEL,Belgium,0.0,0.0,
2020-03-15,,,,0.07730754,BEL,Belgium,0.0,0.0,
2020-03-16,-8.518583,-8.518583,-8.518583,0.13743563,BEL,Belgium,0.0,0.0,-1.8443559950307504
2020-03-17,,,,0.19756371,BEL,Belgium,0.0,0.0,
2020-03-18,,,,0.29205072,BEL,Belgium,0.0,0.0,
2020-03-19,,,,0.42089662,BEL,Belgium,0.0,0.0,
2020-03-20,,,,0.6356398,BEL,Belgium,0.0,0.0,
2020-03-21,,,,0.9362802,BEL,Belgium,0.0,0.0,
2020-03-22,,,,1.2798693,BEL,Belgium,0.0,0.0,
2020-03-23,-0.007170327,-0.007170327,-0.007170327,1.632048,BEL,Belgium,0.0,0.0,-1.769631804472331
2020-03-24,,,,2.1044831,BEL,Belgium,0.0,0.0,
2020-03-25,,,,2.800251,BEL,Belgium,0.0,0.0,
2020-03-26,,,,3.4530702,BEL,Belgium,0.0,0.0,
2020-03-27,,,,4.40653,BEL,Belgium,0.0,0.0,
2020-03-28,,,,5.282682,BEL,Belgium,0.0,0.0,
2020-03-29,,,,6.450885,BEL,Belgium,0.0,0.0,
2020-03-30,16.484734,16.484734,16.484734,7.687805,BEL,Belgium,0.0,0.0,-1.624844534844196
2020-03-31,,,,8.924726,BEL,Belgium,0.0,0.0,
2020-04-01,,,,10.393569,BEL,Belgium,0.0,0.0,
2020-04-02,,,,12.120104,BEL,Belgium,0.0,0.0,
2020-04-03,,,,14.190228,BEL,Belgium,0.0,0.0,
2020-04-04,,,,16.03702,BEL,Belgium,0.0,0.0,
2020-04-05,,,,18.107143,BEL,Belgium,0.0,0.0,
2020-04-06,35.51097,35.51097,35.51097,20.42637,BEL,Belgium,0.0,0.0,-1.45780762345304
2020-04-07,,,,22.530853,BEL,Belgium,0.0,0.0,
2020-04-08,,,,24.712643,BEL,Belgium,0.0,0.0,
