date,excess_cum_per100k,excess_cum_low,excess_cum_high,covid_deaths_per100k,Code,Entity,excess_daily_per100k,excess_daily_rz,excess_cum_rz
2020-01-01,0.0,0.0,0.0,,DEU,Germany,0.0,0.0,-0.6923709680616672
2020-01-04,,,,0.0,DEU,Germany,0.0,0.0,
2020-01-05,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0035677662,DEU,Germany,0.0,0.0,-0.6923709680616672
2020-01-07,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-08,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-09,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-10,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-11,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-12,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-13,0.0,0.0,0.0,0.0035677662,DEU,Germany,0.0,0.0,-0.6923709680616672
2020-01-14,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-15,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-16,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-17,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-18,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-19,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-20,0.0,0.0,0.0,0.0035677662,DEU,Germany,0.0,0.0,-0.6923709680616672
2020-01-21,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-22,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-23,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-24,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-25,,,,0.0035677662,DEU,Germany,0.0,0.0,
2020-01-26,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-01-27,-0.9468195,-0.9468195,-0.9468195,0.0071355323,DEU,Germany,0.0,0.0,-0.6970629099627424
2020-01-28,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-01-29,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-01-30,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-01-31,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-02-01,,,,0.0071355323,DEU,Germany,0.0,0.0,
2020-02-02,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-03,-2.6369133,-2.6369133,-2.6369133,0.010703298,DEU,Germany,0.0,0.0,-0.7054381302840046
2020-02-04,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-05,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-06,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-07,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-08,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-09,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-10,-4.258637,-4.258637,-4.258637,0.010703298,DEU,Germany,0.0,0.0,-0.7134745441728151
2020-02-11,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-12,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-13,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-14,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-15,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-16,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-17,-7.030257,-7.030257,-7.030257,0.010703298,DEU,Germany,0.0,0.0,-0.7272092422983373
2020-02-18,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-19,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-20,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-21,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-22,,,,0.010703298,DEU,Germany,0.0,0.0,
2020-02-23,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-02-24,-10.302705,-10.302705,-10.302705,0.011892554,DEU,Germany,0.0,0.0,-0.7434257818713917
2020-02-25,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-02-26,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-02-27,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-02-28,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-02-29,,,,0.011892554,DEU,Germany,0.0,0.0,
2020-03-01,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-02,-12.7674265,-12.7674265,-12.7674265,0.0130818095,DEU,Germany,0.0,0.0,-0.7556396516536794
2020-03-03,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-04,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-05,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-06,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-07,,,,0.0130818095,DEU,Germany,0.0,0.0,
2020-03-08,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-09,-13.9016905,-13.9016905,-13.9016905,0.027352875,DEU,Germany,0.0,0.0,-0.7612604703931342
2020-03-10,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-11,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-12,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-13,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-14,,,,0.027352875,DEU,Germany,0.0,0.0,
2020-03-15,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-16,-14.152422,-14.152422,-14.152422,0.12725033,DEU,Germany,0.0,0.0,-0.7625029644807289
2020-03-17,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-18,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-19,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-20,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-21,,,,0.12725033,DEU,Germany,0.0,0.0,
2020-03-22,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-23,-13.653241,-13.653241,-13.653241,0.69690365,DEU,Germany,0.0,0.0,-0.7600292847031994
2020-03-24,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-25,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-26,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-27,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-28,,,,0.69690365,DEU,Germany,0.0,0.0,
2020-03-29,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-03-30,-11.428497,-11.428497,-11.428497,2.4320273,DEU,Germany,0.0,0.0,-0.7490046178128729
2020-03-31,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-04-01,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-04-02,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-04-03,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-04-04,,,,2.4320273,DEU,Germany,0.0,0.0,
2020-04-05,,,,5.135205,DEU,Germany,0.0,0.0,
2020-04-06,-8.692777,-8.692777,-8.692777,5.135205,DEU,Germany,0.0,0.0,-0.7354478212982158
2020-04-07,,,,5.135205,DEU,Germany,0.0,0.0,
2020-04-08,,,,5.135205,DEU,Germany,0.0,0.0,
