date,excess_cum_per100k,excess_cum_low,excess_cum_high,covid_deaths_per100k,Code,Entity,excess_daily_per100k,excess_daily_rz,excess_cum_rz
2020-01-01,0.0,0.0,0.0,,ITA,Italy,0.0,0.0,-1.8433178216918615
2020-01-04,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-05,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0,ITA,Italy,0.0,0.0,-1.8433178216918615
2020-01-07,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-08,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-09,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-10,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-11,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-12,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-13,0.0,0.0,0.0,0.0,ITA,Italy,0.0,0.0,-1.8433178216918615
2020-01-14,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-15,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-16,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-17,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-18,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-19,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-20,0.0,0.0,0.0,0.0,ITA,Italy,0.0,0.0,-1.8433178216918615
2020-01-21,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-22,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-23,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-24,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-25,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-26,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-27,-1.122221,-1.122221,-1.122221,0.0,ITA,Italy,0.0,0.0,-1.8492067828528522
2020-01-28,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-29,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-30,,,,0.0,ITA,Italy,0.0,0.0,
2020-01-31,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-01,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-02,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-03,-2.0880442,-2.0880442,-2.0880442,0.0,ITA,Italy,0.0,0.0,-1.8542750317211085
2020-02-04,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-05,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-06,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-07,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-08,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-09,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-10,-2.6789641,-2.6789641,-2.6789641,0.0,ITA,Italy,0.0,0.0,-1.8573759399560785
2020-02-11,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-12,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-13,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-14,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-15,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-16,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-17,-3.4435027,-3.4435027,-3.4435027,0.0,ITA,Italy,0.0,0.0,-1.8613879287902548
2020-02-18,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-19,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-20,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-21,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-22,,,,0.0,ITA,Italy,0.0,0.0,
2020-02-23,,,,0.0033546293,ITA,Italy,0.0,0.0,
2020-02-24,-3.490993,-3.490993,-3.490993,0.005031944,ITA,Italy,0.0,0.0,-1.8616371386448411
2020-02-25,,,,0.011741202,ITA,Italy,0.0,0.0,
2020-02-26,,,,0.016773146,ITA,Italy,0.0,0.0,
2020-02-27,,,,0.020127775,ITA,Italy,0.0,0.0,
2020-02-28,,,,0.02851435,ITA,Italy,0.0,0.0,
2020-02-29,,,,0.035223607,ITA,Italy,0.0,0.0,
2020-03-01,,,,0.048642125,ITA,Italy,0.0,0.0,
2020-03-02,-1.3270065,-1.3270065,-1.3270065,0.0570287,ITA,Italy,0.0,0.0,-1.8502814141918076
2020-03-03,,,,0.08722036,ITA,Italy,0.0,0.0,
2020-03-04,,,,0.13250786,ITA,Italy,0.0,0.0,
2020-03-05,,,,0.17947267,ITA,Italy,0.0,0.0,
2020-03-06,,,,0.24824257,ITA,Italy,0.0,0.0,
2020-03-07,,,,0.33043098,ITA,Italy,0.0,0.0,
2020-03-08,,,,0.3908143,ITA,Italy,0.0,0.0,
2020-03-09,7.43313,7.43313,7.43313,0.61389714,ITA,Italy,0.0,0.0,-1.8043117668465207
2020-03-10,,,,0.77659667,ITA,Italy,0.0,0.0,
2020-03-11,,,,1.0583855,ITA,Italy,0.0,0.0,
2020-03-12,,,,1.3871392,ITA,Italy,0.0,0.0,
2020-03-13,,,,1.7041516,ITA,Italy,0.0,0.0,
2020-03-14,,,,2.1234803,ITA,Italy,0.0,0.0,
2020-03-15,,,,2.4170103,ITA,Italy,0.0,0.0,
2020-03-16,23.302988,23.302988,23.302988,3.0342622,ITA,Italy,0.0,0.0,-1.7210331814409416
2020-03-17,,,,3.619645,ITA,Italy,0.0,0.0,
2020-03-18,,,,4.1983185,ITA,Italy,0.0,0.0,
2020-03-19,,,,4.995043,ITA,Italy,0.0,0.0,
2020-03-20,,,,5.7112565,ITA,Italy,0.0,0.0,
2020-03-21,,,,6.762933,ITA,Italy,0.0,0.0,
2020-03-22,,,,8.093043,ITA,Italy,0.0,0.0,
2020-03-23,41.836918,41.836918,41.836918,9.184975,ITA,Italy,0.0,0.0,-1.623774625478688
2020-03-24,,,,10.193041,ITA,Italy,0.0,0.0,
2020-03-25,,,,11.439286,ITA,Italy,0.0,0.0,
2020-03-26,,,,12.584892,ITA,Italy,0.0,0.0,
2020-03-27,,,,13.695274,ITA,Italy,0.0,0.0,
2020-03-28,,,,15.320592,ITA,Italy,0.0,0.0,
2020-03-29,,,,16.811726,ITA,Italy,0.0,0.0,
2020-03-30,56.495678,56.495678,56.495678,18.079775,ITA,Italy,0.0,0.0,-1.5468513917232323
2020-03-31,,,,19.441753,ITA,Italy,0.0,0.0,
2020-04-01,,,,20.845667,ITA,Italy,0.0,0.0,
2020-04-02,,,,22.065075,ITA,Italy,0.0,0.0,
2020-04-03,,,,23.339834,ITA,Italy,0.0,0.0,
2020-04-04,,,,24.624657,ITA,Italy,0.0,0.0,
2020-04-05,,,,25.766907,ITA,Italy,0.0,0.0,
