date,excess_cum_per100k,excess_cum_low,excess_cum_high,covid_deaths_per100k,Code,Entity,excess_daily_per100k,excess_daily_rz,excess_cum_rz
2020-01-01,0.0,0.0,0.0,,SWE,Sweden,0.0,0.0,-1.4529910160430062
2020-01-04,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-05,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0,SWE,Sweden,0.0,0.0,-1.4529910160430062
2020-01-07,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-08,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-09,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-10,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-11,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-12,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-13,0.0,0.0,0.0,0.0,SWE,Sweden,0.0,0.0,-1.4529910160430062
2020-01-14,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-15,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-16,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-17,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-18,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-19,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-20,0.0,0.0,0.0,0.0,SWE,Sweden,0.0,0.0,-1.4529910160430062
2020-01-21,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-22,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-23,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-24,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-25,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-26,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-27,0.02086391,0.02086391,0.02086391,0.0,SWE,Sweden,0.0,0.0,-1.4527438003117445
2020-01-28,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-29,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-30,,,,0.0,SWE,Sweden,0.0,0.0,
2020-01-31,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-01,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-02,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-03,-0.9714469,-0.9714469,-0.9714469,0.0,SWE,Sweden,0.0,0.0,-1.4645016559837138
2020-02-04,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-05,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-06,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-07,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-08,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-09,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-10,-1.499274,-1.499274,-1.499274,0.0,SWE,Sweden,0.0,0.0,-1.4707558606129612
2020-02-11,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-12,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-13,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-14,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-15,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-16,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-17,-2.9039326,-2.9039326,-2.9039326,0.0,SWE,Sweden,0.0,0.0,-1.4873996106565492
2020-02-18,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-19,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-20,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-21,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-22,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-23,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-24,-4.4539695,-4.4539695,-4.4539695,0.0,SWE,Sweden,0.0,0.0,-1.505765943032216
2020-02-25,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-26,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-27,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-28,,,,0.0,SWE,Sweden,0.0,0.0,
2020-02-29,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-01,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-02,-4.980057,-4.980057,-4.980057,0.0,SWE,Sweden,0.0,0.0,-1.5119995352026236
2020-03-03,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-04,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-05,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-06,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-07,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-08,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-09,-6.272068,-6.272068,-6.272068,0.0,SWE,Sweden,0.0,0.0,-1.5273085278201652
2020-03-10,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-11,,,,0.0,SWE,Sweden,0.0,0.0,
2020-03-12,,,,0.009535311,SWE,Sweden,0.0,0.0,
2020-03-13,,,,0.009535311,SWE,Sweden,0.0,0.0,
2020-03-14,,,,0.019070622,SWE,Sweden,0.0,0.0,
2020-03-15,,,,0.028605932,SWE,Sweden,0.0,0.0,
2020-03-16,-5.3193913,-5.3193913,-5.3193913,0.047676556,SWE,Sweden,0.0,0.0,-1.5160202953150212
2020-03-17,,,,0.06674717,SWE,Sweden,0.0,0.0,
