date,excess_cum_per100k,excess_cum_low,excess_cum_high,covid_deaths_per100k,Code,Entity,excess_daily_per100k,excess_daily_rz,excess_cum_rz
2020-01-01,0.0,0.0,0.0,,USA,United States,0.0,0.0,-2.988020813128799
2020-01-04,,,,0.0,USA,United States,0.0,0.0,
2020-01-05,,,,0.0,USA,United States,0.0,0.0,
2020-01-06,0.0,0.0,0.0,0.0,USA,United States,0.0,0.0,-2.988020813128799
2020-01-07,,,,0.0,USA,United States,0.0,0.0,
2020-01-08,,,,0.0,USA,United States,0.0,0.0,
2020-01-09,,,,0.0,USA,United States,0.0,0.0,
2020-01-10,,,,0.0,USA,United States,0.0,0.0,
2020-01-11,,,,0.0,USA,United States,0.0,0.0,
2020-01-12,,,,0.0,USA,United States,0.0,0.0,
2020-01-13,0.0,0.0,0.0,0.0,USA,United States,0.0,0.0,-2.988020813128799
2020-01-14,,,,0.0,USA,United States,0.0,0.0,
2020-01-15,,,,0.0,USA,United States,0.0,0.0,
2020-01-16,,,,0.0,USA,United States,0.0,0.0,
2020-01-17,,,,0.0,USA,United States,0.0,0.0,
2020-01-18,,,,0.0,USA,United States,0.0,0.0,
2020-01-19,,,,0.0,USA,United States,0.0,0.0,
2020-01-20,0.0,0.0,0.0,0.0,USA,United States,0.0,0.0,-2.988020813128799
2020-01-21,,,,0.0,USA,United States,0.0,0.0,
2020-01-22,,,,0.0,USA,United States,0.0,0.0,
2020-01-23,,,,0.0,USA,United States,0.0,0.0,
2020-01-24,,,,0.0,USA,United States,0.0,0.0,
2020-01-25,,,,0.0,USA,United States,0.0,0.0,
2020-01-26,,,,0.0,USA,United States,0.0,0.0,
2020-01-27,-0.3510965,-0.3510965,-0.3510965,0.0,USA,United States,0.0,0.0,-2.9910959548632574
2020-01-28,,,,0.0,USA,United States,0.0,0.0,
2020-01-29,,,,0.0,USA,United States,0.0,0.0,
2020-01-30,,,,0.0,USA,United States,0.0,0.0,
2020-01-31,,,,0.0,USA,United States,0.0,0.0,
2020-02-01,,,,0.0,USA,United States,0.0,0.0,
2020-02-02,,,,0.0,USA,United States,0.0,0.0,
2020-02-03,-0.57872885,-0.57872885,-0.57872885,0.0,USA,United States,0.0,0.0,-2.9930897136720125
2020-02-04,,,,0.0,USA,United States,0.0,0.0,
2020-02-05,,,,0.0,USA,United States,0.0,0.0,
2020-02-06,,,,0.0,USA,United States,0.0,0.0,
2020-02-07,,,,0.0,USA,United States,0.0,0.0,
2020-02-08,,,,0.0,USA,United States,0.0,0.0,
2020-02-09,,,,0.0,USA,United States,0.0,0.0,
2020-02-10,-0.88784957,-0.88784957,-0.88784957,0.0,USA,United States,0.0,0.0,-2.99579720300061
2020-02-11,,,,0.0,USA,United States,0.0,0.0,
2020-02-12,,,,0.0,USA,United States,0.0,0.0,
2020-02-13,,,,0.0,USA,United States,0.0,0.0,
2020-02-14,,,,0.0,USA,United States,0.0,0.0,
2020-02-15,,,,0.0,USA,United States,0.0,0.0,
2020-02-16,,,,0.0,USA,United States,0.0,0.0,
2020-02-17,-0.9999006,-0.9999006,-0.9999006,0.0,USA,United States,0.0,0.0,-2.996778622065574
2020-02-18,,,,0.0,USA,United States,0.0,0.0,
2020-02-19,,,,0.0,USA,United States,0.0,0.0,
2020-02-20,,,,0.0,USA,United States,0.0,0.0,
2020-02-21,,,,0.0,USA,United States,0.0,0.0,
2020-02-22,,,,0.0,USA,United States,0.0,0.0,
2020-02-23,,,,0.0,USA,United States,0.0,0.0,
2020-02-24,-0.93335074,-0.93335074,-0.93335074,0.0,USA,United States,0.0,0.0,-2.9961957331677684
2020-02-25,,,,0.0,USA,United States,0.0,0.0,
2020-02-26,,,,0.0,USA,United States,0.0,0.0,
2020-02-27,,,,0.0,USA,United States,0.0,0.0,
2020-02-28,,,,0.0,USA,United States,0.0,0.0,
2020-02-29,,,,0.00029279658,USA,United States,0.0,0.0,
2020-03-01,,,,0.00029279658,USA,United States,0.0,0.0,
2020-03-02,-0.8041327,-0.8041327,-0.8041327,0.00058559317,USA,United States,0.0,0.0,-2.9950639537633914
2020-03-03,,,,0.00058559317,USA,United States,0.0,0.0,
2020-03-04,,,,0.0023423727,USA,United States,0.0,0.0,
2020-03-05,,,,0.0032207624,USA,United States,0.0,0.0,
2020-03-06,,,,0.0038063556,USA,United States,0.0,0.0,
2020-03-07,,,,0.0046847453,USA,United States,0.0,0.0,
2020-03-08,,,,0.0055631353,USA,United States,0.0,0.0,
2020-03-09,-0.6727273,-0.6727273,-0.6727273,0.007027118,USA,United States,0.0,0.0,-2.9939130159737144
2020-03-10,,,,0.008198304,USA,United States,0.0,0.0,
2020-03-11,,,,0.009369491,USA,United States,0.0,0.0,
2020-03-12,,,,0.011419067,USA,United States,0.0,0.0,
2020-03-13,,,,0.014932626,USA,United States,0.0,0.0,
2020-03-14,,,,0.016982201,USA,United States,0.0,0.0,
2020-03-15,,,,0.020202965,USA,United States,0.0,0.0,
2020-03-16,-0.27279466,-0.27279466,-0.27279466,0.024009319,USA,United States,0.0,0.0,-2.9904101341385596
2020-03-17,,,,0.029279659,USA,United States,0.0,0.0,
2020-03-18,,,,0.035428386,USA,United States,0.0,0.0,
2020-03-19,,,,0.043626692,USA,United States,0.0,0.0,
2020-03-20,,,,0.062365673,USA,United States,0.0,0.0,
2020-03-21,,,,0.08256864,USA,United States,0.0,0.0,
2020-03-22,,,,0.10950592,USA,United States,0.0,0.0,
2020-03-23,1.4713106,1.4713106,1.4713106,0.14229915,USA,United States,0.0,0.0,-2.975134075065584
2020-03-24,,,,0.17684914,USA,United States,0.0,0.0,
2020-03-25,,,,0.22486778,USA,United States,0.0,0.0,
2020-03-26,,,,0.28606227,USA,United States,0.0,0.0,
2020-03-27,,,,0.37419403,USA,United States,0.0,0.0,
2020-03-28,,,,0.47403768,USA,United States,0.0,0.0,
2020-03-29,,,,0.6166296,USA,United States,0.0,0.0,
