t,sample_id,O,R,I,demand,S,pc1
0,SRR923920,-1.5933997629402326,-0.0,0.0,0.0,0.0,-118.99470653567522
1,SRR923921,-1.0200100526979554,-0.5733897102422771,0.28669485512113857,0.08333333333333333,0.08333333333333333,-33.257974954304686
2,SRR923923,-0.6615254529426743,-0.35848459975528113,0.214905110486996,0.16666666666666666,0.16666666666666666,4.277869575474812
3,SRR923924,-0.42872164662496814,-0.23280380631770614,0.1702929519622855,0.25,0.25,-66.77933600273833
4,SRR923925,-0.27984819913974196,-0.14887344748522618,0.125680793437575,0.3333333333333333,0.3333333333333333,0.132725764515924
5,SRR923927,-0.6208304758388413,0.34098227669909936,0.125680793437575,0.41666666666666663,0.41666666666666663,-72.20075938091844
6,SRR923926,-0.3573070605060833,-0.263523415332758,0.08393035883247996,0.5,0.5,-7.6738901195777185
7,SRR923929,-0.20124997896515182,-0.15605708154093148,0.07674672477677466,0.5833333333333333,0.5833333333333333,35.13463774282852
8,SRR923928,0.0467690776568617,-0.2480190566220135,0.09196197508108203,0.6666666666666666,0.6666666666666666,-16.572773113913257
9,SRR923930,0.3871673313978512,-0.3403982537409895,0.09196197508108203,0.75,0.75,68.67374881719432
10,SRR923931,0.45594050301578476,-0.06877317161793356,0.09196197508108203,0.8333333333333333,0.8333333333333333,50.55971474459807
11,SRR923933,0.9211985121435647,-0.46525800912778,0.09237919711897596,0.9166666666666666,0.9166666666666666,87.77955567434627
12,SRR923932,0.9223017262678056,-0.0011032141242408589,0.17924588500407995,1.0,1.0,68.92118778816975
