t,O,R,I,demand,S
0,0.6139601693786614,1.0,0.4404381543051899,0.39369010554744505,0.0
1,0.2893054553362306,1.0,0.4404381543051899,0.39369010554744505,0.0
2,0.590198854810501,1.0,0.4404381543051899,0.39369010554744505,0.0
3,0.601752966965952,1.0,0.4404381543051899,1.0,0.0
4,0.19058016087454308,1.0,0.4404381543051899,1.0,0.0
5,0.7384288062354567,1.0,0.7935817754881476,0.0,0.0
6,0.3780565799260269,1.0,0.9967167609803488,0.0,0.0
7,0.18519961185383568,1.0,1.0,0.0,0.0
8,0.6474325278425025,1.0,1.0,0.0,0.0
9,0.23280315890919123,1.0,1.0,0.0,0.0
10,0.5264434516439548,1.0,1.0,0.0,0.0
11,0.581645450837856,1.0,1.0,0.0,0.0
12,0.3442278178265393,1.0,1.0,0.2762371651439332,0.0
13,0.15574056093047095,1.0,1.0,0.46627480168996577,0.0
14,0.2943170860036781,0.7496187278770818,0.8563038707157914,0.8496782038748064,0.0
15,0.005473350468529727,0.06563860960800637,0.7175305424753204,0.6706500348355465,0.0
16,0.55116234053803,0.0,0.6344784897510336,0.3326137281156034,0.0
17,0.4874320454451433,0.0,0.6053064880960883,0.45920291776005073,0.0
18,0.43536393890386116,0.0,0.6206231834484435,0.33258814233743805,0.0
19,0.8175483252677054,0.0,0.6531579988737297,0.5669856139220677,0.0
20,0.24316943369640914,0.1545578282834382,0.6897498001026332,0.6489135924505867,0.0
21,0.5285896422380159,0.2522485589010736,0.7247040089955677,0.6405520627762524,0.0
22,0.8915314911441842,0.3964834867790227,0.7460964942815187,0.7792803157263982,0.0
23,0.34487713062798403,0.4210947273069924,0.7560973585418018,0.7642126030467786,0.0
24,0.5267022253079383,0.42780296648347393,0.7684639526077429,0.7524276742311822,0.0
25,0.41676327753691994,0.42072600800526105,0.7232393185941132,0.5347808173925969,0.0
26,0.4542397450001669,0.47974211259336735,0.6324996522376293,0.24173250174695762,0.0
27,0.28081733821808585,0.6390248646226491,0.5349278332653554,0.28971183692379,0.0
28,1.0,0.6501093642846529,0.363633773541939,0.7951322178805179,0.0
29,0.19837225465843536,0.5509791635657626,0.24773246341021896,0.9458891828171864,0.0
30,0.8737054848995836,0.5576127686957395,0.20982262845637573,0.49161644405176497,0.0
31,0.5601962361849129,0.4669596371318364,0.19820099682539583,0.25820231672787486,0.0
32,0.6362045974963985,0.3986074618987546,0.3201962548545295,0.37445807926250585,0.0
33,0.611719255126541,0.3382119880385208,0.3641762226018021,0.19978216714790953,0.0
34,0.2051243953076507,0.1877014863395035,0.3036622213458927,0.11927160063101712,0.0
35,0.5318243950078001,0.15359829283133292,0.23469974259576157,0.45261821153501275,0.0
36,0.9119670918167645,0.14915278209994942,0.21581907081291968,0.5203474089610618,0.0
37,0.3693434872785052,0.15700917670426007,0.2786229808732114,0.44324537096025407,0.0
38,0.5005545898402376,0.13493338076705022,0.41678244147166665,0.565736151307628,0.0
39,0.27856975708348924,0.08793139692747343,0.5640132237595789,0.48720823298924487,0.0
40,0.8770486890196284,0.12150326606576324,0.708180918285725,0.0,0.0
41,0.5206257575505358,0.2545387052869985,0.7794237782478372,0.09233023919919493,0.0
42,0.23710293287222872,0.2507474191178939,0.7944803083735983,0.5917925044999994,0.0
43,0.6498134170803078,0.3013063291534351,0.7546605788449936,0.6312333205332349,0.0
44,0.6618109695085163,0.3727987371643732,0.6356484448891486,0.847570205990947,0.0
45,0.33563130574210803,0.5799211412716371,0.3737641559267767,0.948307054437426,0.0
46,0.5501293705962217,0.6924692278977083,0.1289360148358516,0.7003695585481013,0.0
47,0.606668701443997,0.697694601195597,0.016071739224784047,0.4750868594433245,0.0
48,0.6569437569690341,0.6996574283202864,0.05535990664146781,0.3675562860305689,0.0
49,0.7976118981600878,0.7279738521739011,0.15951263910553712,0.2690165806814791,0.0
50,0.8318346510008179,0.8178340833030684,0.28007362278053943,0.42271533443096493,0.0
51,0.5964203809583407,0.7539593797261129,0.4725378642380835,0.6171906192893698,0.0
52,0.5129764578548476,0.729997263203559,0.6430122449839434,0.6558091366008162,0.0
53,0.2663628203053744,0.7103050518852793,0.7061783524309324,0.9368625300550211,0.0
54,0.7646568079968726,0.6846538904743775,0.7148447141938645,0.9142079603393823,0.0
55,0.1659826111256334,0.6916998428340809,0.6052101077585055,0.5763678919213632,0.0
56,0.47366127935507685,0.6387862476461393,0.4658096536454187,0.34402695346856793,0.0
57,0.005727472008859903,0.5245612063119295,0.3326719232732168,0.6141771643974183,0.0
58,0.4000952827011495,0.6458394730731163,0.1979071328767788,0.7651179768770917,0.0
59,0.2015362399377967,0.6345206856771602,0.10772519719401179,0.4828800496838108,0.0
60,0.23380943991613318,0.6336752979156404,0.12691835619640202,0.5530546933334198,0.0
61,0.1335936831181564,0.6250931378949027,0.22820030761319357,0.7966436908664477,0.0
62,0.7091398177561667,0.5509509469329139,0.4059301946545571,0.5552462102458748,0.0
63,0.31466997237861266,0.704554105698517,0.5545536317810232,0.37344900941460607,0.0
64,0.9735786292504184,0.7246132523223054,0.6899155934269972,0.7187048841690493,0.0
65,0.8510986306677362,0.6852847364882114,0.778553349189498,0.6616927545842751,0.0
