t,z,mu_obs,mu_lcdm,O,R,I,demand,S
0,0.010000,33.1323,33.0825,0.9224,0.8381,0.9553,0.0282,1.0000
1,0.010565,33.1888,33.2026,0.7642,0.9549,0.9583,0.0298,0.5000
2,0.011161,33.3879,33.3229,0.7516,0.7888,0.9661,0.0315,0.6667
3,0.011791,33.5960,33.4432,0.8244,0.5034,0.9657,0.0332,0.7500
4,0.012457,33.5400,33.5635,0.7224,0.9236,0.9292,0.0351,0.6000
5,0.013161,33.6604,33.6839,0.6324,0.9236,0.9358,0.0370,0.5000
6,0.013904,33.9629,33.8044,0.3968,0.4847,0.9576,0.0391,0.5714
7,0.014689,34.0020,33.9249,0.6684,0.7495,0.9576,0.0412,0.6250
8,0.015518,33.9983,34.0455,0.6549,0.8467,0.9576,0.0435,0.5556
9,0.016395,34.2207,34.1662,0.7074,0.8228,0.9900,0.0459,0.6000
10,0.017320,34.2403,34.2869,1.0000,0.8486,0.9584,0.0485,0.5455
11,0.018298,34.3609,34.4077,0.6992,0.8478,0.9669,0.0512,0.5000
12,0.019332,34.5530,34.5287,0.6851,0.9209,0.9641,0.0540,0.5385
13,0.020423,34.4572,34.6497,0.3031,0.3745,0.9596,0.0570,0.5000
14,0.021577,34.5971,34.7708,0.7245,0.4359,0.9451,0.0601,0.4667
15,0.022795,34.8353,34.8919,0.6456,0.8160,0.9612,0.0634,0.4375
16,0.024082,34.9112,35.0133,0.6986,0.6685,0.9382,0.0669,0.4118
17,0.025442,35.1663,35.1347,0.8783,0.8971,0.9462,0.0706,0.4444
18,0.026879,35.1647,35.2562,0.5107,0.7026,0.9425,0.0744,0.4211
19,0.028396,35.2354,35.3778,0.5723,0.5372,0.9510,0.0785,0.4000
20,0.030000,35.6475,35.4996,0.5656,0.5195,0.9845,0.0828,0.4286
21,0.031694,35.5987,35.6215,0.8351,0.9259,0.9217,0.0873,0.4091
22,0.033483,35.7504,35.7436,0.4673,0.9778,0.9600,0.0920,0.4348
23,0.035374,35.7218,35.8658,0.9122,0.5321,0.9255,0.0970,0.4167
24,0.037371,35.9331,35.9881,0.5957,0.8211,0.9426,0.1023,0.4000
25,0.039482,36.1219,36.1106,0.3403,0.9635,0.9660,0.1078,0.4231
26,0.041711,36.1168,36.2333,0.8448,0.6213,0.9506,0.1136,0.4074
27,0.044066,36.3943,36.3562,0.7767,0.8763,0.9335,0.1197,0.4286
28,0.046555,36.4184,36.4793,0.6702,0.8021,0.9389,0.1261,0.4138
29,0.049183,36.5729,36.6025,0.7651,0.9038,0.9598,0.1328,0.4000
30,0.051961,36.6649,36.7260,0.9305,0.8014,0.9386,0.1399,0.3871
31,0.054895,37.0380,36.8497,0.6724,0.3882,0.9528,0.1473,0.4062
32,0.057994,36.9722,36.9736,0.8511,0.9955,0.9502,0.1551,0.4242
33,0.061269,36.9900,37.0977,0.6061,0.6500,0.9397,0.1632,0.4118
34,0.064729,37.3060,37.2221,0.8262,0.7275,0.9816,0.1718,0.4286
35,0.068384,37.2222,37.3468,0.4329,0.5952,0.9589,0.1808,0.4167
36,0.072245,37.4931,37.4717,0.8022,0.9307,0.9190,0.1901,0.4324
37,0.076325,37.3965,37.5970,0.7277,0.3487,0.9521,0.2000,0.4211
38,0.080635,37.5864,37.7225,0.5459,0.5580,0.9394,0.2102,0.4103
39,0.085188,37.8685,37.8483,0.8692,0.9344,0.9620,0.2210,0.4250
40,0.089998,38.0503,37.9744,0.6361,0.7536,0.9373,0.2322,0.4390
41,0.095080,38.1185,38.1009,0.4630,0.9427,0.9475,0.2440,0.4524
42,0.100449,38.2158,38.2278,0.9242,0.9613,0.9567,0.2562,0.4651
43,0.106121,38.3239,38.3549,0.6377,0.8990,0.9621,0.2690,0.4545
44,0.112113,38.3297,38.4825,0.6239,0.5034,0.9310,0.2823,0.4444
45,0.118444,38.5359,38.6105,0.5390,0.7578,0.9440,0.2961,0.4348
46,0.125132,38.6910,38.7388,0.8575,0.8447,0.9418,0.3105,0.4255
47,0.132198,38.9775,38.8676,0.8685,0.6429,0.9391,0.3255,0.4375
48,0.139663,39.0326,38.9968,0.5735,0.8837,0.9753,0.3411,0.4490
49,0.147549,38.9424,39.1265,0.6067,0.4018,0.9548,0.3572,0.4400
50,0.155881,39.2905,39.2566,0.6115,0.8898,0.9297,0.3739,0.4510
51,0.164683,39.3468,39.3872,0.5934,0.8687,0.9623,0.3912,0.4423
52,0.173982,39.4471,39.5183,0.7535,0.7686,0.9803,0.4091,0.4340
53,0.183806,39.7144,39.6499,0.6055,0.7903,0.9639,0.4275,0.4444
54,0.194185,39.8911,39.7820,0.5925,0.6455,0.9255,0.4465,0.4545
55,0.205150,40.0134,39.9146,0.7491,0.6788,0.9410,0.4661,0.4643
56,0.216734,39.9584,40.0477,0.3356,0.7096,0.9671,0.4862,0.4561
57,0.228972,40.1484,40.1814,0.5528,0.8926,0.9374,0.5069,0.4655
58,0.241901,40.3512,40.3157,0.8131,0.8846,0.9546,0.5280,0.4746
59,0.255561,40.5555,40.4505,0.5153,0.6587,0.9594,0.5496,0.4833
60,0.269992,40.5341,40.5859,0.7698,0.8317,0.9337,0.5716,0.4918
61,0.285237,40.7017,40.7218,0.4852,0.9345,0.9466,0.5939,0.5000
62,0.301344,40.7377,40.8584,0.4210,0.6080,0.8988,0.6166,0.4921
63,0.318359,40.8644,40.9955,0.7300,0.5742,0.9319,0.6396,0.4844
64,0.336336,41.2226,41.1332,0.4409,0.7093,0.9433,0.6628,0.4923
65,0.355328,41.4215,41.2714,0.5223,0.5123,0.9282,0.6861,0.5000
66,0.375392,41.4023,41.4103,0.4510,0.9740,0.9712,0.7094,0.5075
67,0.396589,41.6620,41.5497,0.2735,0.6351,0.9251,0.7327,0.5147
68,0.418983,41.7303,41.6896,0.6067,0.8677,0.9398,0.7559,0.5217
