t,date,O,R,I,demand,S
0,1845-01-01,0.11786542923433875,0.35320378151260495,0.16286496099324999,0.20871405213042224,0.0668565541482334
1,1846-01-01,0.11799801126947299,0.5509453781512604,0.11246552766438955,0.2812349716264307,0.0616689897581965
2,1847-01-01,0.11806430228704012,0.6034663865546218,0.10358040162934617,0.300519380590555,0.0613417368644324
3,1848-01-01,0.06755054690089492,0.4770220588235293,0.07822306737125972,0.21756275848802542,0.040106660202412
4,1849-01-01,0.173947630096122,0.23686974789915966,0.2849296179097034,0.206790420313552,0.0161565965699048
5,1850-01-01,0.3725555187272125,0.06867121848739498,0.7232746581055615,0.289266134461864,0.012993151930186
6,1851-01-01,0.4825986078886312,0.03111869747899161,0.9393188073367704,0.3553428873713571,0.0264832434397915
7,1852-01-01,0.48584686774942,0.024816176470588244,0.9717070885782835,0.3553909781667789,0.0399854554269438
8,1853-01-01,0.5746105402717933,0.09164915966386555,0.7973558986325888,0.4442627681061845,0.0758863099206109
9,1854-01-01,0.39429897248922774,0.21546743697478993,0.49113675351273933,0.35880542464172355,0.090249075813587
10,1855-01-01,0.48306264501160096,0.39023109243697474,0.4076659018243564,0.48720784841781284,0.1369735167565602
11,1856-01-01,0.5718263175339743,0.4095325630252101,0.4383674438333163,0.5586707704145426,0.201708987334101
12,1857-01-01,0.44222737819025526,0.3466386554621848,0.4127147247224061,0.4416177743579879,0.2369432155626932
13,1858-01-01,0.20145840238647666,0.23778886554621845,0.31319384484796886,0.22708473598153314,0.2181079934549421
14,1859-01-01,0.0718594630427577,0.1378676470588235,0.21762412709184722,0.0964701356160431,0.1663535543300406
15,1860-01-01,0.1305270135896586,0.0585609243697479,0.4624489659682667,0.10998364912955662,0.1180049693957942
16,1861-01-01,0.18926085515412663,0.011685924369747903,0.7474041403998121,0.13542367990766568,0.0760681170838131
17,1862-01-01,0.002519058667550519,0.011817226890756354,0.13638329714876513,0.0,0.0
18,1863-01-01,1.0,0.14627100840336135,0.8630689957369269,0.7728671732230451,0.1187200775710563
