t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0
2,0.29099143403659544,0.29099143403659544,0.0,0.0012393742944126407,0.0
3,0.0,0.0,0.0,0.0073272579880566775,0.0
4,0.5184909870268063,0.5184909870268063,0.0,0.016966407169659737,0.0
5,0.47022135580272106,0.47022135580272106,0.0,0.026559260657775006,0.0
6,0.43970194714453575,0.43970194714453575,0.0,0.04317845012627634,0.0
7,0.6448775012998686,0.6448775012998686,0.0,0.07067326958995038,0.0
8,0.6221465683844668,0.6221465683844668,0.0,0.09949716125416964,0.0
9,0.6590223951428339,0.6590223951428339,0.0,0.11043355434704508,0.0
10,0.7566758197399536,0.7566758197399536,0.0,0.13942140992570026,0.0
11,0.6867374019591125,0.6867374019591125,0.0,0.17273984183269223,0.0
12,0.7613545398258313,0.7613545398258313,0.00015746295683940353,0.3519909800557189,0.00015746295683940353
13,0.6604364355396015,0.6604364355396015,0.005668666446218527,0.24721900322478446,0.005668666446218527
14,0.6054760677771168,0.6054760677771168,0.02125749917331948,0.15571845852701574,0.02125749917331948
15,0.6290482713755761,0.6290482713755761,0.04361723904451478,0.1399567038816528,0.04361723904451478
16,0.6443446817214084,0.6443446817214084,0.06078070134000976,0.16863881498456573,0.06078070134000976
17,0.7344554038239829,0.7344554038239829,0.07699938589446832,0.28863725250491057,0.07699938589446832
18,0.6910475952129981,0.6910475952129981,0.11730990284535564,1.0,0.11730990284535564
19,0.4016522455516378,0.4016522455516378,0.204859306848064,0.8751101331145864,0.204859306848064
20,0.0,0.0,0.2920937849370936,0.12941768215788088,0.2920937849370936
21,0.32592212542274634,0.32592212542274634,0.4212134095454045,0.035054520412783986,0.4212134095454045
22,0.4298799669933827,0.4298799669933827,0.5456091454485332,0.01116690706670004,0.5456091454485332
23,0.4281595396309069,0.4281595396309069,0.649692159919379,0.005616246316237203,0.649692159919379
24,0.9712203104569971,0.9712203104569971,0.7317303604327082,0.07853485704034527,0.7317303604327082
25,0.9711660757095789,0.9711660757095789,0.8255782827089927,1.0,0.8255782827089927
26,0.8038353166568555,0.8038353166568555,0.9106082794022706,0.4432417209073764,0.9106082794022706
27,0.5369508087763746,0.5369508087763746,0.9438329632953848,0.04359221788682344,0.9438329632953848
28,0.4832962195354964,0.4832962195354964,0.9569023887130553,0.00990052695108619,0.9569023887130553
29,0.9221846311564074,0.9221846311564074,0.9633583699434708,0.02511155574266732,0.9633583699434708
30,0.9805245480293857,0.9805245480293857,0.9709165918717622,0.1221502227739126,0.9709165918717622
31,0.9543527569695754,0.9543527569695754,0.9737509250948715,0.1342632980762693,0.9737509250948715
32,0.9110967054932634,0.9110967054932634,0.9756404805769443,0.07351852575222065,0.9756404805769443
33,0.915758144349084,0.915758144349084,0.9772151101453384,0.065675263680498,0.9772151101453384
34,0.9171641387987957,0.9171641387987957,0.9786322767568929,0.15395439970640817,0.9786322767568929
35,0.8208965437256056,0.8208965437256056,0.9861904986851844,0.06354083931198815,0.9861904986851844
36,0.7750746763113239,0.7750746763113239,0.9869778134693814,0.012971474619109418,0.9869778134693814
37,0.7709330969979454,0.7709330969979454,0.0,0.005840008834761509,0.0
38,0.8646281577560156,0.8646281577560156,0.0,0.00810656882843443,0.0
39,0.9189974843381116,0.9189974843381116,0.0,0.02959838003652538,0.0
40,0.8037286120959838,0.8037286120959838,0.0,0.030446169923520484,0.0
41,0.6610887719164392,0.6610887719164392,0.9995748500165336,0.005296998929894336,0.9995748500165336
42,0.5555538226778701,0.5555538226778701,0.0,0.0011438894265940792,0.0
43,0.596207489783849,0.596207489783849,0.0,0.00032310536080018255,0.0
44,0.9440974499212706,0.9440974499212706,0.0,0.0001234551826340996,0.0
45,1.0,1.0,1.0,0.0,1.0
46,1.0,1.0,1.0,0.0,1.0
47,0.9448202895166178,0.9448202895166178,0.0,0.008044841237117382,0.0
48,0.8314069134963737,0.8314069134963737,0.0,0.0056895478309262,0.0
49,0.7318457716098989,0.7318457716098989,0.0,0.0006732165428015744,0.0
50,0.8764558239397879,0.8764558239397879,0.0,0.0005545838282391193,0.0
51,0.0724317616567541,0.0724317616567541,0.0,2.6041327586880386e-05,0.0
52,1.0,1.0,0.0,5.786961685973419e-05,0.0
53,1.0,1.0,0.0,0.0001832537867224916,0.0
54,0.912683879079454,0.912683879079454,0.0,0.00012924214432007302,0.0
55,1.0,1.0,0.0,4.4366706259129543e-05,0.0
