t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0
2,0.8221302087739244,0.8221302087739244,0.0,0.0001513452003260401,0.0
3,0.6579067770191528,0.6579067770191528,0.0,0.004126910206750114,0.0
4,0.7493882963001632,0.7493882963001632,0.0,0.02520412651499883,0.0
5,0.6350272256109649,0.6350272256109649,0.0,0.056151660848363726,0.0
6,0.768934251931926,0.768934251931926,0.0,0.1387480123794673,0.0
7,0.8510796263691719,0.8510796263691719,0.0,0.34939837367402077,0.0
8,0.8387085379300668,0.8387085379300668,0.0,0.3967889874079628,0.0
9,0.8282925122207894,0.8282925122207894,0.0,0.30324780580233923,0.0
10,0.8753469562378793,0.8753469562378793,0.0,0.24750226969209355,0.0
11,0.8108827289339434,0.8108827289339434,0.0,0.1287492517774477,0.0
12,0.8639421750207883,0.8639421750207883,0.0,0.09042736424882994,0.0
13,0.8909976036650311,0.8909976036650311,0.00253051503423638,0.05677233166134466,0.00253051503423638
14,0.9412564132410761,0.9412564132410761,0.009824352485858886,0.14170073391408172,0.009824352485858886
15,0.9285131445229758,0.9285131445229758,0.027984519202143492,0.8079913375605036,0.027984519202143492
16,0.8745088739792547,0.8745088739792547,0.045400416790711516,1.0,0.045400416790711516
17,0.5586292556624158,0.5586292556624158,0.0605835069961298,0.37874288633826453,0.0605835069961298
18,0.7040500024799389,0.7040500024799389,0.1068770467401012,0.18443259123002512,0.1068770467401012
19,0.864090487244717,0.864090487244717,0.15525454004167905,0.2143017262228819,0.15525454004167905
20,0.8671960062533347,0.8671960062533347,0.24947901161059838,0.15511545157397394,0.24947901161059838
21,0.8389188505960642,0.8389188505960642,0.3456385829115808,0.1005054903775616,0.3456385829115808
22,0.5099835058549754,0.5099835058549754,0.4705269425424233,0.04845919766441186,0.4705269425424233
23,0.316697516903789,0.316697516903789,0.6336707353378981,0.03470077868271756,0.6336707353378981
24,0.978774781742455,0.978774781742455,0.7456088121464721,1.0,0.7456088121464721
25,0.845324467515102,0.845324467515102,0.8303066388806192,0.29536243579733823,0.8303066388806192
26,0.17109045285991292,0.17109045285991292,0.873027686811551,0.016731289641865817,0.873027686811551
27,0.20871855651971846,0.20871855651971846,0.9020541827924977,0.006163688774922154,0.9020541827924977
28,0.7176578293874661,0.7176578293874661,0.9333134861565942,0.015461765155398028,0.9333134861565942
29,0.9758720529837527,0.9758720529837527,0.960553736231021,0.03836957163283007,0.960553736231021
30,0.9790739393401113,0.9790739393401113,0.9797558797261088,0.10200906218259867,0.9797558797261088
31,0.9547858044002402,0.9547858044002402,0.989729086037511,0.06289044194806931,0.989729086037511
32,0.9307590848811919,0.9307590848811919,0.9961298005358737,0.025906268470706643,0.9961298005358737
33,0.9313624382041849,0.9313624382041849,0.9979160464423935,0.013624048285856878,0.9979160464423935
34,0.0,0.0,0.9986603155701101,0.0031192919584321606,0.9986603155701101
35,0.7936195658275563,0.7936195658275563,0.9991068770467401,0.0008918741556884709,0.9991068770467401
36,0.9087231863626634,0.9087231863626634,0.9995534385233701,0.0008900924805990162,0.9995534385233701
37,0.8928340223144888,0.8928340223144888,0.9998511461744566,0.0005410461335285791,0.9998511461744566
38,0.9591328654295597,0.9591328654295597,0.9998511461744566,0.002930434398949966,0.9998511461744566
39,0.9732545182944157,0.9732545182944157,0.9998511461744566,0.03906798826789631,0.9998511461744566
40,0.8695874107172378,0.8695874107172378,0.9998511461744566,0.00717810978267257,0.9998511461744566
41,0.8511895588485302,0.8511895588485302,0.9998511461744566,0.0006754816175510676,0.9998511461744566
42,0.9033019874465316,0.9033019874465316,0.9998511461744566,0.00025889358754403095,0.9998511461744566
43,0.8984524312508366,0.8984524312508366,0.9998511461744566,0.00021661929678515202,0.9998511461744566
44,0.19269424003346608,0.19269424003346608,0.9998511461744566,0.0002469077733058814,0.9998511461744566
45,0.0,0.0,1.0,0.0004344695690866545,1.0
46,0.8766783053641592,0.8766783053641592,1.0,7.797258073304335e-05,1.0
47,0.9588617715866097,0.9588617715866097,1.0,0.0018416689488304863,1.0
48,0.8980185584200843,0.8980185584200843,1.0,0.001922006298318624,1.0
49,0.8856599852722887,0.8856599852722887,1.0,0.0006351509723443212,1.0
50,0.8575270482794767,0.8575270482794767,1.0,0.0008564026243620553,1.0
51,0.803657198302006,0.803657198302006,1.0,0.000413899320326587,1.0
52,0.8666562120045901,0.8666562120045901,1.0,0.0004080683836701899,1.0
53,0.8963074385662534,0.8963074385662534,1.0,0.00017337318325020691,1.0
54,0.9738178613146283,0.9738178613146283,1.0,0.00012623977861099707,1.0
55,1.0,1.0,1.0,4.460666542143776e-05,1.0
