t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0
2,0.6861555685164891,0.6861555685164891,0.0,0.003946747391891672,0.0
3,0.2996669833537256,0.2996669833537256,0.0,0.04414660742476768,0.0
4,0.46657692475554735,0.46657692475554735,0.0,0.3528880425760461,0.0
5,0.4857755978369586,0.4857755978369586,0.0,0.5786664062627151,0.0
6,0.5301393412096718,0.5301393412096718,0.0,0.6469410673306968,0.0
7,0.7319307630680763,0.7319307630680763,0.0,0.5594616148300051,0.0
8,0.4530513611137803,0.4530513611137803,0.0,0.18191657308399656,0.0
9,0.8245872032064521,0.8245872032064521,0.0,0.15184805429422393,0.0
10,0.8263641190527696,0.8263641190527696,0.0,0.21971583418778382,0.0
11,0.8964432011178656,0.8964432011178656,0.0,0.6610191559656918,0.0
12,0.8653048382692066,0.8653048382692066,0.0,1.0,0.0
13,0.6481492390749336,0.6481492390749336,0.0,1.0,0.0
14,0.3502223632503104,0.3502223632503104,0.0,0.28774636655111246,0.0
15,0.7252570973342554,0.7252570973342554,0.0,0.0893104177855899,0.0
16,0.89445974436815,0.89445974436815,0.0008139345596614033,0.06514167602493369,0.0008139345596614033
17,0.0,0.0,0.014379510554018125,0.048011978581774986,0.014379510554018125
18,0.9044337428818584,0.9044337428818584,0.017363937272776603,0.13956024282668492,0.017363937272776603
19,0.7987352040105078,0.7987352040105078,0.017906560312550873,0.8173429031785558,0.017906560312550873
20,0.32666946394317103,0.32666946394317103,0.024146725269954965,0.5378155363507642,0.024146725269954965
21,0.40652086188525294,0.40652086188525294,0.038254924304085954,0.31272887066061233,0.038254924304085954
22,0.0,0.0,0.043681154701828644,0.08524160604137168,0.043681154701828644
23,0.9615892476566283,0.9615892476566283,0.055618861576862556,0.8964406034861581,0.055618861576862556
24,0.8370845120396649,0.8370845120396649,0.06755656845189648,0.6919421252217504,0.06755656845189648
25,0.7380179663848061,0.7380179663848061,0.10038526235823975,0.060259101931871825,0.10038526235823975
26,1.0,1.0,0.11883444571056488,0.03234705336653484,0.11883444571056488
27,0.9385653533301974,0.9385653533301974,0.18150740680449295,0.01582767768500887,0.18150740680449295
28,1.0,1.0,0.20890987031309352,0.013956024282668492,0.20890987031309352
29,0.9743031424144797,0.9743031424144797,0.26045905909164907,0.037839949221229435,0.26045905909164907
30,0.9872579830335095,0.9872579830335095,0.30631070595257476,0.16352554400013022,0.30631070595257476
31,0.986403779055251,0.986403779055251,0.35975907537034024,0.09887212538450273,0.35975907537034024
32,0.898289720517828,0.898289720517828,0.44847794237343325,0.07238416092964212,0.44847794237343325
33,1.0,1.0,0.5998697704704542,0.03873508780495744,0.5998697704704542
34,1.0,1.0,0.6381246947745401,0.007120420552381883,0.6381246947745401
35,1.0,1.0,0.7431222529708612,0.004150187979102583,0.7431222529708612
36,1.0,1.0,0.7941288187096425,0.0019530296372247452,0.7941288187096425
37,1.0,1.0,0.8283140702154215,0.005492895854694596,0.8283140702154215
38,1.0,1.0,0.8665689945195074,0.0025226632814152957,0.8665689945195074
39,1.0,1.0,0.0,0.0006103217616327328,0.0
40,1.0,1.0,0.0,0.0,0.0
41,1.0,1.0,0.0,0.0,0.0
42,1.0,1.0,0.960714091920343,0.0,0.960714091920343
43,1.0,1.0,0.9669542568777472,0.015298732158260503,0.9669542568777472
44,1.0,1.0,0.9897444245482663,0.0035398662174698507,0.9897444245482663
45,1.0,1.0,1.0,0.0014240841104763767,1.0
46,1.0,1.0,1.0,0.0,1.0
47,1.0,1.0,0.0,0.0006103217616327328,0.0
48,1.0,1.0,0.0,0.0,0.0
49,1.0,1.0,0.0,0.0,0.0
50,1.0,1.0,0.0,0.0,0.0
51,1.0,1.0,0.0,0.0,0.0
52,1.0,1.0,0.0,0.0,0.0
53,1.0,1.0,0.0,0.0,0.0
54,1.0,1.0,0.0,0.0,0.0
55,1.0,1.0,0.0,0.0,0.0
