t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,5.727627267400581e-06,0.0
2,0.8815929572071128,0.8815929572071128,0.0,0.0020466721435511413,0.0
3,0.7898081967114432,0.7898081967114432,0.0,0.011873371325321406,0.0
4,0.8767460771703095,0.8767460771703095,0.0,0.018958446255095924,0.0
5,0.9452297582254958,0.9452297582254958,0.0,0.03356007736878914,0.0
6,0.9524225073558424,0.9524225073558424,0.0,0.08311932690451723,0.0
7,0.9730031898319931,0.9730031898319931,0.0,0.257311745778882,0.0
8,0.9285480164966937,0.9285480164966937,0.0,0.1682375957253573,0.0
9,0.9190365199004973,0.9190365199004973,0.0,0.12710368589997545,0.0
10,0.9372182402940571,0.9372182402940571,0.0,0.11452390721167463,0.0
11,0.9368382444147956,0.9368382444147956,0.0,0.07868423419046006,0.0
12,0.9346870404261237,0.9346870404261237,0.0,0.10808223574493811,0.0
13,0.8797969557934824,0.8797969557934824,0.0,0.09685417709174383,0.0
14,0.9802407172873531,0.9802407172873531,0.0,0.27785483557795876,0.0
15,0.9608607023671686,0.9608607023671686,0.0037468386049270925,0.5262181183560719,0.0037468386049270925
16,0.9515769257916539,0.9515769257916539,0.016236300621350737,0.4317065408166949,0.016236300621350737
17,0.9319314169057261,0.9319314169057261,0.03559496674680738,0.33290306124494573,0.03559496674680738
18,0.9370148407090725,0.9370148407090725,0.10584819058919037,0.28780945176870093,0.10584819058919037
19,0.9620227859067065,0.9620227859067065,0.188590876447997,0.7734282388443484,0.188590876447997
20,0.9720100973315728,0.9720100973315728,0.28850657257938617,1.0,0.28850657257938617
21,0.9519543790769809,0.9519543790769809,0.3696880756861398,0.5660022173554363,0.3696880756861398
22,0.6080886765910021,0.6080886765910021,0.491304212071065,0.08486816243016355,0.491304212071065
23,0.0,0.0,0.670371873731539,0.012913890278899177,0.670371873731539
24,0.9896038152851356,0.9896038152851356,0.7974521497486495,1.0,0.7974521497486495
25,0.9340660632088824,0.9340660632088824,0.8464732881631123,0.2203036367951177,0.8464732881631123
26,0.4537057306061946,0.4537057306061946,0.8915914696974427,0.030438520508055823,0.8915914696974427
27,0.40178498257903694,0.40178498257903694,0.9157898023542635,0.013633662105502518,0.9157898023542635
28,0.8666396417798543,0.8666396417798543,0.9332750491772567,0.01169199646185372,0.9332750491772567
29,0.985908467860483,0.985908467860483,0.9571611452836669,0.020279618944776326,0.9571611452836669
30,0.9917806182226018,0.9917806182226018,0.9704311986761169,0.13668409710924748,0.9704311986761169
31,0.9737342149223815,0.9737342149223815,0.9783932307115871,0.19064407359542834,0.9783932307115871
32,0.9400683368829532,0.9400683368829532,0.9879164454991101,0.11905827879836675,0.9879164454991101
33,0.9510739745499786,0.9510739745499786,0.9932244668560901,0.12869214786213454,0.9932244668560901
34,0.9318745778020344,0.9318745778020344,0.9961907140849908,0.05778603150080447,0.9961907140849908
35,0.9217338714840911,0.9217338714840911,0.9986886064882755,0.05157346512476397,0.9986886064882755
36,0.9577297484377195,0.9577297484377195,0.9991569613138914,0.025537580776250058,0.9991569613138914
37,0.40864115910118454,0.40864115910118454,1.0,0.006443580675825654,1.0
38,0.790419184484229,0.790419184484229,1.0,0.007354273411342347,1.0
39,0.9686318114090008,0.9686318114090008,0.0,0.02268522239708457,0.0
40,0.9985529737952138,0.9985529737952138,0.0,0.08703320553724098,0.0
41,0.9980098831851774,0.9980098831851774,0.0,0.047331202528709274,0.0
42,0.9881637434496131,0.9881637434496131,0.0,0.01792174571969642,0.0
43,0.8297535790923227,0.8297535790923227,0.0,0.004496187404909456,0.0
44,0.9710424628641814,0.9710424628641814,0.0,0.006489401693964859,0.0
45,0.9857595725442082,0.9857595725442082,0.0,0.011623264934644913,0.0
46,0.9768785685757124,0.9768785685757124,0.0,0.008165687274224096,0.0
47,0.9889234754710619,0.9889234754710619,0.0,0.018217673128512118,0.0
48,0.9697698898851892,0.9697698898851892,0.0,0.015623057976379653,0.0
49,1.0,1.0,0.0,0.0,0.0
50,1.0,1.0,0.0,0.0,0.0
51,1.0,1.0,0.0,0.0,0.0
52,1.0,1.0,0.0,0.0,0.0
53,1.0,1.0,0.0,0.0,0.0
54,1.0,1.0,0.0,0.0,0.0
55,1.0,1.0,0.0,0.0,0.0
