t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0
2,0.9556491221629252,0.9556491221629252,0.0,0.0009412114026428559,0.0
3,0.827194793489046,0.827194793489046,0.0,0.05417604631334261,0.0
4,0.801415859114267,0.801415859114267,0.0,0.2219666301255181,0.0
5,0.5377320206907142,0.5377320206907142,0.0,0.15614334902565824,0.0
6,0.4493670754739586,0.4493670754739586,0.0,0.12159398696466636,0.0
7,0.5886861560817894,0.5886861560817894,0.0,0.12145249766884424,0.0
8,0.5439789029388451,0.5439789029388451,0.0,0.11001783858764429,0.0
9,0.6426761575804064,0.6426761575804064,0.0,0.24762950747644477,0.0
10,0.679156960210438,0.679156960210438,0.0,0.5162541125880225,0.0
11,0.550995936489437,0.550995936489437,0.0,0.5336791687155273,0.0
12,0.5668831900018725,0.5668831900018725,0.0,0.5468431414123311,0.0
13,0.18342887619409873,0.18342887619409873,0.0,0.2703231601846114,0.0
14,0.0,0.0,0.054829339143064634,0.18701057177943364,0.054829339143064634
15,0.0,0.0,0.09458968772694264,0.1658104171938339,0.09458968772694264
16,0.19363510280348092,0.19363510280348092,0.14960058097313,0.20554772010163716,0.14960058097313
17,0.2996199721725367,0.2996199721725367,0.21750181554103123,0.26499783118098724,0.21750181554103123
18,0.29811793299024486,0.29811793299024486,0.3171750181554103,0.46144307325140077,0.3171750181554103
19,0.3088176112885555,0.3088176112885555,0.45751633986928103,0.5168330567115071,0.45751633986928103
20,0.024658301332448982,0.024658301332448982,0.5295933188090052,0.36768830140528264,0.5295933188090052
21,0.4270540458671871,0.4270540458671871,0.5971314451706609,0.7469008034268024,0.5971314451706609
22,0.24905634188358822,0.24905634188358822,0.7111474219317357,0.7220930135593225,0.7111474219317357
23,0.08191473932116387,0.08191473932116387,0.8376906318082789,0.5615088145097205,0.8376906318082789
24,0.6184244369324268,0.6184244369324268,0.8758169934640524,0.9192238293674636,0.8758169934640524
25,0.9013956088675599,0.9013956088675599,0.8983297022512708,1.0,0.8983297022512708
26,0.7202953605513532,0.7202953605513532,0.9139433551198258,1.0,0.9139433551198258
27,0.5095561883517501,0.5095561883517501,0.9230210602759623,0.2558017104757171,0.9230210602759623
28,0.579255532279309,0.579255532279309,0.927923021060276,0.12764385052660676,0.927923021060276
29,0.5001562705611239,0.5001562705611239,0.9368191721132898,0.06472280879902109,0.9368191721132898
30,0.8367086719389168,0.8367086719389168,0.9415395787944808,0.12486806294045379,0.9415395787944808
31,0.9591370443386041,0.9591370443386041,0.9578794480755265,0.5495861198864094,0.9578794480755265
32,0.9588362087301192,0.9588362087301192,0.9645969498910676,0.9479393211876734,0.9645969498910676
33,0.9002094323589298,0.9002094323589298,0.9714960058097313,0.43106320251656827,0.9714960058097313
34,0.7143851428060024,0.7143851428060024,0.9793028322440087,0.10313270971413557,0.9793028322440087
35,0.8106422555960416,0.8106422555960416,0.9901960784313726,0.1294408329358646,0.9901960784313726
36,0.8271335986536186,0.8271335986536186,0.9920116194625999,0.11891525966840104,0.9920116194625999
37,0.9220044448349752,0.9220044448349752,0.9978213507625273,0.215009731319346,0.9978213507625273
38,0.9300069895898329,0.9300069895898329,0.9998184458968773,0.22755716611841273,0.9998184458968773
39,0.9147483873457631,0.9147483873457631,1.0,0.18102700996481086,1.0
40,0.767832228584535,0.767832228584535,1.0,0.045460442395333124,1.0
41,0.6441322485790986,0.6441322485790986,0.0,0.02418373321489244,0.0
42,0.6290240371725676,0.6290240371725676,1.0,0.01416601766141844,1.0
43,0.6919383742249675,0.6919383742249675,0.0,0.008259693964804846,0.0
44,0.9561874140969103,0.9561874140969103,1.0,0.01933413633635136,1.0
45,0.9667695477949096,0.9667695477949096,0.0,0.05714937209511198,0.0
46,0.9693320320672445,0.9693320320672445,0.0,0.1440032940348523,0.0
47,0.969565692964778,0.969565692964778,0.0,0.2985834255747849,0.0
48,0.8678838747400431,0.8678838747400431,0.0,0.07043569543902761,0.0
49,0.9384199763649422,0.9384199763649422,0.0,0.0737357452952075,0.0
50,0.9479623815446825,0.9479623815446825,0.0,0.08225312749443237,0.0
51,0.9144910653266061,0.9144910653266061,0.0,0.04726972822161899,0.0
52,0.9169633004285583,0.9169633004285583,0.0,0.031105088816316958,0.0
53,0.9268278770862808,0.9268278770862808,0.0,0.030602015764504945,0.0
54,0.9156250538430392,0.9156250538430392,0.0,0.015460610542032505,0.0
55,0.7626048153796744,0.7626048153796744,0.0,0.005209813588194516,0.0
