t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,0.0,0.0
2,0.6777765032470082,0.6777765032470082,0.0,0.0035628142882811586,0.0
3,0.0,0.0,0.0,0.048311703989336416,0.0
4,0.0,0.0,0.0,0.0266320608714667,0.0
5,0.15403018693087683,0.15403018693087683,0.0,0.015778040039159197,0.0
6,0.18246830528573235,0.18246830528573235,0.0,0.014098193799480564,0.0
7,0.9108237852848398,0.9108237852848398,0.0,0.12706231810790983,0.0
8,0.717178215066098,0.717178215066098,0.0,0.1127961396844614,0.0
9,0.6511991744887349,0.6511991744887349,0.0,0.11323703915596445,0.0
10,0.710696126003575,0.710696126003575,0.0,0.19849814044871927,0.0
11,0.6473739269575303,0.6473739269575303,0.0,0.3668827507275204,0.0
12,0.27884821407548005,0.27884821407548005,0.0,0.16246279128545837,0.0
13,0.39034721932198196,0.39034721932198196,0.03162169537231737,0.10698213890249056,0.03162169537231737
14,0.7934891216058875,0.7934891216058875,0.12873400857156614,0.23390342693927552,0.12873400857156614
15,0.7857054969330939,0.7857054969330939,0.17127080691503876,0.6797846774052646,0.17127080691503876
16,0.44478019215861214,0.44478019215861214,0.23595884364114994,0.3102478658853121,0.23595884364114994
17,0.2613332856209705,0.2613332856209705,0.2862004205524968,0.08094355952487021,0.2862004205524968
18,0.6618521583421317,0.6618521583421317,0.5144544856257725,0.08819625956483515,0.5144544856257725
19,0.7812637269331625,0.7812637269331625,0.6976034928329508,0.3572301328219286,0.6976034928329508
20,0.5365710852045975,0.5365710852045975,0.8369315719353441,0.3292739295420505,0.8369315719353441
21,0.7275092930703132,0.7275092930703132,0.9151029711552352,0.4791176581152869,0.9151029711552352
22,0.6259454180438209,0.6259454180438209,0.9491324098300133,0.34432515931705077,0.9491324098300133
23,0.5751032814765135,0.5751032814765135,0.9706415833319957,0.2707902511735942,0.9706415833319957
24,0.907242928913635,0.907242928913635,0.9855695918072521,1.0,0.9855695918072521
25,0.884138119486653,0.884138119486653,0.9932743703751264,1.0,0.9932743703751264
26,0.7463660993271071,0.7463660993271071,0.9964846947784073,0.39184892396703075,0.9964846947784073
27,0.7833068017787812,0.7833068017787812,0.9974477920993916,0.10915968170716281,0.9974477920993916
28,0.7990359732022649,0.7990359732022649,0.9980898569800478,0.02586193079023867,0.9980898569800478
29,0.9335464714003823,0.9335464714003823,0.99857140564054,0.02525352802606853,0.99857140564054
30,0.987307119880851,0.987307119880851,0.9990529543010321,0.5643537301804018,0.9990529543010321
31,0.8894840034614464,0.8894840034614464,0.9995345029615244,0.2415970264507435,0.9995345029615244
32,0.8185694081605447,0.8185694081605447,0.9998555354018523,0.04754205523940916,0.9998555354018523
33,0.9277771213358788,0.9277771213358788,1.0,0.03860854629716405,1.0
34,0.8783521659690051,0.8783521659690051,1.0,0.013865710781209854,1.0
35,1.0,1.0,0.0,0.0,0.0
36,1.0,1.0,0.0,0.0,0.0
37,1.0,1.0,0.0,0.0,0.0
38,1.0,1.0,0.0,0.0,0.0
39,1.0,1.0,0.0,0.0,0.0
40,1.0,1.0,0.0,0.0,0.0
41,1.0,1.0,0.0,0.0,0.0
42,1.0,1.0,0.0,0.0,0.0
43,1.0,1.0,0.0,0.0,0.0
44,1.0,1.0,0.0,0.0,0.0
45,1.0,1.0,0.0,0.0,0.0
46,1.0,1.0,0.0,2.8879878046051004e-06,0.0
47,1.0,1.0,0.0,3.369319105372617e-06,0.0
48,1.0,1.0,0.0,5.775975609210201e-06,0.0
49,1.0,1.0,0.0,3.850650406140133e-06,0.0
50,1.0,1.0,0.0,1.9253252030700666e-06,0.0
51,1.0,1.0,0.0,0.0,0.0
52,1.0,1.0,0.0,1.4439939023025502e-06,0.0
53,1.0,1.0,0.0,0.0,0.0
54,1.0,1.0,0.0,4.813313007675167e-07,0.0
55,1.0,1.0,0.0,0.0,0.0
