t,O,R,I,demand,S
0,1.0,1.0,0.0,1.0236799548270512e-06,0.0
1,1.0,1.0,0.0,4.825919787041813e-06,0.0
2,0.8422842419000893,0.9999989204722445,0.0,0.01846557774515099,0.0
3,0.0,0.9999921837932035,0.0,0.11650033597907321,0.0
4,0.0,0.9999926884284388,0.0,0.1261283384342087,0.0
5,0.3956895588831819,0.999995768491789,0.0,0.10821101442486439,0.0
6,0.7140469973509499,0.9999980153981273,0.0,0.24400713259245332,0.0
7,0.6699256436160634,0.9999977039979921,0.0,0.26038835170958285,0.0
8,0.6217081275657784,0.9999973636879214,0.0,0.16475763272957522,0.0
9,0.7344752722794932,0.999998159577012,0.0,0.2149243850758168,0.0
10,0.8575692259272896,0.9999990283507588,0.0,0.6861897837998174,0.0
11,0.7685283781456781,0.9999983999173659,0.0001439781153264704,0.8229602990444082,0.0001439781153264704
12,0.7559729683018118,0.9999983113036678,0.03225109783312937,1.0,0.03225109783312937
13,0.3967175614181568,0.9999957757472354,0.13087610683176157,0.3607825459993879,0.13087610683176157
14,0.5521972304723073,0.9999968730932111,0.2811892592325967,0.23429226358115104,0.2811892592325967
15,0.7741619749561415,0.9999984396782222,0.4990281477215463,0.2601934137981851,0.4990281477215463
16,0.7275627658585089,0.9999981107898546,0.6379670290115903,0.17453757853800578,0.6379670290115903
17,0.4581040462625658,0.9999962090013871,0.7103880210208049,0.05366144947202757,0.7103880210208049
18,0.8495047937156587,0.999998971433528,0.7429270750845872,0.141143968491599,0.7429270750845872
19,0.8942541773764181,0.999999287266179,0.7855445972212224,0.6275833751860009,0.7855445972212224
20,0.7602118089440225,0.9999983412205999,0.8287380318191635,0.5932326243818309,0.8287380318191635
21,0.7002215141775165,0.9999979178204929,0.8562378518465193,0.4467102414075706,0.8562378518465193
22,0.7215554198849562,0.9999980683911476,0.8782665034914693,0.34171328956087604,0.8782665034914693
23,0.8233699966634722,0.999998786979094,0.9122453387085163,0.5707036221759907,0.9122453387085163
24,0.9523930063078345,0.999999697598992,0.9332661435461809,1.0,0.9332661435461809
25,0.7046203338888697,0.999997948866527,0.9468000863868693,0.6693770104617315,0.9468000863868693
26,0.3664386410256542,0.9999955620443659,0.9535670578072134,0.14171386574645056,0.9535670578072134
27,0.7143622940774522,0.9999980176234317,0.9603340292275575,0.13809676574606594,0.9603340292275575
28,0.9386456363800376,0.9999996005726659,0.9653732632639839,0.42766087360818106,0.9653732632639839
29,0.935746969142212,0.999999580114423,0.9692606723777984,0.4092619813000874,0.9692606723777984
30,0.9488210898800493,0.9999996723890843,0.9732920596069397,0.6233403680132364,0.9732920596069397
31,0.9061272870172591,0.9999993710643319,0.9770354906054279,0.4014175218062477,0.9770354906054279
32,0.874274001749763,0.9999991462498942,0.9822187027571809,0.26403601586861875,0.9822187027571809
33,0.845714383140025,0.99999894468153,0.9884097617162192,0.2035643161371139,0.9884097617162192
34,0.8254941473313112,0.9999988019709459,0.9925851270606868,0.16457205417776444,0.9925851270606868
35,0.8795395362755017,0.9999991834130368,0.9956086674825427,0.2513638817078147,0.9956086674825427
36,0.8609993707897606,0.9999990525600699,0.9974803829817868,0.28003510988261077,0.9974803829817868
37,0.7651897241320409,0.99999837635378,0.998488229789072,0.15869525379709587,0.998488229789072
38,0.7642011394544634,0.9999983693765371,0.9993520984810309,0.09915100810466435,0.9993520984810309
39,0.7922510456822004,0.9999985673474479,1.0,0.08318686544913002,1.0
40,0.4588712482742659,0.9999962144161532,1.0,0.02492295090020003,1.0
41,1.0,0.6406227290380043,0.0,0.0,0.0
42,1.0,0.7068992507486183,0.0,0.0,0.0
43,1.0,0.558090518489846,0.0,0.0,0.0
44,1.0,0.26626134039399474,0.0,0.0,0.0
45,1.0,0.22908545322246948,0.0,0.0,0.0
46,1.0,0.24181396666918975,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0,0.0
49,1.0,0.11092227341966356,0.0,0.0,0.0
50,1.0,0.4045334152908236,0.0,0.0,0.0
51,1.0,0.6746674112195747,0.0,0.0,0.0
52,1.0,0.7959334094447764,0.0,0.0,0.0
53,1.0,0.8048491233139103,0.0,0.0,0.0
54,1.0,0.7251812973361264,0.0,0.0,0.0
55,1.0,0.6548170129255927,0.0,0.0,0.0
