t,O,R,I,demand,S
0,1.0,1.0,0.0,1.3310073536159782e-06,0.0
1,1.0,1.0,0.0,9.317051475311847e-06,0.0
2,1.0,1.0,0.0,0.00010514958093566228,0.0
3,1.0,1.0,0.0,6.388835297356696e-05,0.0
4,1.0,1.0,0.0,3.859921325486337e-05,0.0
5,1.0,1.0,0.0,1.7968599273815706e-05,0.0
6,1.0,1.0,0.0,4.1926731638903316e-05,0.0
7,0.0,0.0,0.0,0.0004139432869745692,0.0
8,0.0,0.0,0.0,1.9299606627431684e-05,0.0
9,1.0,1.0,0.0,6.056083458952701e-05,0.0
10,1.0,1.0,0.0,0.00012045616550224602,0.0
11,1.0,1.0,0.0,6.588486400399092e-05,0.0
12,1.0,1.0,0.0,0.00025222589351022785,0.0
13,1.0,1.0,0.0,0.00041860181271222515,0.0
14,1.0,1.0,0.0,9.516702578354245e-05,0.0
15,1.0,1.0,0.00011424001827840291,0.00016970343758603723,0.00011424001827840291
16,0.9546967493514357,0.9546967493514357,0.0003427200548352087,0.002876306891164129,0.0003427200548352087
17,0.9130715213290848,0.9130715213290848,0.0022848003655680585,0.005704697517598082,0.0022848003655680585
18,0.9195616307820623,0.9195616307820623,0.007197121151539383,0.05685597562073693,0.007197121151539383
19,0.37590433939343715,0.37590433939343715,0.03175872508139601,0.2223394543921347,0.03175872508139601
20,0.34057523082853575,0.34057523082853575,0.11424001827840291,0.21390885381433108,0.11424001827840291
21,0.4944972794453722,0.4944972794453722,0.24481635917061742,0.10943076608856807,0.24481635917061742
22,0.7914750613636883,0.7914750613636883,0.0,0.192475642399053,0.0
23,0.6450150698350439,0.6450150698350439,0.7962529274004683,0.29370873419670024,0.7962529274004683
24,0.7713456650000028,0.7713456650000028,0.8371508539441366,0.40687563792686837,0.8371508539441366
25,0.934425886438887,0.934425886438887,0.8965556634489061,0.7040709458863657,0.8965556634489061
26,0.9897856107406143,0.9897856107406143,0.9068372650939622,1.0,0.9068372650939622
27,0.9871692966683383,0.9871692966683383,0.914719826355172,1.0,0.914719826355172
28,0.9904244870068151,0.9904244870068151,0.9220311875249898,0.10232052480555151,0.9220311875249898
29,0.9931572646638959,0.9931572646638959,0.9283143885303021,0.01743419982133889,0.9283143885303021
30,0.9937454591711896,0.9937454591711896,0.9429371108699377,0.020784345330390308,0.9429371108699377
31,0.9993401165370814,0.9993401165370814,0.9656708745073398,0.4172162340571109,0.9656708745073398
32,0.9878514580248644,0.9878514580248644,0.9800651168104186,0.046414222931619585,0.9800651168104186
33,0.9887835979805981,0.9887835979805981,0.9825783972125435,0.020516812852313496,0.9825783972125435
34,0.9811247808099217,0.9811247808099217,0.985320157651225,0.00798937164007991,0.985320157651225
35,0.9665610238724338,0.9665610238724338,0.997201119552179,0.006673670871030515,0.997201119552179
36,0.9784741929847118,0.9784741929847118,0.9988004798080767,0.00145944956323992,0.9988004798080767
37,1.0,1.0,0.0,0.0003300898236967626,0.0
38,1.0,1.0,0.9990289598446335,0.0002076371471640926,0.9990289598446335
39,0.9988595630217786,0.9988595630217786,0.999485919917747,0.021734684580872115,0.999485919917747
40,0.991990338364269,0.991990338364269,1.0,0.03305889514543686,1.0
41,0.9970506285664027,0.9970506285664027,1.0,0.006994443643251965,1.0
42,1.0,1.0,0.0,0.001165296938090789,0.0
43,1.0,1.0,0.0,0.0005889707539750704,0.0
44,1.0,1.0,0.0,0.0005909672650054943,0.0
45,1.0,1.0,0.0,0.00028550107735062733,0.0
46,1.0,1.0,0.0,0.0,0.0
47,1.0,1.0,0.0,0.0,0.0
48,1.0,1.0,0.0,0.0,0.0
49,1.0,1.0,0.0,0.0,0.0
50,1.0,1.0,0.0,0.0,0.0
51,1.0,1.0,0.0,0.0,0.0
52,1.0,1.0,0.0,0.0,0.0
53,1.0,1.0,0.0,0.0,0.0
54,1.0,1.0,0.0,0.0,0.0
55,1.0,1.0,0.0,0.0,0.0
