t,O,R,I,demand,S
0,1.0,1.0,0.0,0.0,0.0
1,0.669701,0.427377,0.0,0.572623,0.0
2,0.569887,0.627016,0.0,0.372984,0.0
3,0.556465,0.672773,0.0,0.327227,0.0
4,0.981067,0.26737,0.0,0.73263,0.0
5,1.0,0.0,0.290966,1.0,0.0
6,1.0,0.0,0.426926,1.0,0.0
7,1.0,0.0,0.338926,1.0,0.346667
8,0.576625,0.0,0.276708,1.0,0.077037
9,0.600818,0.0,0.385655,1.0,0.346667
10,0.334697,0.0,0.320404,1.0,0.126061
11,0.350639,0.0,0.398276,1.0,0.346667
12,0.387069,0.135464,0.511578,0.864536,0.533333
13,0.425448,0.410711,0.615191,0.589289,0.693333
14,0.443565,0.598569,0.673121,0.401431,0.832
15,0.423934,0.605988,0.669411,0.394012,0.65
16,0.371085,0.958124,0.699768,0.041876,0.489412
17,0.296181,0.890164,0.589804,0.109836,0.346667
18,0.210766,0.858517,0.847735,0.141483,0.218947
19,0.124555,0.869014,0.726956,0.130986,0.104
20,0.044383,0.907631,0.720047,0.092369,0.0
21,0.0,0.803565,0.746455,0.196435,0.0
22,0.0,0.731448,0.702558,0.268552,0.030145
23,0.0,0.655431,0.706255,0.344569,0.144444
24,0.0,0.600442,0.739647,0.399558,0.2496
25,0.0,0.579824,0.783727,0.420176,0.346667
26,0.0,0.60437,0.786236,0.39563,0.436543
27,0.0,1.0,0.808418,0.0,0.52
28,0.0,1.0,0.855836,0.0,0.597701
29,0.021378,1.0,0.8476,0.0,0.670222
30,0.050431,1.0,0.826022,0.0,0.738065
31,0.124577,0.943686,0.823901,0.056314,0.801667
32,0.18954,0.94046,0.759411,0.05954,0.861414
33,0.186376,0.90312,0.652695,0.09688,0.774902
34,0.180552,0.86771,0.622618,0.13229,0.693333
35,0.177444,0.844179,0.469608,0.155821,0.616296
36,0.238349,0.835028,0.597706,0.164972,0.674595
37,0.371492,0.803454,0.566835,0.196546,0.729825
38,0.455661,0.811468,0.61131,0.188532,0.782222
39,0.44282,0.805267,0.626338,0.194733,0.710667
40,0.419526,0.793057,0.639183,0.206943,0.642602
41,0.407275,0.787553,0.69997,0.212447,0.577778
42,0.488638,0.790463,0.74383,0.209537,0.628837
43,0.675409,0.795667,0.70632,0.204333,0.677576
44,0.83065,0.781489,0.716144,0.218511,0.724148
45,0.877815,0.805009,0.635006,0.194991,0.768696
46,0.908423,0.840956,0.613553,0.159044,0.811348
47,0.963711,0.881756,0.978419,0.118244,0.852222
48,1.0,0.83901,1.0,0.16099,0.891429
49,1.0,0.69537,0.782554,0.30463,0.929067
