t,O,R,I,demand,S
0,0.6744480342562211,0.5279854913070059,0.4104314752952922,0.47180216729338625,0.0
1,0.6744480342562211,0.578144739520896,0.55414728355134,0.42166548382014063,0.0
2,0.6744480342562211,0.479969777620588,0.471442028223315,0.519796280533929,0.0
3,0.3639605630155946,0.18805198737272363,0.010083748453324213,0.8115827480554575,0.0
4,0.2880080503529201,0.3378584350021149,0.18459208771012606,0.6618436926569703,0.0
5,0.1625770444228635,0.6528631063534788,0.48639574676905817,0.34698072994287465,0.0
6,0.05935390346474498,0.26597867589223,0.5111414055653695,0.7336911157933379,0.0
7,0.08413056608360114,0.6295514792061083,0.76786289847855,0.3702818700746038,0.0
8,0.11465011340179407,0.45158992153961985,0.0,0.5481633695955579,0.0001281127140636611
9,0.2678621200869787,0.2810506350993836,0.45181857046785134,0.7186259368881749,0.0001281127140636611
10,0.44392718723677577,0.4206201042346479,0.8251903468925181,0.5791192547560067,0.006172177093671067
11,0.5674806865783869,0.32364423236580736,0.23353700786973358,0.6760515008633895,0.006172177093671067
12,0.5298344469871125,0.15520372926850384,0.3485891106581991,0.8444162289759847,0.006172177093671067
13,0.6737182834485779,0.7905416768306036,0.22697692849499615,0.20936409582535884,0.014897651050958707
14,0.6058556454756742,0.654112526654599,0.12475847627660366,0.345731871708493,0.017684163799389134
15,0.600322434769345,0.7088584945918512,0.10833714247711668,0.29101053190287773,0.017684163799389134
16,0.3536084514380714,0.6224960075034518,0.19660180764183674,0.3773341677885191,0.017684163799389134
17,0.3045775101951694,0.7231841448642407,0.20673671603261085,0.27669132619643527,0.017684163799389134
18,0.5192465917355458,0.6011970003719411,0.7662574722761265,0.3986235933056912,0.02548013550800275
19,0.46987856255229526,0.4607866441698684,0.11186020121090233,0.5389707842215147,0.03157280630607126
20,0.46369559612517985,0.29430078774733487,0.520384084416265,0.7053817449806383,0.03402958068309069
21,0.46052800749771505,0.44955759438193166,0.8792236250193022,0.5501947824864488,0.03402958068309069
22,0.5738685948303593,0.2684658375813768,1.0,0.7312050729837687,0.03402958068309069
23,0.6316980113050543,0.4056367822379025,0.7026064398528017,0.5940958363252759,0.03402958068309069
24,0.5374797460487919,0.2710036332458036,0.5573677531562468,0.7286684189772219,0.03680088054381545
25,0.36421798665358956,0.6287327335894048,0.1483273954316941,0.3711002473687514,0.03680088054381545
26,0.41287749202419827,0.3437914456221425,0.44739817803218934,0.6559133510730756,0.041852672416677
27,0.45519666035779205,0.56850390723227,0.026558286391511053,0.4313019790644939,0.0435671483953668
28,0.5078452610792511,0.31472422882228934,0.4368864131457053,0.684967491636109,0.045306149365532705
29,0.6927412236834642,0.16293324160898223,0.22858695885185162,0.8366901938495293,0.054890633945104184
30,0.667979252541155,0.6134118340700767,0.15922496412314077,0.38641425459729767,0.05634137479363967
31,0.7427557718784806,0.5094353383486117,0.5124190441906925,0.4903439752425285,0.057181815444979855
32,0.7989998962825462,0.8067309132534775,0.0,0.19318214232505904,0.0652331134935665
33,0.8813621596352887,0.42867979791084876,0.8539576170229992,0.5710631868298709,0.07133997925858203
34,0.756588340963755,0.514838140217321,0.37003458723065735,0.48494360388917296,0.07133997925858203
35,0.7677735390291981,0.2876131593602774,0.5979828111206528,0.712066364857691,0.08152097184729197
36,0.761612329540408,0.291075683965576,0.0,0.7086053979107003,0.08264313462465338
37,0.8388367226910266,0.6115027468796852,0.6379523141244607,0.38832248296187244,0.08760196180305205
38,0.6336060347777858,0.7531197858541056,0.027030585638534475,0.24676915211444897,0.08760196180305205
39,0.5563251916734928,0.18421631710085973,0.021865527763744185,0.8154166928049509,0.08958743055793267
40,0.7459473478969796,0.563600111077255,0.13342319903497768,0.4362035691878725,0.0947848014651107
41,0.5765001762189073,0.9901159392318029,0.3179114708079151,0.009879614304669685,0.095929155235228
42,0.6055131414603885,0.7347910029435477,0.9453662169778805,0.2650896896017313,0.09859858307076197
43,0.6186525604659147,0.6098235921656122,0.9870126850845734,0.3900008822880166,0.10425813710498964
44,0.8592903905402535,0.8814405699769934,0.2506876394178237,0.11850609463851283,0.11419770246509149
45,0.8485999894066142,0.31175758519196517,0.08009495327146285,0.6879328006861417,0.1156130507929749
46,0.8858412612133397,0.42076728217394593,0.2270140148482988,0.5789721430264735,0.12279650337463369
47,0.8283758470657206,0.35984668437796974,0.5427686375802762,0.6398653349593614,0.12279650337463369
48,0.7940654966183488,0.18797872937933083,0.9821916115305288,0.8116559730928615,0.12363615593766389
49,0.7047561252000248,0.7371603167289531,0.457226847341836,0.26272144168060757,0.12453283004518356
50,0.37966389285993807,0.3486627488292364,0.028583920932197904,0.6510442392802748,0.12453283004518356
51,0.14135541451560732,0.3694514765987387,0.015862813934019757,0.6302648635698074,0.12453283004518356
52,0.0,0.7050283067396163,0.7918924370207824,0.29483899669907454,0.12453283004518356
53,0.07140289023231956,0.4680222648910409,0.5082115955528599,0.5317384185312845,0.13011264589017543
