t,O,R,I,demand,S
0,0.0,0.8627376695083058,0.4336285895969516,0.0,0.0
1,0.0,0.8627376695083058,0.4640975693551843,0.0,0.0
2,0.0,0.8627376695083058,0.3153470423548441,0.1724831675960607,0.014240319606285133
3,0.009459161250486384,0.59871335844819,0.7072145996637418,0.36538972641739764,0.03494902892130918
4,0.01813410676958463,0.4260005015119799,0.22686845446766213,0.5009606500678095,0.049080100552291006
5,0.03368984858128659,0.43355709699364603,0.5075625983569795,0.7264231726671011,0.060065137216744
6,0.05250377077436497,0.3938476385117134,0.3009322481225247,0.8032013423292909,0.08551065665670561
7,0.071512202027759,0.35514452429808585,0.8231366396775142,0.7887825887788902,0.10379327561199594
8,0.08967771754007296,0.2871832346686795,0.4461646250655279,0.8363364962208029,0.12053082101185007
9,0.11082463262107442,0.13992577940899373,0.1484253575669964,0.9299171786612802,0.14870793046946462
10,0.1331984411368577,0.18328115881539386,0.6279973221634711,0.9227458686060233,0.16547313554045534
11,0.15402286472555313,0.1846332493055134,0.6897634519033682,0.882342903996683,0.18361915728059294
12,0.1745797649986224,0.23726494743537743,0.5801630588373478,0.8785495613493604,0.2006414142735832
13,0.19523360319612193,0.36908553846726333,0.2554681756865471,0.9091327153108422,0.21783565583978928
14,0.21716581800509438,0.15820090809931603,0.6719069097385899,0.865008384357824,0.25203548242328583
15,0.2358353993197649,0.2398382313076906,0.5100750806287124,0.8261939995044241,0.253429693966033
16,0.2560221438035298,0.23568409703464568,0.698930105929477,0.8652936814833657,0.2787234095228889
17,0.27645002516281164,0.27580786335168733,0.5709789654531828,0.869816657675265,0.2968817160781317
18,0.296840166422138,0.38404666626742323,0.7651682014597014,0.7907761420939773,0.3138981556223861
19,0.31371362137591774,0.26174222502991046,1.0,0.8038468773584346,0.3315300892636258
20,0.33469154936995393,0.32060382283049504,0.8409465727922415,0.8289169982858041,0.3522613880546996
21,0.3526923995482972,0.37623458644085905,0.3293211424186382,0.7956689320569856,0.36352942652646064
22,0.3721751727642239,0.317213659249212,0.16935020017176017,0.9186454775419082,0.38866940278497686
23,0.39570623839364805,0.059165229975197846,0.3651163663509627,0.9965364928532251,0.42475825012403234
24,0.41869174535995357,0.0,0.9259725001407533,0.8686221470461138,0.43981993531575475
25,0.4364705442558474,0.15994584912223098,0.44125038320198096,0.8467821072176714,0.43981993531575475
26,0.4584739116992447,0.33068541333723706,0.8600189631651731,0.9795757883047291,0.47099085773592875
27,0.4822243994570897,0.2568081428188362,0.5841012515505145,0.8148928356000149,0.5043619071730109
28,0.4968220278143382,0.28605791398700775,0.15535985107539696,0.6942599710374954,0.5043619071730109
29,0.5151476946936883,0.11573735609328711,0.22986281258080754,0.8562479227483932,0.5369872127028269
30,0.5370298688145873,0.339019504767638,0.3418763123954263,0.846122563363325,0.5499440476121766
31,0.5549002015593001,0.46783227277100037,0.0,0.6672688054725957,0.5622142911980935
32,0.5687393800709878,0.36552425173095804,0.30875417770029656,0.6354507648658876,0.5765936746281292
33,0.5851788658270128,0.6930194921742481,0.6136088314501192,0.5595639262395466,0.5818119884048825
34,0.5956054377652256,0.8233362167107282,0.5806570435081783,0.33792694926541966,0.5861091168529359
35,0.602077980395958,1.0,0.360065104015717,0.29124942627232536,0.5861091168529359
36,0.610405479231599,1.0,0.7678927200850684,0.3965678600780787,0.607118472530548
37,0.6216141577459632,0.6204067168039513,0.7198417639235851,0.5690869085004336,0.6350717355497884
38,0.6376997823561493,0.19377860601816047,0.26534328435469184,0.7479508586665572,0.6632664292991596
39,0.6569519148230507,0.0,0.4616216484189488,0.9018131958951228,0.6824816819734573
40,0.6799566789433408,0.07174538820277698,0.23644653483622918,1.0,0.6944896876492895
41,0.7038596976902053,0.2031881403254073,0.4446304413828757,1.0,0.7197309210649021
42,0.7266631939725854,0.2330978315212638,0.19532032918534592,0.9639329769280106,0.7425040887055885
43,0.7489101007263803,0.09713135649957964,0.4892564735222051,0.8772536445046448,0.768076565139802
44,0.7678156554820499,0.17764675522694154,0.36752929480015206,0.7986932939664907,0.7715499638705094
45,0.7865297286969347,0.4408804153711467,0.4492429307766648,0.8338094387777434,0.7826558573325979
46,0.8070144451199923,0.3926623574946836,0.8794565913830757,0.8791602143114006,0.8162389855216137
47,0.8277679280335785,0.2266461121873106,0.9031228863457379,0.8043351116734184,0.8402783719986304
48,0.844887783806944,0.12376238164433855,0.6705748585161284,0.8027812545863834,0.8487320211560664
49,0.865571390270207,0.15975689032868698,0.6154664089779991,0.8714910193307642,0.8689950436328548
50,0.8857811019273198,0.48101646388599084,0.5109402923315952,0.8551527251942401,0.8778683130471836
51,0.9057299805908888,0.36817208314117333,0.6607946319475249,0.8210332905829129,0.9102225988722875
52,0.9244053523157351,0.19957130208904106,0.47982076010173014,0.7422818110567577,0.9282622103370435
53,0.9408128024316594,0.3693914471748491,0.7053316978699087,0.5878823866954227,0.9282622103370435
54,0.9525448820118605,0.6018333717034596,0.3628102287193658,0.5382616674117673,0.9282622103370435
55,0.9667209044405446,0.9216749763505689,0.26679094127049235,0.4819031065299581,0.9486494391872188
56,0.9759185577774302,0.8945555205520987,0.0,0.41925123186280727,0.9575495187017196
57,0.9872771456786015,0.5120227093826554,0.46260398527658075,0.5597464093993572,0.9857697745019798
58,1.0,0.2816410778979501,1.0,0.7120230821533375,1.0
59,1.0,0.33817243351113907,0.36270298472135376,0.7718577264904579,1.0
