t,class_label,O,R,I,demand,S,amplitude_uV,spectral_entropy,alpha_beta_ratio,gamma_power
0,A,0.10939348490023415,0.9018899080721324,0.5127044156084473,0.20440157890817012,0.37263737861721435,69.97,0.7695,1.3472,0.2762
1,A,0.07320948604861824,0.8940362677084485,0.5934876136284782,0.14809711774782156,0.37104002464190655,62.66,0.7656,1.4869,0.2384
2,A,0.06157714715651191,0.9566640152239796,0.4163081442416673,0.056192745959633555,0.3692538961208622,60.31,0.7967,1.1805,0.1767
3,A,0.09677115971943792,0.7589133783742964,0.306900978419263,0.04904297311387501,0.3680389110126635,67.42,0.6985,0.9913,0.1719
4,A,0.03464952010414656,0.9383388543753837,0.37773807045543906,0.0,0.36581578950063726,54.87,0.7876,1.1138,0.1294
5,A,0.15735832058725988,0.8948417692842111,0.4623377975157865,0.0,0.3655840386221478,79.66,0.766,1.2601,0.1288
6,A,0.05786469857392478,0.9218260720722533,0.3566893345361182,0.11890221196097414,0.3637376629056555,59.56,0.7794,1.0774,0.2188
7,A,0.05504323765115856,0.8894046336478144,0.4042802951449124,0.22882996946451187,0.3618454993206229,58.99,0.7633,1.1597,0.2926
8,A,0.08414883453864169,0.8277837631019865,0.5278548793745518,3.7238400238321663e-05,0.3604256737479014,64.87,0.7327,1.3734,0.139
9,A,0.09513768234309959,0.7550872458894247,0.3413075659796914,0.10549638787517686,0.35918417987370577,67.09,0.6966,1.0508,0.2098
10,A,0.12132281967894745,0.9268604569207688,0.4464934193787153,0.06840694123780443,0.35836762955140233,72.38,0.7819,1.2327,0.1849
11,A,0.011582839577671868,0.8549694412839693,0.4165394490319895,0.1696953898860505,0.35577017213165996,50.21,0.7462,1.1809,0.2529
12,A,0.1018200897917564,0.7709959020107332,0.484600883584299,0.06215088999776568,0.35463712320927043,68.44,0.7045,1.2986,0.1807
13,A,0.05128128975413691,0.9623025262543169,0.545896653019684,0.1603113130259924,0.3526839091328506,58.23,0.7995,1.4046,0.2466
14,A,0.04326240081574872,0.8879950058902301,0.48523697175768515,0.16358829224696506,0.3506005611142634,56.61,0.7626,1.2997,0.2488
15,A,0.06108215401216696,0.8980637755872608,0.3605058635764347,0.001824681611677927,0.3488063996338259,60.21,0.7676,1.084,0.1402
16,A,0.12503526826153458,1.0,0.4502521222214512,0.1656736426603113,0.34805009650697033,73.13,0.8292,1.2392,0.2502
17,A,0.10271107745157734,0.8610107031021877,0.48783915064880995,0.2054442541148432,0.34693150691148833,68.62,0.7492,1.3042,0.2769
18,A,0.08301035030664829,1.0,0.22924039506858185,0.15211886497356075,0.3454932055321629,64.64,0.8376,0.857,0.2411
19,A,0.0890987659820912,0.8888005074659926,0.464477366826267,0.0,0.344153709553372,65.87,0.763,1.2638,0.1006
20,A,0.07390247645070117,0.9417622360723742,0.5846980315962343,0.05231995233484769,0.34256760172121453,62.8,0.7893,1.4717,0.1741
21,A,0.04479687956321808,0.8724891005568028,0.5358927208382486,0.1153273255380949,0.34050915587674574,56.92,0.7549,1.3873,0.2164
22,A,0.058557688976007716,0.9542475104966923,0.46493997640691137,0.16299247784315188,0.3386740263034037,59.7,0.7955,1.2646,0.2484
23,A,0.050043806893274534,0.8865853781326459,0.42249554738278633,0.0,0.3367007298285013,57.98,0.7619,1.1912,0.1268
24,A,0.09944412269890061,0.9339085957086902,0.4569599611407952,0.07347136367021671,0.3355291227010251,67.96,0.7854,1.2508,0.1883
25,A,0.014750795701479557,0.8791344885568431,0.4267746860037472,0.031168540999478626,0.3329830762213982,50.85,0.7582,1.1986,0.1599
26,A,0.07682293600233639,0.9455883685572459,0.6200876645155321,0.10385789826469054,0.3314443628496597,63.39,0.7912,1.5329,0.2087
27,A,0.09756314875038982,0.9069242929206479,0.29007355492332243,0.08896253816936021,0.33024223047649,67.58,0.772,0.9622,0.1987
28,A,0.08776228449235977,1.0,0.43978558045937133,0.11339092872570196,0.3288810455073379,65.6,0.8735,1.2211,0.2151
29,A,0.0830598496210828,0.8189232457685993,0.5556114542132168,0.14690548894019514,0.32744354742395176,64.65,0.7283,1.4214,0.2376
30,A,0.1239462833439757,0.8396649113444827,0.578163671269632,0.0,0.32666957178643147,72.91,0.7386,1.4604,0.1299
31,A,0.11384842319933874,1.0,0.3705676219554507,0.048745065911968394,0.32573172377729304,70.87,0.8626,1.1014,0.1717
32,A,0.08974225706973961,0.8724891005568028,0.32199361598778714,0.09596335741416548,0.3244026706457131,66.0,0.7549,1.0174,0.2034
33,A,0.03222405369685633,0.9510255041936425,0.37675502509656983,0.2063379757205631,0.3221401876326609,54.38,0.7939,1.1121,0.2775
34,A,0.046034362424080454,0.8869881289205271,0.5270453126084241,0.0,0.32010182418667477,57.17,0.7621,1.372,0.1385
35,A,0.09602867000292047,1.0,0.31707838919344017,0.10460266626945705,0.31887478963938654,67.27,0.8273,1.0089,0.2092
36,A,0.0976621473792588,0.9759960530422787,0.34922975504822706,0.0,0.3176742638580954,67.6,0.8063,1.0645,0.134
37,A,0.11063096776109653,0.9369292266177995,0.47824000185043836,0.1166679079466746,0.31668420161290206,70.22,0.7869,1.2876,0.2173
38,A,0.05113279181083345,0.9316934663753434,0.48194087849559364,0.03772249944142398,0.31472857764866435,58.2,0.7843,1.294,0.1643
39,A,0.17715804636105792,0.9512268795875831,0.35316193648370453,0.1397557160944366,0.3148181451458969,83.66,0.794,1.0713,0.2328
40,A,0.03653049405265739,0.9763988038301599,0.55699928295515,0.02982795859089892,0.3126255488795642,55.25,0.8065,1.4238,0.159
41,A,0.13246016542670885,0.9461924947390676,0.5277970531769712,0.2321069486854845,0.3119897401436043,74.63,0.7915,1.3733,0.2948
42,A,0.07266499358983879,0.8523515611627415,0.3793572039876946,0.030125865792805535,0.31038354991296424,62.55,0.7449,1.1166,0.1592
43,A,0.080980878414834,0.9403526083147898,0.4804952235560799,0.15256572577642066,0.3089123134001273,64.23,0.7886,1.2915,0.2414
44,A,0.08543581671393852,1.0,0.4335403511206717,0.29347583227824536,0.30751337352182784,65.13,0.8331,1.2103,0.336
45,A,0.11577889646228405,0.8438937946172357,0.3636284782457844,0.1267967528114992,0.3066068540543223,71.26,0.7407,1.0894,0.2241
46,A,0.07375397850739772,0.9705589174058821,0.49755395184234263,0.08553660534743425,0.3050183363343469,62.77,0.8036,1.321,0.1964
47,A,0.04286640630027277,0.7909320660108541,0.41775379918118105,0.15465107618976687,0.30292856194824525,56.53,0.7144,1.183,0.2428
48,A,0.09538517891527205,0.8126806085564403,0.4715321629310943,0.11964697996574065,0.30169108455374605,67.14,0.7252,1.276,0.2193
49,A,0.04103493166619643,0.9252494537692438,0.46152823074965876,0.005846428837417122,0.2995715882178901,56.16,0.7811,1.2587,0.1429
50,A,0.10251308019383934,0.9580736429815639,0.5504649226285476,0.16939748268414387,0.2984497854386508,68.58,0.7974,1.4125,0.2527
51,A,0.01658227033555586,0.8374497820111361,0.5011970022899174,0.1291800104267521,0.29593346090877826,51.22,0.7375,1.3273,0.2257
52,A,0.11028447256005511,1.0,0.5059965766891031,0.17550458032322927,0.29493777559200984,70.15,0.9291,1.3356,0.2568
53,A,0.13201467159679844,0.9655245325573668,0.4291455601045498,0.14735234974305503,0.2942947371925963,74.54,0.8011,1.2027,0.2379
54,A,0.04652935556842541,0.8938348923145079,0.41439987972150905,0.09700603262083861,0.2922644067060032,57.27,0.7655,1.1772,0.2041
55,A,0.19938323854214626,0.7625381354652275,0.5160005088705387,0.0,0.2927146540799836,88.15,0.7003,1.3529,0.1194
56,A,0.061428649213208425,1.0,0.4620486665278838,0.010612944067922833,0.29092611567112125,60.28,0.8186,1.2596,0.1461
57,A,0.04940031580562612,0.9677396618907135,0.393119839011866,0.10698592388470989,0.2889423763490078,57.85,0.8022,1.1404,0.2108
58,A,0.08706929409027685,0.860406576920366,0.6424664029792058,0.13811722648395022,0.2875699452367054,65.46,0.7489,1.5716,0.2317
59,A,0.0,0.9280687092844124,0.39907593736266284,0.1543531689878603,0.2845338882341026,44.75,0.7825,1.1507,0.2426
60,A,0.045539369279735495,0.903702286617598,0.5002717831286286,0.1553958441945334,0.2824874918287234,57.07,0.7704,1.3257,0.2433
61,A,0.025393148304895995,0.8859812519508241,0.4153250988827979,0.04219110747002308,0.2801141539760471,53.0,0.7616,1.1788,0.1673
62,A,0.17215861560317397,0.9455883685572459,0.3471480119353272,0.1592686378193193,0.2801225885834098,82.65,0.7912,1.0609,0.2459
63,A,0.1898298708562887,0.9961335924363401,0.3247114472740731,0.05485216355105385,0.2804177998411044,86.22,0.8163,1.0221,0.1758
64,A,0.14750795701479538,0.8559763182536726,0.49500959914879833,0.14854397855068147,0.2800261930706932,77.67,0.7467,1.3166,0.2387
65,A,0.03890646114551314,0.9081325452842915,0.17534637892350752,0.014634691293661985,0.2778721550094472,55.73,0.7726,0.7638,0.1488
66,A,0.07226899907436284,0.8124792331624997,0.5981137094349224,0.0,0.27625953841129264,62.47,0.7251,1.4949,0.1285
67,A,0.06301262727511227,0.9234370752237783,0.581517590729304,0.0,0.27449670547248806,60.6,0.7802,1.4662,0.1282
68,A,0.14236002831360786,0.9137710563146287,0.37137718872157843,0.1253072168019662,0.2740215559243892,76.63,0.7754,1.1028,0.2231
69,A,0.0946426891987546,0.8646354601931189,0.4625691023061087,0.06215088999776568,0.2727720290908005,66.99,0.751,1.2605,0.1807
70,A,0.09043524747182255,0.9663300341331291,0.5940658756042837,0.0,0.27145422210237075,66.14,0.8015,1.4879,0.1381
71,A,0.19037436331506813,0.7556913720712465,0.443312978511785,0.13469129366202426,0.27175826961539773,86.33,0.6969,1.2272,0.2294
72,A,0.09870163298238323,0.8628230816476533,0.43845557791501866,0.05410739554628734,0.27057461304883196,67.81,0.7501,1.2188,0.1753
73,A,0.05563722942437249,0.9814331886786754,0.4874921934633267,0.0393609890519103,0.2686920890150709,59.11,0.809,1.3036,0.1654
74,A,0.12934170861733568,0.937734728193562,0.5269874864108435,0.13781931928204366,0.2680056726349349,74.0,0.7873,1.3719,0.2315
75,A,0.04375739396009368,0.8678574664961688,0.5213205190479495,0.13632978327251064,0.26593035757574074,56.71,0.7526,1.3621,0.2305
76,A,0.08375284002316574,0.9224301982540751,0.5672923461244882,0.04680866909957546,0.26450410563550486,64.79,0.7797,1.4416,0.1704
77,A,0.11186845062195891,0.8966541478296767,0.43758818495131035,0.1726744619051166,0.26353412578879426,70.47,0.7669,1.2173,0.2549
78,A,0.12562926003474856,0.978412557769566,0.5697210464228714,0.09253742459223951,0.26278746221321037,73.25,0.8075,1.4458,0.2011
79,A,0.11855085807061572,0.8879950058902301,0.484600883584299,0.08121695091978848,0.2619259273183059,71.82,0.7626,1.2986,0.1935
80,A,0.08959375912643612,0.9608928984967324,0.3855446071288136,0.24670440157890816,0.26059446429890804,65.97,0.7988,1.1273,0.3046
81,A,0.03499601530518803,0.8150971132837278,0.5569414567575695,0.1498845609592612,0.2583769658584569,54.94,0.7264,1.4237,0.2396
82,A,0.11567989783341501,0.9635107786179606,0.45545648000370087,0.024018768153720078,0.2574688397990727,71.24,0.8001,1.2482,0.1551
83,A,0.08855427352331176,0.8583928229809599,0.5410970786204983,0.07987636851120875,0.2561205075649495,65.76,0.7479,1.3963,0.1926
84,A,0.04395539121783165,0.8869881289205271,0.49229176786251244,0.04889401951292172,0.25404840568951254,56.75,0.7621,1.3119,0.1718
85,A,0.04410388916113514,0.9324989679511059,0.47771956607221333,0.05321367394056749,0.25197871370189345,56.78,0.7847,1.2867,0.1747
86,A,0.06147814852764291,0.9316934663753434,0.33089885041519207,0.0,0.25019097858897044,60.29,0.7843,1.0328,0.1296
87,A,0.049251817862322626,0.895848646253914,0.48344435963268795,0.20082669248529084,0.24820482937903907,57.82,0.7665,1.2966,0.2738
88,A,0.12726273741108687,0.900077529526667,0.45482039183031486,0.016273180904148345,0.24748467456945225,73.58,0.7686,1.2471,0.1499
89,A,0.0838518386520347,0.8898073844356956,0.48448523118913794,0.029232144187085692,0.24606002922109504,64.81,0.7635,1.2984,0.1586
90,A,0.11048246981779304,1.0,0.44707168135452086,0.12083860877336708,0.24506755708808386,70.19,0.8363,1.2337,0.2201
91,A,0.11894685258609174,0.880745491708368,0.4759269539472163,0.091792656587473,0.2442124485606938,71.9,0.759,1.2836,0.2006
92,A,0.08964325844087064,0.8507405580112165,0.45863692087063124,0.12798838161912562,0.24288178883723524,65.98,0.7441,1.2537,0.2249
93,A,0.1566158308707425,0.9902937060120623,0.6432759697453334,0.03370075221568479,0.2426379885196562,79.51,0.8134,1.573,0.1616
94,A,0.12795572781316983,0.9276659584965312,0.6464564106122638,0.030721680196618723,0.24192907985321963,73.72,0.7823,1.5785,0.1596
