t,O,R,I,demand,S
0,0.600018,0.501228,0.495719,0.126302,0.202691
1,0.604802,0.542273,0.477566,0.132616,0.202937
2,0.596531,0.570453,0.485662,0.138293,0.196845
3,0.587605,0.551381,0.52127,0.144245,0.215157
4,0.594465,0.533311,0.512951,0.134966,0.202783
5,0.586732,0.537014,0.494778,0.131883,0.213327
6,0.60283,0.568309,0.487911,0.133947,0.207194
7,0.622352,0.553939,0.472717,0.135719,0.195033
8,0.595187,0.552519,0.49538,0.155575,0.197134
9,0.593584,0.551222,0.500982,0.13881,0.203271
10,0.61056,0.552825,0.500346,0.141761,0.200459
11,0.608887,0.564555,0.50036,0.150192,0.200371
12,0.605437,0.560987,0.485101,0.145357,0.197853
13,0.59022,0.556159,0.501094,0.131461,0.186436
14,0.604059,0.537506,0.501669,0.136898,0.198309
15,0.615249,0.56104,0.521768,0.159975,0.183364
16,0.584977,0.543335,0.530571,0.145364,0.202789
17,0.598598,0.570231,0.500676,0.14618,0.194555
18,0.577265,0.534982,0.491397,0.140648,0.194634
19,0.586761,0.552209,0.502077,0.133195,0.198355
20,0.5788,0.554388,0.494099,0.135385,0.202045
21,0.603221,0.534853,0.492237,0.13109,0.18926
22,0.588057,0.580777,0.502654,0.157098,0.186885
23,0.611459,0.577079,0.488045,0.131741,0.192005
24,0.610062,0.548444,0.512947,0.140855,0.184687
25,0.605228,0.567198,0.502457,0.142644,0.192749
26,0.570602,0.561528,0.507927,0.143309,0.211932
27,0.600594,0.516869,0.501593,0.1369,0.192076
28,0.608268,0.560053,0.493589,0.153389,0.204886
29,0.611017,0.555602,0.490439,0.129716,0.189713
30,0.586687,0.557995,0.50126,0.145111,0.202243
31,0.602794,0.540819,0.496749,0.13545,0.197602
32,0.595603,0.553157,0.508649,0.137451,0.199551
33,0.59847,0.554748,0.505235,0.146624,0.204266
34,0.626837,0.575468,0.485027,0.141816,0.213172
35,0.599132,0.562888,0.506629,0.129652,0.20146
36,0.611078,0.558013,0.48564,0.137982,0.200933
37,0.625153,0.581256,0.496697,0.14218,0.1927
38,0.603455,0.550217,0.501689,0.136723,0.204375
39,0.610855,0.55293,0.475136,0.139196,0.198154
40,0.614508,0.531745,0.507798,0.14338,0.20624
41,0.614129,0.582757,0.508851,0.166697,0.199672
42,0.595118,0.573911,0.504377,0.14493,0.213056
43,0.614957,0.573423,0.500543,0.138531,0.185128
44,0.634519,0.569929,0.501464,0.148472,0.197776
45,0.591251,0.561773,0.492581,0.132173,0.206611
46,0.62767,0.563578,0.503344,0.142212,0.19737
47,0.616891,0.55679,0.499261,0.149028,0.194059
48,0.6058,0.557741,0.509086,0.141369,0.198006
49,0.645749,0.561835,0.489809,0.136219,0.189651
50,0.627498,0.583922,0.511566,0.164553,0.200892
51,0.598396,0.569805,0.510341,0.147073,0.218303
52,0.617825,0.560818,0.50623,0.151768,0.208588
53,0.625678,0.553229,0.501926,0.14847,0.191682
54,0.614518,0.55262,0.51696,0.153961,0.19345
55,0.627914,0.58641,0.483866,0.151727,0.196965
56,0.616994,0.570195,0.515903,0.163545,0.207533
57,0.628322,0.563833,0.512802,0.157607,0.193839
58,0.640212,0.557851,0.513568,0.158845,0.194823
59,0.608821,0.546633,0.515228,0.148822,0.206636
60,0.622324,0.562491,0.499834,0.137798,0.206485
61,0.612649,0.576824,0.505907,0.150731,0.197196
62,0.621829,0.558056,0.519516,0.151293,0.191617
63,0.602433,0.56076,0.51658,0.149891,0.188377
64,0.611873,0.561078,0.513382,0.139621,0.194758
65,0.617941,0.566262,0.487727,0.15732,0.183271
66,0.634686,0.540948,0.518671,0.152148,0.205624
67,0.638704,0.561537,0.528305,0.151973,0.195275
68,0.601994,0.552477,0.526069,0.135903,0.20361
69,0.610249,0.578787,0.514593,0.152383,0.214012
70,0.632194,0.554184,0.48788,0.144617,0.208797
71,0.592925,0.574624,0.525544,0.146812,0.191366
72,0.616185,0.589059,0.509357,0.15784,0.206519
73,0.621995,0.561714,0.473739,0.13588,0.208684
74,0.64263,0.557619,0.517546,0.161777,0.194402
75,0.634437,0.569739,0.489666,0.145013,0.19285
76,0.619509,0.567062,0.492762,0.146853,0.199177
77,0.61921,0.552413,0.502845,0.153544,0.187989
78,0.621307,0.574456,0.531619,0.180568,0.211031
79,0.648234,0.598,0.507128,0.15954,0.18196
80,0.619282,0.56412,0.516916,0.150013,0.191699
81,0.621469,0.565174,0.539232,0.15469,0.197978
82,0.631634,0.552768,0.537083,0.165275,0.198297
83,0.624855,0.573453,0.511783,0.147266,0.201246
84,0.624029,0.550187,0.509871,0.145164,0.202036
85,0.610598,0.552513,0.494742,0.141649,0.198398
86,0.627458,0.588536,0.503398,0.150671,0.208527
87,0.621298,0.555984,0.520356,0.145606,0.183955
88,0.645765,0.586012,0.520073,0.16372,0.199999
89,0.638391,0.592881,0.515951,0.150237,0.194641
90,0.628554,0.574131,0.52938,0.151542,0.200994
91,0.639263,0.578767,0.503033,0.155099,0.201656
92,0.62446,0.599975,0.513938,0.164781,0.193161
93,0.645661,0.567965,0.525908,0.162536,0.195193
