id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw
A,0,0.5500,0.5000,0.5200,1.00,0.6200,0.7000,0.60,0.3000,0.2800,0.2500,0.5500,0,0.3500,0.0
A,1,0.5505,0.5008,0.5203,1.00,0.6195,0.6989,0.60,0.3017,0.2817,0.2525,0.5517,0,0.3900,0.0
A,2,0.5511,0.5016,0.5205,1.00,0.6189,0.6979,0.60,0.3033,0.2833,0.2550,0.5533,0,0.4300,0.0
A,3,0.5516,0.5024,0.5208,1.00,0.6184,0.6968,0.60,0.3050,0.2850,0.2575,0.5550,0,0.4700,0.0
A,4,0.5521,0.5032,0.5211,1.00,0.6179,0.6958,0.60,0.3067,0.2867,0.2600,0.5567,0,0.5100,0.0
A,5,0.5526,0.5039,0.5213,1.00,0.6174,0.6947,0.60,0.3083,0.2883,0.2625,0.5583,0,0.5500,0.0
A,6,0.5532,0.5047,0.5216,1.00,0.6168,0.6937,0.60,0.3100,0.2900,0.2650,0.5600,0,0.5900,0.0
A,7,0.5537,0.5055,0.5218,1.00,0.6163,0.6926,0.60,0.3117,0.2917,0.2675,0.5617,0,0.6300,0.0
A,8,0.5542,0.5063,0.5221,1.00,0.6158,0.6916,0.60,0.3133,0.2933,0.2700,0.5633,0,0.6700,0.0
A,9,0.5547,0.5071,0.5224,1.00,0.6153,0.6905,0.60,0.3150,0.2950,0.2725,0.5650,0,0.7100,0.0
A,10,0.5553,0.5079,0.5226,1.00,0.6147,0.6895,0.60,0.3167,0.2967,0.2750,0.5667,0,0.7500,0.0
A,11,0.5558,0.5087,0.5229,1.00,0.6142,0.6884,0.60,0.3183,0.2983,0.2775,0.5683,0,0.7900,0.0
A,12,0.5563,0.5095,0.5232,1.00,0.6137,0.6874,0.60,0.3200,0.3000,0.2800,0.5700,0,0.8300,0.0
A,13,0.5568,0.5103,0.5234,1.00,0.6132,0.6863,0.60,0.3200,0.3000,0.2800,0.5700,1,0.8700,0.0
A,14,0.5574,0.5111,0.5237,1.00,0.6126,0.6853,0.60,0.3200,0.3000,0.2800,0.5700,1,0.9100,0.0
A,15,0.5579,0.5118,0.5239,1.00,0.6121,0.6842,0.60,0.3200,0.3000,0.2800,0.5700,1,0.9500,0.0
A,16,0.5584,0.5126,0.5242,1.00,0.6116,0.6832,0.60,0.3200,0.3000,0.2800,0.5700,1,0.9900,0.0
A,17,0.5589,0.5134,0.5245,1.00,0.6111,0.6821,0.60,0.3200,0.3000,0.2800,0.5700,1,1.0300,0.0
A,18,0.5595,0.5142,0.5247,1.00,0.6105,0.6811,0.60,0.3200,0.3000,0.2800,0.5700,1,1.0700,0.0
A,19,0.5600,0.5150,0.5250,1.00,0.6100,0.6800,0.60,0.3200,0.3000,0.2800,0.5700,1,1.1100,0.0
