id,t,O,R,I,survie,energie_nette,integrite,persistance,repertoire,codification,densite_transmission,fidelite,perturb_symbolic,demande_env,U_raw
A,0,0.5500,0.5000,0.5200,1.00,0.6200,0.7000,0.60,0.3000,0.2800,0.2500,0.5500,0,0.3500,0.0
A,1,0.5503,0.5005,0.5202,1.00,0.6192,0.6983,0.60,0.3017,0.2817,0.2525,0.5517,0,0.3900,0.0
A,2,0.5507,0.5010,0.5203,1.00,0.6183,0.6967,0.60,0.3033,0.2833,0.2550,0.5533,0,0.4300,0.0
A,3,0.5510,0.5016,0.5205,1.00,0.6175,0.6950,0.60,0.3050,0.2850,0.2575,0.5550,0,0.4700,0.0
A,4,0.5514,0.5021,0.5207,1.00,0.6167,0.6933,0.60,0.3067,0.2867,0.2600,0.5567,0,0.5100,0.0
A,5,0.5517,0.5026,0.5209,1.00,0.6158,0.6917,0.60,0.3083,0.2883,0.2625,0.5583,0,0.5500,0.0
A,6,0.5521,0.5031,0.5210,1.00,0.6150,0.6900,0.60,0.3100,0.2900,0.2650,0.5600,0,0.5900,0.0
A,7,0.5524,0.5036,0.5212,1.00,0.6142,0.6883,0.60,0.3117,0.2917,0.2675,0.5617,0,0.6300,0.0
A,8,0.5528,0.5041,0.5214,1.00,0.6133,0.6867,0.60,0.3133,0.2933,0.2700,0.5633,0,0.6700,0.0
A,9,0.5531,0.5047,0.5216,1.00,0.6125,0.6850,0.60,0.3150,0.2950,0.2725,0.5650,0,0.7100,0.0
A,10,0.5534,0.5052,0.5217,1.00,0.6117,0.6833,0.60,0.3167,0.2967,0.2750,0.5667,0,0.7500,0.0
A,11,0.5538,0.5057,0.5219,1.00,0.6108,0.6817,0.60,0.3183,0.2983,0.2775,0.5683,0,0.7900,0.0
A,12,0.5541,0.5062,0.5221,1.00,0.6100,0.6800,0.60,0.3200,0.3000,0.2800,0.5700,0,0.8300,0.0
A,13,0.5545,0.5067,0.5222,1.00,0.6100,0.6800,0.60,0.3300,0.3100,0.2800,0.5800,0,0.8700,0.0
A,14,0.5548,0.5072,0.5224,1.00,0.6109,0.6819,0.60,0.3420,0.3220,0.2940,0.5900,0,0.9100,0.0
A,15,0.5552,0.5078,0.5226,1.00,0.6119,0.6838,0.60,0.3540,0.3340,0.3080,0.6000,0,0.9500,0.0
A,16,0.5555,0.5083,0.5228,1.00,0.6128,0.6856,0.60,0.3660,0.3460,0.3220,0.6100,0,0.9900,0.0
A,17,0.5559,0.5088,0.5229,1.00,0.6138,0.6875,0.60,0.3780,0.3580,0.3360,0.6200,0,1.0300,0.0
A,18,0.5562,0.5093,0.5231,1.00,0.6147,0.6894,0.60,0.3900,0.3700,0.3500,0.6300,0,1.0700,0.0
A,19,0.5566,0.5098,0.5233,1.00,0.6156,0.6913,0.60,0.3900,0.3700,0.3500,0.6300,0,1.1100,0.0
A,20,0.5569,0.5103,0.5234,1.00,0.6166,0.6931,0.60,0.3900,0.3700,0.3500,0.6300,0,1.1500,0.0
A,21,0.5572,0.5109,0.5236,1.00,0.6175,0.6950,0.60,0.3900,0.3700,0.3500,0.6300,0,1.1900,0.0
A,22,0.5576,0.5114,0.5238,1.00,0.6184,0.6969,0.60,0.3900,0.3700,0.3500,0.6300,1,1.2300,0.0
A,23,0.5579,0.5119,0.5240,1.00,0.6194,0.6988,0.60,0.3900,0.3700,0.3500,0.6300,1,1.2700,0.0
A,24,0.5583,0.5124,0.5241,1.00,0.6203,0.7006,0.60,0.3900,0.3700,0.3500,0.6300,1,1.3100,0.0
A,25,0.5586,0.5129,0.5243,1.00,0.6212,0.7025,0.60,0.3900,0.3700,0.3500,0.6300,1,1.3500,0.0
A,26,0.5590,0.5134,0.5245,1.00,0.6222,0.7044,0.60,0.3900,0.3700,0.3500,0.6300,1,1.3900,0.0
A,27,0.5593,0.5140,0.5247,1.00,0.6231,0.7063,0.60,0.3900,0.3700,0.3500,0.6300,1,1.4300,0.0
A,28,0.5597,0.5145,0.5248,1.00,0.6241,0.7081,0.60,0.3900,0.3700,0.3500,0.6300,1,1.4700,0.0
A,29,0.5600,0.5150,0.5250,1.00,0.6250,0.7100,0.60,0.3900,0.3700,0.3500,0.6300,1,1.5100,0.0
