t,z,O,R,I,demand,S
0,0.01,0.9224,0.8381,0.9553,0.0282,1.0
1,0.010375402684563759,0.8172872483221476,0.9157053691275168,0.957293288590604,0.029263087248322148,0.667785234899329
2,0.010761,0.7600563758389262,0.9002765100671141,0.960865100671141,0.030359060402684563,0.5548208053691275
3,0.011157,0.7516845637583893,0.7899147651006712,0.9660476510067114,0.031488590604026846,0.6655812080536911
4,0.011575362416107382,0.7994818791946309,0.6010872483221477,0.9658369127516778,0.032618120805369126,0.7214879194630872
5,0.01200555033557047,0.7915409395973155,0.63876644295302,0.953941610738255,0.03381208053691275,0.7016778523489933
6,0.012448060402684563,0.7237691275167786,0.9179597315436239,0.9296899328859061,0.0350744966442953,0.602013422818792
7,0.012915308724832215,0.6638093959731544,0.9236,0.933496644295302,0.03633691275167785,0.5348993288590604
8,0.013395369127516779,0.5580832214765101,0.7851550335570472,0.9426765100671141,0.03766241610738255,0.5225221476510067
9,0.013889040268456375,0.4015436241610739,0.49353691275167816,0.9571610738255033,0.03905771812080537,0.5699624161073825
10,0.014409771812080537,0.5717906040268455,0.6553093959731542,0.9576,0.04045302013422819,0.6059342281879194
11,0.01494493288590604,0.6642322147651006,0.7795080536912752,0.9576,0.04191006711409396,0.6035744966442953
12,0.015495744966442952,0.6552624161073826,0.8440906040268455,0.9576,0.04343825503355704,0.5574630872483222
13,0.016077161073825504,0.6883731543624161,0.831461744966443,0.9782577181208053,0.04503020134228188,0.5839087248322147
14,0.016674362416107383,0.7957691275167784,0.8305919463087248,0.9804563758389262,0.04668523489932886,0.5835402684563759
15,0.01728895973154362,0.9901812080536907,0.8477342281879194,0.9594604026845639,0.04841275167785235,0.5473288590604027
16,0.0179369932885906,0.8102335570469802,0.8480953020134229,0.9637624161073826,0.050203355704697986,0.5167953020134228
17,0.018603342281879192,0.6950362416107383,0.869386577181208,0.966073154362416,0.05202684563758389,0.5113691275167785
18,0.01929036241610738,0.6856677852348994,0.9179563758389262,0.9642127516778524,0.05388724832214765,0.5369496644295302
19,0.020012959731543625,0.44667046979865765,0.579858389261745,0.9612912751677852,0.05587248322147651,0.5144697986577181
20,0.020756033557046978,0.4247120805369121,0.39221946308724825,0.9554154362416107,0.05789463087248322,0.4903899328859061
21,0.021522785234899325,0.7047026845637572,0.43301543624161054,0.9457812080536914,0.059954362416107375,0.4682644295302014
22,0.022329053691275167,0.67578322147651,0.6705926174496644,0.9550409395973155,0.06213758389261745,0.4486704697986577
23,0.023157778523489932,0.6605395973154362,0.7744228187919464,0.95471677852349,0.06438657718120805,0.4302557046979866
24,0.024012899328859055,0.6957543624161072,0.6764194630872487,0.9394348993288592,0.06671208053691274,0.41317986577181215
25,0.024912604026845635,0.8083496644295299,0.8081147651006708,0.9430859060402685,0.06915973154362416,0.43171006711409393
26,0.025837416107382546,0.7771483221476517,0.8435798657718124,0.9451818791946309,0.0716456375838926,0.4379885906040269
27,0.026792201342281878,0.5329040268456382,0.7143483221476513,0.9427234899328859,0.07417046979865771,0.4225073825503356
28,0.027795308724832216,0.5479080536912752,0.6026939597315437,0.9476342281879194,0.07687651006711409,0.408355033557047
29,0.028826604026845636,0.5705013422818792,0.532448322147651,0.959993288590604,0.07965436241610738,0.40767785234899323
30,0.029892348993288582,0.5660496644295302,0.5206879194630872,0.9822516778523489,0.08251140939597314,0.42668053691275154
31,0.031011852348993285,0.7265765100671139,0.7622489932885903,0.9469885906040268,0.08548791946308724,0.4169523489932886
32,0.03216226174496644,0.7388302013422823,0.9394845637583892,0.931724832214765,0.08853020134228187,0.4158268456375839
33,0.033350926174496635,0.4944530201342292,0.9739684563758387,0.9571724832214764,0.09165302013422817,0.43290268456375836
34,0.0345998322147651,0.7300597315436235,0.7145677852349002,0.9396241610738255,0.09495302013422818,0.424110067114094
35,0.03588330201342282,0.8314818791946317,0.6058046979865764,0.9298610738255033,0.09835167785234898,0.4124409395973155
36,0.03721016778523489,0.6211899328859067,0.7978248322147645,0.9412228187919462,0.10187315436241609,0.4013449664429531
37,0.03860359731543624,0.44657382550335595,0.9042463087248321,0.9562630872483221,0.10551140939597316,0.4134879194630872
38,0.040035510067114095,0.46557852348993295,0.8785241610738255,0.9621758389261744,0.10924026845637584,0.41920134228187916
39,0.04151652348993288,0.8007832214765093,0.6511563758389267,0.9519436241610738,0.11309395973154363,0.4087697986577181
40,0.043070261744966434,0.8054939597315438,0.7684812080536905,0.9407302013422819,0.1171208053691275,0.41963624161073815
41,0.044667369127516766,0.7509684563758394,0.8583724832214769,0.9348046979865772,0.12124630872483218,0.42502416107382557
42,0.046321134228187906,0.6802067114093966,0.8090718120805374,0.9383926174496644,0.12549865771812074,0.4151906040268457
43,0.04805419463087247,0.724337583892617,0.8601167785234896,0.9508228187919462,0.12992214765100668,0.40592751677852357
44,0.049835550335570473,0.8039523489932888,0.8797463087248321,0.9548201342281879,0.13446778523489933,0.39696979865771814
45,0.0516813355704698,0.9138489932885906,0.8117087248322148,0.9407342281879194,0.13918523489932885,0.3883986577181208
46,0.05361506711409395,0.7849939597315441,0.5684550335570476,0.9466053691275167,0.1440718120805369,0.3978677852348993
47,0.0556021543624161,0.7131771812080532,0.526778523489931,0.952206711409396,0.14907986577181204,0.4103073825503355
48,0.05766122147651005,0.8319107382550327,0.9302865771812053,0.9504791946308725,0.1542624161073825,0.4222671140939597
49,0.05981832885906038,0.7146234899328874,0.803040268456378,0.9443510067114095,0.1596120805369127,0.4172926174496645
50,0.062035308724832205,0.6548469798657712,0.6671644295302012,0.9489798657718119,0.16510469798657718,0.4155208053691275
51,0.06433423489932884,0.8010879194630864,0.7186577181208051,0.9768194630872482,0.1708187919463087,0.42668322147651
52,0.06674047651006709,0.6097530201342304,0.6546906040268463,0.9691073825503357,0.17675302013422814,0.42205100671140944
53,0.06921320805369126,0.5122127516778502,0.6672536912751658,0.9503308724832217,0.18279731543624153,0.42007181208053684
54,0.07177857046979864,0.7575865771812067,0.8901697986577168,0.9238201342281881,0.18897651006711405,0.43050335570469794
55,0.07446298657718119,0.7617000000000004,0.6143107382550363,0.9369939597315434,0.19548187919463084,0.42625704697986583
56,0.07722171140939597,0.6898758389261747,0.39224563758389247,0.9494577181208054,0.20212214765100672,0.4188530201342282
57,0.08008540268456375,0.569082550335571,0.531310738255033,0.9410194630872484,0.20889932885906037,0.4116771812080537
58,0.08307956375838924,0.7194838926174484,0.7600939597315421,0.9515342281879193,0.21599865771812077,0.41819261744966435
59,0.0861564563758389,0.822267114093961,0.8979973154362426,0.957026845637584,0.22325503355704693,0.4278187919463086
60,0.08935236241610735,0.6673885906040286,0.7778684563758402,0.9406154362416109,0.23069664429530193,0.4371208053691274
61,0.09269248322147647,0.5443221476510083,0.8538610738255017,0.9427080536912751,0.23845637583892607,0.4461046979865771
62,0.09612497315436239,0.55276375838926,0.9463201342281878,0.9492906040268456,0.24637449664429525,0.4548718120805369
63,0.09969229530201341,0.85919865771812,0.9586785234899329,0.9554033557046979,0.25448053691275163,0.46331006711409395
