name,kind,family,label,detector_fired,raw_detector_fired,crossing_rate,max_run,surrogate_p
smooth_logistic_growth,logistic_growth,smooth,0,False,True,0.386364,77,
smooth_gompertz,gompertz,smooth,0,False,True,0.359091,65,
smooth_exponential_saturation,exponential_saturation,smooth,0,False,True,0.413636,85,
smooth_linear_ramp,linear_ramp,smooth,0,False,True,0.081818,6,
stoch_random_walk,random_walk,stochastic,0,False,False,0.0,0,
stoch_ar1_red_noise,ar1_red_noise,stochastic,0,False,True,0.054545,6,
stoch_brownian_drift,brownian_drift,stochastic,0,False,False,0.009091,1,
stoch_pink_noise,pink_noise,stochastic,0,False,False,0.009091,1,
stoch_white_noise,white_noise,stochastic,0,False,False,0.009091,1,
struct_sinusoid,sinusoid,structured,0,False,False,0.0,0,
struct_sawtooth,sawtooth,structured,0,False,True,0.095455,3,
bif_sharp_regime_switch,sharp_regime_switch,bifurcation,1,True,True,0.468182,102,
bif_delayed_bifurcation,delayed_bifurcation,bifurcation,1,True,True,0.322727,70,
