normalize,smooth,demand_to_cap_ratio,detector_fired,crossing_rate,max_run
robust_minmax,none,0.85,False,0.0,0
robust_minmax,none,0.9,False,0.0,0
robust_minmax,none,0.95,False,0.0,0
robust_minmax,ma3,0.85,False,0.0,0
robust_minmax,ma3,0.9,False,0.0,0
robust_minmax,ma3,0.95,False,0.0,0
robust_minmax,ma5,0.85,False,0.0,0
robust_minmax,ma5,0.9,False,0.0,0
robust_minmax,ma5,0.95,False,0.0,0
zscore,none,0.85,False,0.0,0
zscore,none,0.9,False,0.0,0
zscore,none,0.95,False,0.0,0
zscore,ma3,0.85,False,0.0,0
zscore,ma3,0.9,False,0.0,0
zscore,ma3,0.95,False,0.0,0
zscore,ma5,0.85,False,0.0,0
zscore,ma5,0.9,False,0.0,0
zscore,ma5,0.95,False,0.0,0
minmax,none,0.85,False,0.0,0
minmax,none,0.9,False,0.0,0
minmax,none,0.95,False,0.0,0
minmax,ma3,0.85,False,0.0,0
minmax,ma3,0.9,False,0.0,0
minmax,ma3,0.95,False,0.0,0
minmax,ma5,0.85,False,0.0,0
minmax,ma5,0.9,False,0.0,0
minmax,ma5,0.95,False,0.0,0
