t,Ma,O,R,I,demand,S
0,541.0,0.0,1.0,0.268742,0.0,0.0
1,537.0827338129496,0.0,1.0,0.7895660431654676,0.0,0.0
2,533.2079136690647,0.00021987050359712228,1.0,0.9992296043165467,0.0,1.1460431654676257e-05
3,529.348201438849,0.004060474820143884,1.0,0.9634055683453238,0.0,0.00029942446043165457
4,525.4309352517986,0.02251863309352518,1.0,0.7821864244604316,0.0,0.0017188992805755394
5,521.5136690647482,0.039857856115107906,1.0,0.633387784172662,0.0,0.003483482014388488
6,517.6237410071943,0.05417103597122302,1.0,0.4709890503597123,0.0,0.005438575539568345
7,513.7776978417266,0.06411020863309352,1.0,0.2727468920863309,0.0,0.0075503381294964025
8,509.8618705035971,0.07370115827338129,1.0,0.24679278417266187,0.0,0.009902856115107914
9,505.94460431654676,0.0832853381294964,1.0,0.22997044604316547,0.0,0.012401812949640285
10,502.03956834532374,0.09317447482014386,1.0,0.22218719424460429,0.0,0.015055035971223017
11,498.1935251798561,0.10453312230215828,1.0,0.23817391366906474,0.0,0.017949539568345323
12,494.2928057553957,0.11725430215827339,1.0,0.2508461582733813,0.0,0.021102661870503598
13,490.40143884892086,0.13025858992805756,1.0,0.25117171223021584,0.0,0.024453446043165464
14,486.55539568345324,0.1430367122302158,1.0,0.23164592086330937,0.0,0.028013172661870506
15,482.6410071942446,0.174549654676259,1.0,0.4426666762589928,0.0,0.03236707194244604
16,478.72374100719423,0.2105981582733813,1.0,0.5450022086330936,0.0,0.03731074100719425
17,474.81726618705034,0.2495901942446043,1.0,0.5415541079136691,0.0,0.04284979856115107
18,470.9712230215827,0.28828067625899273,1.0,0.476115820143885,0.0,0.04923066906474819
19,467.0719424460432,0.326971690647482,1.0,0.42629579136690654,0.0,0.056353669064748195
20,463.1546762589928,0.3656626402877696,1.0,0.38541686330935265,0.0,0.0640678776978417
21,459.23741007194246,0.40435312230215825,1.0,0.35154390647482014,0.0,0.07243302158273382
22,455.38705035971225,0.4433774676258993,1.0,0.32639421582733813,0.0,0.08173887050359713
23,451.50287769784177,0.4569593309352518,0.968368913669065,0.19487352517985673,0.031631086330935095,0.09098873381294961
24,447.5856115107914,0.43683415107913687,0.8346316043165479,0.0,0.16536839568345213,0.09981092805755394
25,443.66834532374105,0.33992953237410056,0.20703712949640185,0.0,0.792962870503598,0.10647384172661871
26,439.8028776978417,0.27219630935251804,0.14654832374100707,0.0,0.853451676258993,0.1120779928057554
27,435.9338129496403,0.22744955395683453,0.34877513669064736,0.0,0.6512248633093527,0.11712303597122302
28,432.01654676258994,0.20792661151079136,0.6557962158273383,0.0,0.34420378417266184,0.12182874100719425
29,428.0992805755396,0.2132008417266187,0.889705669064748,0.0650145899280575,0.11029433093525196,0.12671055395683453
30,424.2187050359712,0.22668955395683457,1.0,0.1534821079136692,0.0,0.1318610143884892
31,420.3647482014389,0.2458972158273381,1.0,0.2457675971223022,0.0,0.137305381294964
32,416.4474820143885,0.2654201582733813,1.0,0.2350449712230216,0.0,0.14319481294964026
33,412.5302158273381,0.28494310071942447,1.0,0.22330507913669062,0.0,0.14943827338129498
34,408.63453237410073,0.30435834532374095,1.0,0.21086403597122302,0.0,0.1559773237410072
35,404.7884892086331,0.3235258848920862,1.0,0.19777965467625905,0.0,0.16285889208633092
36,400.87841726618706,0.3430129280575539,1.0,0.19070565467625902,0.0,0.17019058273381293
37,396.99640287769785,0.36236031654676254,1.0,0.18235473381294967,0.0,0.17781643884892084
38,393.14388489208636,0.3815608129496403,1.0,0.17252116546762591,0.0,0.18573630935251798
39,389.226618705036,0.4010837553956834,1.0,0.1677819856115108,0.0,0.1941107122302158
40,385.30935251798564,0.4206066978417265,1.0,0.1619112661870504,0.0,0.20282902877697837
41,381.4122302158273,0.425271309352518,0.9319934388489209,0.1256384244604317,0.06800656115107905,0.21146461870503597
42,377.56618705035976,0.39225943884892084,0.6915416690647482,0.013582532374100703,0.3084583309352518,0.21949287769784173
43,373.65755395683453,0.3202559208633093,0.33147303597122274,0.0,0.6685269640287772,0.2257780071942446
44,369.7402877697842,0.26225379856115105,0.24871469784172692,0.0,0.751285302158273,0.23137738848920864
45,365.82805755395685,0.2269227194244604,0.4843288705035974,0.0,0.5156711294964026,0.23644928057553957
46,361.98201438848923,0.2077551798561152,0.6319784676258985,0.0,0.3680215323741015,0.2410638201438849
47,358.0884892086331,0.20538867625899276,0.8325700359712219,0.03880087769784145,0.16742996402877805,0.2457818705035971
48,354.17122302158276,0.21235494964028773,1.0,0.09004691366906462,0.0,0.2506162086330935
49,350.2539568345324,0.2219387194244604,1.0,0.12176466187050348,0.0,0.2556317338129496
50,346.3978417266187,0.2318276330935252,1.0,0.12578892086330934,0.0,0.2608661798561151
51,342.51942446043165,0.24160525899280572,1.0,0.12242920143884893,0.0,0.2662483741007194
52,338.6021582733813,0.2511890287769784,1.0,0.11586339568345325,0.0,0.27177704316546764
53,334.68489208633093,0.26077279856115104,1.0,0.11270323021582734,0.0,0.2775396978417266
54,330.8136690647482,0.27058632374100716,1.0,0.11152614388489208,0.0,0.28346672661870503
55,326.9503597122302,0.2804393381294964,1.0,0.11008592805755396,0.0,0.2895432158273381
56,323.0330935251798,0.2900231079136691,1.0,0.10443438129496403,0.0,0.29580585611510796
57,319.1158273381295,0.2996074748201438,1.0,0.10140300719424462,0.0,0.30227450359712227
58,315.2294964028777,0.3093457050359712,1.0,0.10005690647482014,0.0,0.30889361151079137
