t,O,R,I,demand,Cap,Sigma,S,C,delta_C,V,intervention,threshold_hit
0,0.7,0.65,0.68,1.2,0.6806800000000001,0.5193199999999999,0.0905456,0.005432736,0.005432736,0.6254605472000001,none,0
1,0.701,0.651,0.681,1.204,0.6837050682000001,0.5202949317999999,0.130358282544,0.01322706927264,0.0077943332726400005,0.6276832013645282,none,0
2,0.702,0.652,0.682,1.208,0.6867390816000001,0.5212609183999999,0.16945199036512,0.023328053348183997,0.010100984075543997,0.6303721055496369,none,0
3,0.703,0.653,0.683,1.212,0.6897820534000001,0.5222179465999999,0.20784038628581758,0.03568183625859213,0.012353782910408131,0.6335164966217186,none,0
4,0.704,0.654,0.684,1.216,0.6928339968000001,0.5231660031999998,0.2455368588161012,0.05023563860626524,0.01455380234767311,0.6371058259612532,none,0
5,0.705,0.655,0.685,1.22,0.6958949250000002,0.5241050749999998,0.2825545276397792,0.06693773207162067,0.01670209346535543,0.6411297551643244,none,0
6,0.706,0.656,0.686,1.224,0.6989648512000002,0.5250351487999998,0.3189062489909835,0.08573741835072157,0.018799686279100905,0.6455781518301444,none,0
7,0.707,0.657,0.687,1.228,0.7020437886000002,0.5259562113999998,0.35460462092316386,0.1065850085143578,0.02084759016363623,0.6504410854328716,none,0
8,0.708,0.658,0.6880000000000001,1.232,0.7051317504000001,0.5268682495999999,0.3896619884727006,0.12943180278014804,0.02284679426579024,0.6557088232760298,none,0
9,0.709,0.659,0.6890000000000001,1.236,0.7082287498000002,0.5277712501999998,0.4240904487192466,0.1542300706894021,0.024798267909254046,0.6613718265278806,none,0
10,0.71,0.66,0.6900000000000001,1.24,0.7113348000000002,0.5286651999999998,0.45790185574486164,0.18093303168064676,0.026702960991244667,0.6674207463361295,none,0
11,0.711,0.661,0.6910000000000001,1.244,0.7144499142000001,0.5295500857999998,0.49110782549396437,0.20949483605188138,0.028561804371234623,0.6738464200203764,none,0
12,0.712,0.662,0.6920000000000001,1.248,0.7175741056,0.5304258944,0.523719740536085,0.23987054630378707,0.03037571025190569,0.6806398673407574,none,0
13,0.713,0.663,0.6930000000000001,1.252,0.7207073874000002,0.5312926125999998,0.5557487547333633,0.2720161188562699,0.03214557255248285,0.6877922868412542,none,0
14,0.714,0.664,0.6940000000000001,1.256,0.7238497728000002,0.5321502271999998,0.587205797814696,0.3058883861308703,0.03387226727460041,0.6952950522661742,none,0
15,0.715,0.665,0.6950000000000001,1.26,0.7270012750000001,0.5329987249999999,0.6181015798584021,0.3414450389917201,0.03555665286084975,0.7031397090483442,none,0
16,0.716,0.666,0.6960000000000001,1.264,0.7301619072000001,0.5338380927999999,0.648446595685234,0.37864460953787554,0.03719957054615547,0.7113179708675751,none,0
17,0.717,0.667,0.6970000000000001,1.268,0.7333316826000003,0.5346683173999998,0.6782511291635293,0.41744645423999793,0.03880184470212239,0.7198217162779998,none,0
18,0.718,0.668,0.6980000000000001,1.272,0.7365106144000001,0.5354893855999999,0.7075252574282587,0.45781073741449346,0.04036428317449553,0.7286429854028987,none,0
19,0.719,0.669,0.6990000000000001,1.276,0.7396987158000001,0.5363012841999999,0.7362788550156935,0.4996984150283626,0.041887677613869134,0.7377739766956726,none,0
20,0.72,0.67,0.7000000000000001,1.28,0.7428960000000001,0.5371039999999999,0.7645215979153795,0.5430712188281436,0.04337280379978098,0.7472070437656289,none,0
21,0.721,0.671,0.7010000000000001,1.284,0.7461024802000003,0.5378975197999998,0.792262967541072,0.5878916407864672,0.044820421958323586,0.7569346922672936,none,0
22,0.722,0.672,0.7020000000000001,1.288,0.7493181696000002,0.5386818303999998,0.8195122546222504,0.6341229178598699,0.04623127707340269,0.7669495768519742,none,0
23,0.723,0.673,0.7030000000000001,1.292,0.7525430814000003,0.5394569185999998,0.8462785630178054,0.6817290170516388,0.04760609919176895,0.7772444981803279,none,0
24,0.724,0.674,0.7040000000000001,1.296,0.7557772288000001,0.5402227712,0.8725708134534492,0.7306746207735876,0.04894560372194878,0.7878123999947176,none,0
25,0.725,0.675,0.7050000000000001,1.3,0.7590206250000002,0.5409793749999998,0.8983977471843803,0.7809251125007824,0.05025049172719487,0.7986463662501567,none,0
26,0.726,0.676,0.7060000000000001,1.304,0.7622732832000003,0.5417267167999997,0.9237679295846926,0.83244656271336,0.05152145021257759,0.8097396183026724,none,0
27,0.727,0.677,0.7070000000000001,1.308,0.7655352166000002,0.5424647833999998,0.9486897536649986,0.8852057151196931,0.05275915240633311,0.8210855121539389,none,0
28,0.728,0.678,0.7080000000000001,1.312,0.7688064384000002,0.5431935615999999,0.9731714435196986,0.9391699731552766,0.05396425803558347,0.8326775357510554,none,0
29,0.729,0.679,0.7090000000000001,1.316,0.7720869618000002,0.5439130381999998,0.9972210577053047,0.9943073867518185,0.055137413596541895,0.8445093063403639,none,0
30,0.73,0.68,0.7100000000000001,1.3199999999999998,0.7753768000000001,0.5446231999999998,1.0208464925511986,1.0505866393711314,0.05627925261931288,0.8565745678742265,none,0
