t,O,R,I,Cap,demand,demande_env,Sigma,S,V,C,perturb_symbolic,intervention,delta_C,threshold_value,threshold_hit
0,0.587975121808547,0.6987285903459677,0.7315889600021511,300.56237088144894,270.0511605538184,270.0511605538184,0.0,0.15542632607104015,1.0,-0.057829469571583934,0.0,none,0.0,-0.030783209563645837,0
1,0.5894688930410601,0.6950339407480195,0.7347220575515502,301.0162791759916,270.13090470723284,270.13090470723284,0.0,0.15511547341889806,1.0,-0.1157832802040247,0.0,none,-0.05795381063244077,-0.030783209563645837,0
2,0.5908296499476083,0.6947608080800658,0.7339638604174005,301.28136444901844,274.9204424368736,274.9204424368736,0.0,0.15480524247206026,1.0,-0.17386118321520058,0.0,none,-0.05807790301117588,-0.030783209563645837,0
3,0.5924786770026685,0.6943557483386789,0.7336582880602601,301.8203985482471,277.22622004938,277.22622004938,0.0,0.15449563198711613,1.0,-0.2320629304203541,0.0,none,-0.05820174720515353,-0.030783209563645837,0
4,0.5907379957187742,0.6913269813312161,0.7344482517857592,299.94360960127017,264.51868643307404,264.51868643307404,0.0,0.1541866407231419,1.0,-0.29038827413109736,0.0,none,-0.058325343710743244,-0.030783209563645837,0
5,0.5868973145385381,0.6896988740033253,0.7335130566679737,296.91318797384287,257.6563752866957,257.6563752866957,0.0,0.1538782674416956,1.0,-0.34883696715441914,0.0,none,-0.058448693023321785,-0.030783209563645837,0
6,0.583912386770412,0.6897721496572149,0.7353075551814292,296.15725206673335,264.67734545947087,264.67734545947087,0.0,0.15357051090681223,1.0,-0.40740876279169425,0.0,none,-0.058571795637275104,-0.030783209563645837,0
7,0.5824251947113943,0.6905421372747107,0.736742026795818,296.30964124430915,264.2784842340727,264.2784842340727,0.0,0.1532633698849986,1.0,-0.4661034148376948,0.0,none,-0.05869465204600055,-0.030783209563645837,0
8,0.5835145303272361,0.6926278882278766,0.7363281139234014,297.59321956205844,261.29728645469675,261.29728645469675,0.0,0.15295684314522862,1.0,-0.5249206775796034,0.0,none,-0.05881726274190857,-0.030783209563645837,0
9,0.5842098315242671,0.6931229797098023,0.7385257394602301,299.05068058113807,258.77343410661825,258.77343410661825,0.0,0.15265092945893816,1.0,-0.5838603057960281,0.0,none,-0.05893962821642473,-0.030783209563645837,0
10,0.582886605663556,0.691446645788371,0.7350577097677644,296.25397550093976,267.63990992052646,267.63990992052646,0.0,0.15234562760002027,1.0,-0.64292205475602,0.0,none,-0.059061748959991944,-0.030783209563645837,0
11,0.5839422140885471,0.6899690657254194,0.7378290039167568,297.27282847766685,274.14261148344946,274.14261148344946,0.0,0.15204093634482022,1.0,-0.7021056802180919,0.0,none,-0.0591836254620719,-0.030783209563645837,0
12,0.5851969670462182,0.6907724799083014,0.7397403430456541,299.0311273218196,258.3738218989479,258.3738218989479,0.0,0.1517368544721306,1.0,-0.7614109384292397,0.0,none,-0.05930525821114774,-0.030783209563645837,0
13,0.5864248263627179,0.6919780335753682,0.7362049058913681,298.74686966157503,271.67138492542875,271.67138492542875,0.0,0.15143338076318633,1.0,-0.8208375861239652,0.0,none,-0.0594266476947255,-0.030783209563645837,0
14,0.5859239836692979,0.6935410789674916,0.7353267815160928,298.8091202982108,268.78104383344424,268.78104383344424,0.0,0.15113051400165994,1.0,-0.8803853805233012,0.0,none,-0.059547794399335996,-0.030783209563645837,0
15,0.5866096867039332,0.6917885555900032,0.7365239748124536,298.8886968943772,268.1527748176671,268.1527748176671,0.0,0.15082825297365662,1.0,-0.9400540793338386,0.0,none,-0.05966869881053738,-0.030783209563645837,0
16,0.5875946519512917,0.6907448805773296,0.7386963778990087,299.82060676248494,274.73775074467414,274.73775074467414,0.0,0.1505265964677093,1.0,-0.9998434407467548,0.0,none,-0.05978936141291624,-0.030783209563645837,0
