omega,alpha_scale,k,m,baseline_n,threshold_detected,threshold_value,threshold_index
0.0,0.0,2.5,3,30,False,0.22641674486886082,
0.0,0.1,2.5,3,30,False,0.33721841858659074,
0.0,0.2,2.5,3,30,False,0.46785850863955264,
0.0,0.3,2.5,3,30,False,0.6022628064443575,
0.0,0.4,2.5,3,30,False,0.7379340043787759,
0.0,0.5,2.5,3,30,False,0.8741768110150689,
0.25,0.0,2.5,3,30,False,0.22641674486886082,
0.25,0.1,2.5,3,30,False,0.33721841858659074,
0.25,0.2,2.5,3,30,False,0.46785850863955264,
0.25,0.3,2.5,3,30,False,0.6022628064443575,
0.25,0.4,2.5,3,30,False,0.7379340043787759,
0.25,0.5,2.5,3,30,False,0.8741768110150689,
0.5,0.0,2.5,3,30,False,0.22641674486886082,
0.5,0.1,2.5,3,30,False,0.33721841858659074,
0.5,0.2,2.5,3,30,False,0.46785850863955264,
0.5,0.3,2.5,3,30,False,0.6022628064443575,
0.5,0.4,2.5,3,30,False,0.7379340043787759,
0.5,0.5,2.5,3,30,False,0.8741768110150689,
0.75,0.0,2.5,3,30,False,0.22641674486886082,
0.75,0.1,2.5,3,30,False,0.33721841858659074,
0.75,0.2,2.5,3,30,False,0.46785850863955264,
0.75,0.3,2.5,3,30,False,0.6022628064443575,
0.75,0.4,2.5,3,30,False,0.7379340043787759,
0.75,0.5,2.5,3,30,False,0.8741768110150689,
1.0,0.0,2.5,3,30,False,0.22641674486886082,
1.0,0.1,2.5,3,30,False,0.33721841858659074,
1.0,0.2,2.5,3,30,False,0.46785850863955264,
1.0,0.3,2.5,3,30,False,0.6022628064443575,
1.0,0.4,2.5,3,30,False,0.7379340043787759,
1.0,0.5,2.5,3,30,False,0.8741768110150689,
