t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,0
1,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,1
2,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,2
3,0.01,0.2137973685829656,0.01,0.021379736858296562,1.0,0.9786202631417035,0.9786202631417035,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,3
4,0.01,0.4104501020401649,0.01,0.04104501020401649,0.9995051396079456,0.9584601294039291,0.9584601294039291,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,4
5,0.01,0.5155120719925084,0.01,0.05155120719925084,0.9879178618353752,0.9363666546361243,0.9363666546361243,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,5
6,0.01,0.4841070066140506,0.01,0.048410700661405064,0.9714109486223512,0.9230002479609462,0.9230002479609462,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,6
7,0.01,0.5001142219228081,0.01,0.05001142219228081,0.9654725511120928,0.915461128919812,0.915461128919812,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,7
8,0.0102427355137205,0.56702060452017,0.01,0.05807842082930011,0.9537750831958468,0.8956966623665467,0.8956966623665467,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,8
9,0.0115239810932603,0.567715666006284,0.01,0.06542344601404096,0.9483019811002916,0.8828785350862507,0.8828785350862507,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,9
10,0.0139571175202414,0.6183444560100444,0.01,0.08630306240521927,0.938082101698244,0.8517790392930248,0.8517790392930248,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,10
11,0.0159410324934504,0.6554346175676204,0.01,0.10448304535977675,0.9299122017837256,0.8254291564239489,0.8254291564239489,0.0,0.0,8.040000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,11
12,0.0190445494183611,0.8636805371808898,0.6374279912647466,10.484674824450163,0.9174135413063924,0.0,0.0,0.0,1.0,7.920000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,12
13,0.0208995456726935,0.9247149133060892,0.0865135504378714,1.671971392770073,0.910101062286382,0.0,0.0,0.0,1.0,7.800000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,13
14,0.0236253405341883,0.9347737638007332,0.01,0.2208434849221722,0.8995617616134878,0.6787182766913156,0.6787182766913156,0.0,0.0,7.800000000000006,real,0.0,0.042790273196767856,0,1000.0,0.9,True,14
15,0.0252940554081713,0.9065351185658728,0.0824878717108126,1.8914427342139994,0.8932266787205172,0.0,0.0,0.0,1.0,7.680000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,15
16,0.026426164513494,0.8388694769396805,0.259676788346464,5.756541739606031,0.8889779194704523,0.0,0.0,0.0,1.0,7.560000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,16
17,0.0292099731535281,0.834768313895742,0.2948643392244051,7.189842318635047,0.8786946685943955,0.0,0.0,0.0,1.0,7.440000000000007,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,17
18,0.0329033894960232,0.8293616208119918,0.1083530282846698,2.956825033039232,0.8653984003393325,0.0,0.0,0.0,1.0,7.3200000000000065,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,18
19,0.0358729032453716,0.8781179552934943,0.3452317940636469,10.875022616109122,0.8549821476260745,0.0,0.0,0.0,1.0,7.200000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,19
20,0.0378674486646844,0.8659493928127288,0.244976219963905,8.033087295585739,0.8481173046143374,0.0,0.0,0.0,1.0,7.080000000000006,real,-0.12,0.042790273196767856,0,1000.0,0.9,True,20
21,0.0407622839963214,0.9292625621474389,0.1274650198576212,4.8282302112667566,0.838334949201707,0.0,0.0,0.0,1.0,6.960000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,21
22,0.0440643309885678,0.9167551513367872,0.0726436404469644,2.934527204310305,0.8274286280188285,0.0,0.0,0.0,1.0,6.840000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,22
23,0.0477433441628696,0.9132288239433096,0.0296027266801726,1.2906965868991431,0.8155797935802657,0.0,0.0,0.0,1.0,6.720000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,23
24,0.049781191629671,0.8943650150800078,0.0207768611887375,0.9250389699885908,0.8091484288901327,0.0,0.0,0.0,1.0,6.600000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,24
25,0.0532196598762417,0.9164750672515112,0.2944214896581206,14.360258404759355,0.7985015171390712,0.0,0.0,0.0,1.0,6.480000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,25
26,0.0569313849021381,0.9019955835883654,0.2050662477318912,10.530532782710361,0.7872859943172108,0.0,0.0,0.0,1.0,6.360000000000006,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,26
27,0.0601185015152821,0.9588396016398314,0.524839748821394,30.253862504204125,0.7778758170442853,0.0,0.0,0.0,1.0,6.2400000000000055,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,27
28,0.0652931026277032,0.985653367182842,0.6246581270785334,40.20072733774033,0.763009875723326,0.0,0.0,0.0,1.0,6.120000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,28
29,0.0688249167899578,0.99,0.6866038182336474,46.7828961510221,0.7531429424166328,0.0,0.0,0.0,1.0,6.000000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,29
30,0.0720309862562167,0.99,0.6253176527756116,44.591824780321275,0.7443734620084114,0.0,0.0,0.0,1.0,5.880000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,30
31,0.0748818682303432,0.99,0.7574130684634622,56.149340532734676,0.7367199271418204,0.0,0.0,0.0,1.0,5.760000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,31
32,0.0799506992282598,0.99,0.7691520254296627,60.87929982347446,0.723434086039196,0.0,0.0,0.0,1.0,5.640000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,32
33,0.0824834737508174,0.9842334447347424,0.7354579858993142,59.706680891327906,0.7169440979596986,0.0,0.0,0.0,1.0,5.520000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,33
34,0.0865348733461195,0.9858482882264876,0.6963692642604209,59.40744073394566,0.7067602314914373,0.0,0.0,0.0,1.0,5.400000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,34
35,0.0893576478350399,0.9682693856319318,0.682057100790746,59.0131318839571,0.6998036527420372,0.0,0.0,0.0,1.0,5.280000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,35
36,0.0933366057386584,0.99,0.7227520153439734,66.78462770395141,0.6901843265284245,0.0,0.0,0.0,1.0,5.160000000000005,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,36
37,0.0985203143183241,0.99,0.5600923110137189,54.628665823064644,0.6779668800844504,0.0,0.0,0.0,1.0,5.0400000000000045,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,37
38,0.1029748295470265,0.99,0.5970395024409499,60.865240586731346,0.6677396683681459,0.0,0.0,0.0,1.0,4.920000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,38
39,0.1074042460243612,0.99,0.6094010440321471,64.797737064124,0.6578078470176243,0.0,0.0,0.0,1.0,4.800000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,39
40,0.1143209794912273,0.9168750090147436,0.7564792542092397,79.29267961204081,0.6427498416082196,0.0,0.0,0.0,1.0,4.680000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,40
41,0.1178816224424829,0.9175779304977802,0.7695090791712167,83.23439214285493,0.635202843237013,0.0,0.0,0.0,1.0,4.560000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,41
42,0.1217189244681237,0.933773138744154,0.6707586652878464,76.23699591195923,0.6272185317922737,0.0,0.0,0.0,1.0,4.440000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,42
43,0.127545851383145,0.953545151620614,0.7366477426770879,89.59163488812176,0.6153787232803879,0.0,0.0,0.0,1.0,4.320000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,43
44,0.1331192384548931,0.9460443421383152,0.684210574321471,86.16722345673867,0.6043609770031224,0.0,0.0,0.0,1.0,4.200000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,44
45,0.1396606852292323,0.9824991689609816,0.595923311942275,81.77051540842521,0.5917932260175179,0.0,0.0,0.0,1.0,4.080000000000004,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,45
46,0.1436239190051509,0.9803182590310908,0.1477422849287403,20.80169268707828,0.5843615574910561,0.0,0.0,0.0,1.0,3.9600000000000035,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,46
47,0.1516826659512183,0.9653374897863264,0.01,1.4642496399344695,0.5696544202509713,0.0,0.0,0.0,1.0,3.8400000000000034,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,47
48,0.1725765727170457,0.2909631401930512,0.0959765974507476,4.819313343994295,0.5338412733386122,0.0,0.0,0.0,1.0,3.7200000000000033,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,48
49,0.1811712291902647,0.3340113607297981,0.424621769638051,25.695242786454042,0.5199932701720769,0.0,0.0,0.0,1.0,3.600000000000003,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,49
50,0.2020778731944552,0.2462363480182392,0.5120338343116183,25.47824932419693,0.4882143105361566,0.0,0.0,0.0,1.0,3.480000000000003,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,50
51,0.207462671661166,0.2660101896992313,0.609283410706121,33.62463608722334,0.4804333741776186,0.0,0.0,0.0,1.0,3.360000000000003,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,51
52,0.2117073894292701,0.2154423106357071,0.6758240658497238,30.824828425453937,0.474408868890363,0.0,0.0,0.0,1.0,3.240000000000003,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,52
53,0.217050930408908,0.2548451671368748,0.631005640774649,34.90368619807487,0.4669571739112821,0.0,0.0,0.0,1.0,3.1200000000000028,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,53
54,0.2255021341968096,0.3338115516034972,0.6916585426594855,52.06474710033883,0.4554617781529163,0.0,0.0,0.0,1.0,3.0000000000000027,real,-0.1200000000000001,0.042790273196767856,0,1000.0,0.9,True,54
