t,O,R,I,S,demand
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0009340886726930892,1.0
2,0.0,0.0,0.0,0.002548816028023775,1.0
3,0.0,0.2137973685829656,0.0,0.004474153137417088,1.0
4,0.00010337806277557343,0.41045010204016497,0.0,0.0061926464752871295,0.9995051396079455
5,0.0025798397645725897,0.5155120719925084,0.0,0.008251005290380937,0.9879178618353751
6,0.006214884157572544,0.4841070066140506,0.0,0.0112723424118714,0.9714109486223511
7,0.007554224323726652,0.5001142219228081,0.0,0.01238556077313741,0.9654725511120927
8,0.010242735513720593,0.56702060452017,0.0,0.014620168602277972,0.9537750831958468
9,0.011523981093260357,0.567715666006284,0.0,0.01568510052956437,0.9483019811002916
10,0.013957117520241473,0.6183444560100444,0.0,0.01770744870848764,0.9380821016982441
11,0.01594103249345041,0.6554346175676204,0.0,0.01935641782863918,0.9299122017837255
12,0.019044549418361156,0.8636805371808898,0.6374279912647466,0.021935965663175593,0.9174135413063923
13,0.02089954567269354,0.9247149133060893,0.08651355043787147,0.023477781508460173,0.9101010622863821
14,0.0236253405341883,0.9347737638007333,0.0,0.025743378378875664,0.8995617616134878
15,0.025294055408171385,0.9065351185658728,0.08248787171081266,0.027130362868984598,0.8932266787205172
16,0.026426164513494003,0.8388694769396805,0.25967678834646407,0.02807133714486289,0.8889779194704523
17,0.029209973153528156,0.834768313895742,0.2948643392244051,0.030385153284070952,0.8786946685943955
18,0.03290338949602327,0.8293616208119918,0.10835302828466982,0.03345500737503863,0.8653984003393325
19,0.03587290324537168,0.8781179552934943,0.3452317940636469,0.0359231758906584,0.8549821476260745
20,0.037867448664684424,0.8659493928127288,0.24497621996390506,0.03758098071072417,0.8481173046143374
21,0.04076228399632143,0.9292625621474387,0.12746501985762124,0.03998707882191088,0.838334949201707
22,0.04406433098856784,0.9167551513367871,0.07264364044696443,0.042731638743597686,0.8274286280188285
23,0.047743344162869676,0.9132288239433097,0.029602726680172654,0.04578952136406194,0.8155797935802657
24,0.04978119162967109,0.8943650150800078,0.020776861188737596,0.047483317514458084,0.8091484288901327
25,0.05321965987624175,0.9164750672515111,0.2944214896581206,0.05034126658777227,0.7985015171390712
26,0.056931384902138164,0.9019955835883654,0.20506624773189125,0.0534263382933893,0.7872859943172108
27,0.060118501515282155,0.9588396016398314,0.524839748821394,0.056075371618086595,0.7778758170442853
28,0.06529310262770327,0.9856533671828419,0.6246581270785334,0.060376340943240014,0.763009875723326
29,0.0688249167899578,0.9974383872835693,0.6866038182336474,0.06331187627127459,0.7531429424166328
30,0.07203098625621673,0.9968599296527478,0.6253176527756116,0.06597666262467893,0.7443734620084114
31,0.07488186823034326,0.9935483589380102,0.7574130684634622,0.06834622805667298,0.7367199271418204
32,0.07995069922825988,1.0,0.7691520254296627,0.07255928451509165,0.723434086039196
33,0.08248347375081744,0.9842334447347423,0.7354579858993142,0.07466444881517686,0.7169440979596986
34,0.08653487334611953,0.9858482882264875,0.6963692642604209,0.07803184757785761,0.7067602314914373
35,0.08935764783503995,0.9682693856319318,0.682057100790746,0.08037805093245629,0.6998036527420372
36,0.0933366057386584,1.0,0.7227520153439734,0.08368523838859869,0.6901843265284245
37,0.09852031431832411,1.0,0.5600923110137189,0.08799377756047032,0.6779668800844504
38,0.10297482954702658,0.9999871526396383,0.5970395024409499,0.09169623364178826,0.6677396683681459
39,0.10740424602436127,1.0,0.6094010440321471,0.09537782841275837,0.6578078470176243
40,0.11432097949122731,0.9168750090147435,0.7564792542092397,0.10112680458018589,0.6427498416082196
41,0.11788162244248296,0.9175779304977802,0.7695090791712167,0.1040863015111501,0.635202843237013
42,0.12171892446812374,0.9337731387441539,0.6707586652878464,0.10727574895744962,0.6272185317922737
43,0.12754585138314503,0.953545151620614,0.7366477426770879,0.11211891143064201,0.6153787232803879
44,0.1331192384548931,0.9460443421383153,0.684210574321471,0.11675133938248068,0.6043609770031224
45,0.13966068522923236,0.9824991689609816,0.595923311942275,0.12218838879118249,0.5917932260175179
46,0.14362391900515092,0.9803182590310909,0.14774228492874036,0.12548250683589926,0.5843615574910561
47,0.15168266595121832,0.9653374897863264,0.0,0.1321806894902126,0.5696544202509713
48,0.17257657271704574,0.29096314019305125,0.09597659745074763,0.14954706230428896,0.5338412733386122
49,0.18117122919026477,0.3340113607297981,0.42462176963805104,0.15669067647830032,0.5199932701720769
50,0.20207787319445525,0.24623634801823924,0.5120338343116183,0.17406763609323272,0.4882143105361566
51,0.20746267166116608,0.2660101896992313,0.609283410706121,0.17854331499568254,0.4804333741776186
52,0.2117073894292701,0.21544231063570718,0.6758240658497238,0.18207139387904353,0.474408868890363
53,0.21705093040890808,0.2548451671368748,0.631005640774649,0.18651278082691014,0.4669571739112821
54,0.22550213419680964,0.3338115516034972,0.6916585426594855,0.19353716154006972,0.45546177815291633
55,0.23486151056996205,0.3796918845156546,0.6964559782160468,0.2013163873796939,0.4431264946817901
56,0.27696666031382305,0.0,0.6793799302596509,0.23631289310931278,0.3922115954200793
57,0.28810590962490873,0.02306649902247404,0.5740916917110744,0.2455714946036799,0.37985634066066626
58,0.333073668613655,0.016845694218975082,0.7475490171760215,0.2829473131121328,0.33397488522219604
59,0.34916555446174524,0.0922769239514607,0.786183382742657,0.29632239380199954,0.31893983554899874
60,0.3593956287184669,0.015364961311524428,0.6863566302924461,0.30482531694840126,0.30972063605741357
61,0.4091794923076739,0.027795079057348238,0.8299481905839825,0.34620413350506896,0.26822808802581255
62,0.42583584890127396,0.0019307408943243232,0.8342800449254566,0.3600483849210727,0.2554689627257946
63,0.48360769991180935,0.07653615862554453,0.7247558364595902,0.40806657099095306,0.21492732751261004
64,0.5076763720385346,0.22095176357859203,0.792679720955552,0.4280717111486619,0.19954567262043993
65,0.5707816911951024,0.3114275499679354,0.8875096293166369,0.4805229119368564,0.16278694758272605
66,0.5941612108844726,0.4027409448585497,0.9206034443733621,0.4999552497801407,0.1503339848295307
67,0.6133433810735724,0.46632381638821563,0.9233444952611277,0.5158988797877085,0.1405385779019382
68,0.6368731375065665,0.42834897739851596,0.9273997416850559,0.5354560897924984,0.12900983000400287
69,0.6620522327476219,0.5070997684885525,0.9399141800533799,0.556384179497219,0.11722989025684721
70,0.6859406172503199,0.47823507423942935,0.9376678153893298,0.5762394701256984,0.10655152427646906
71,0.710633612354938,0.5216129236286091,0.9416744709035165,0.5967635283446392,0.0959902226371022
72,0.7915736562454424,0.4827041875144976,0.9741281749902497,0.6640384039121496,0.06441540583779504
73,0.8760317047432398,0.39041934860330774,0.9723268617575564,0.7342373367302556,0.03573591643260573
74,0.9650702738590671,0.43135242210854796,0.9992640761776551,0.8082434574346107,0.009390038884245746
75,0.9985969375940746,0.39133007071184056,1.0,0.8361097893829554,0.00036095905287723964
76,1.0,0.4069106858051188,1.0,0.8594334359329324,0.0
77,1.0,0.381901350408,1.0,0.8905316927709122,0.0
78,1.0,0.4219880680245399,1.0,0.919331214890984,0.0
79,1.0,0.44807035396405204,0.9729988488009818,1.0,0.0
