t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.99,0.99,0.01,9.801,0.125,0.0,0.0,0.0,1.0,31.85045979947093,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,0
1,0.6305110106083842,0.99,0.01,6.242059005023004,0.1251600324487717,0.0,0.0,0.0,1.0,31.730459799470932,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,1
2,0.3122993127812803,0.99,0.01,3.091763196534675,0.1256179206609285,0.0,0.0,0.0,1.0,31.61045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,2
3,0.7209258211825799,0.99,0.01,7.137165629707541,0.1261966810113827,0.0,0.0,0.0,1.0,31.49045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,3
4,0.99,0.99,0.01,9.801,0.1266704159202865,0.0,0.0,0.0,1.0,31.37045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,4
5,0.7067399127251992,0.99,0.01,6.996725135979473,0.1272711671442662,0.0,0.0,0.0,1.0,31.25045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,5
6,0.154982203486369,0.99,0.01,1.5343238145150533,0.1282379110530466,0.0,0.0,0.0,1.0,31.13045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,6
7,0.99,0.99,0.01,9.801,0.1284204260613935,0.0,0.0,0.0,1.0,31.01045979947093,real,-0.12,-0.04634210756667259,0,1000.0,0.9,True,7
8,0.01,0.99,0.01,0.099,0.1290359007327919,0.030035900732791887,0.030035900732791887,0.0,0.6359284796436491,30.934148381913694,real,-0.07631141755723791,-0.04634210756667259,0,1000.0,0.9,True,8
9,0.99,0.99,0.01,9.801,0.1291850729725565,0.0,0.0,0.0,1.0,30.814148381913693,real,-0.11999999999999988,-0.04634210756667259,0,1000.0,0.9,True,9
10,0.1711964896919449,0.99,0.01,1.6948452479502547,0.1296932151927894,0.0,0.0,0.0,1.0,30.694148381913692,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,10
11,0.99,0.99,0.01,9.801,0.1300485360912637,0.0,0.0,0.0,1.0,30.57414838191369,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,11
