t,O,R,I,S,demand
0,1.0,1.0,,0.0,0.125
1,0.6305110106083842,1.0,,0.0,0.12516003244877172
2,0.3122993127812803,1.0,,0.0,0.1256179206609285
3,0.7209258211825799,1.0,,0.0,0.1261966810113827
4,1.0,1.0,,0.0,0.12667041592028658
5,0.7067399127251992,1.0,,0.0,0.12727116714426623
6,0.15498220348636904,1.0,,0.0,0.12823791105304666
7,1.0,1.0,,0.0,0.1284204260613935
8,0.0003663033584283548,1.0,,0.0,0.12903590073279197
9,1.0,1.0,,0.0,0.12918507297255652
10,0.1711964896919449,1.0,,0.0,0.12969321519278948
11,1.0,1.0,,0.0,0.13004853609126377
12,0.24277182587818635,1.0,,0.0,0.13073182638114855
13,1.0,1.0,,0.0,0.1310251923518708
14,0.4309236470126434,0.9834892672905932,,0.0,0.13156503571412942
15,1.0,0.9255315376148726,,0.0,0.13178628981218593
16,1.0,0.884189925573245,,0.0,0.1318480044067296
17,0.0,0.8337619365351561,,0.0,0.13237301972848742
18,0.4643481473805199,0.7648723536676146,,0.0,0.13313003567847762
19,1.0,0.6911328856770429,,0.0,0.13367053913230284
20,1.0,0.6257157226964645,,0.0,0.133939332277598
21,0.4758646824376743,0.5571984630360145,,0.0,0.1344351380288584
22,0.7940081768560487,0.48249746228155677,,0.0,0.1350201626116162
23,0.8248042805460485,0.3996538229778005,,0.0,0.13568106766930968
24,1.0,0.4001059462482398,,0.0,0.1359227205013401
25,0.23536333469164417,0.4089198779154014,,0.0,0.136495551478006
26,1.0,0.41684538910563695,,0.0,0.13700696258591855
27,1.0,0.4213396725351932,,0.0,0.13745001346395225
28,0.9807809111300942,0.42634107152198475,,0.0,0.13790138848138744
29,1.0,0.43106122328210517,,0.0,0.13822930350002655
30,0.9753405657352533,0.4189646826203268,,0.0,0.13856789897130162
31,0.19484394467721655,0.4068581822193257,,0.0,0.13925522227717022
32,1.0,0.38637291436614685,,0.0,0.1397512582549792
33,1.0,0.3815124681322347,,0.0,0.1401153087459698
34,1.0,0.391572794424935,,0.0,0.14012059763688223
35,0.33352769767873036,0.4101506798311155,,0.0,0.14041454788886695
36,0.8464748678109635,0.4209062026285991,,0.0,0.14077499268752994
37,1.0,0.4439012958831732,,0.0,0.14099681816644086
38,1.0,0.4688503170060021,,0.0,0.1412104632228268
39,0.1103771447152726,0.4951353609313355,,0.0,0.14180942023194212
