t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,34.27479647859132,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,0
1,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,34.154796478591315,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,1
2,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,34.03479647859132,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,2
3,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.91479647859132,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,3
4,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.794796478591316,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,4
5,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.67479647859132,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,5
6,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.554796478591314,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,6
7,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.434796478591316,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,7
8,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.31479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,8
9,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.194796478591314,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,9
10,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,33.07479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,10
11,0.99,0.9770165291143836,0.01,9.672463638232399,0.0,0.0,0.0,0.0,1.0,32.95479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,11
12,0.99,0.9763439319396848,0.01,9.66580492620288,0.0,0.0,0.0,0.0,1.0,32.834796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,12
13,0.99,0.981885844600906,0.01,9.72066986154897,0.0,0.0,0.0,0.0,1.0,32.71479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,13
14,0.99,0.9844054833930124,0.01,9.745614285590824,0.0,0.0,0.0,0.0,1.0,32.59479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,14
15,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,32.474796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,15
16,0.99,0.9836011076091706,0.01,9.73765096533079,0.0,0.0,0.0,0.0,1.0,32.35479647859132,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,16
17,0.99,0.9827451510704446,0.01,9.729176995597403,0.0,0.0,0.0,0.0,1.0,32.23479647859131,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,17
18,0.99,0.9874863749550232,0.01,9.77611511205473,0.0,0.0,0.0,0.0,1.0,32.114796478591316,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,18
19,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.994796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,19
20,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.874796478591314,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,20
21,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.754796478591317,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,21
22,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.634796478591316,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,22
23,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.514796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,23
24,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.394796478591317,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,24
25,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.274796478591316,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,25
26,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.154796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,26
27,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,31.034796478591314,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,27
28,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,30.914796478591313,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,28
29,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,30.794796478591316,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,29
30,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,30.674796478591315,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,30
31,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,30.554796478591314,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,31
