t,O,R,I,S,demand
0,1.0,1.0,0.0,0.9999999964705881,0.0
1,1.0,1.0,0.0,0.9999999964705881,0.0
2,1.0,1.0,0.0,0.9999999964705881,0.0
3,1.0,1.0,0.0,0.9999999964705881,0.0
4,1.0,1.0,0.0,0.9999999964705881,0.0
5,1.0,1.0,0.0,0.9999999964705881,0.0
6,1.0,1.0,0.0,0.9999999964705881,0.0
7,1.0,1.0,0.0,0.9999999964705881,0.0
8,1.0,1.0,0.0,0.9999999964705881,0.0
9,1.0,1.0,0.0,0.9999999964705881,0.0
10,1.0,1.0,0.0,0.9999999964705881,0.0
11,1.0,0.9770165291143837,0.0,0.9999999964705881,0.0
12,1.0,0.9763439319396848,0.0,0.9999999964705881,0.0
13,1.0,0.981885844600906,0.0,0.9999999964705881,0.0
14,1.0,0.9844054833930125,0.0,0.9999999964705881,0.0
15,1.0,0.9900894301924946,0.0,0.9999999964705881,0.0
16,1.0,0.9836011076091706,0.0,0.9999999964705881,0.0
17,1.0,0.9827451510704446,0.0,0.9999999964705881,0.0
18,1.0,0.9874863749550232,0.0,0.9999999964705881,0.0
19,1.0,0.9909436188178554,0.0,0.9999999964705881,0.0
20,1.0,0.9948502510269125,0.0,0.9999999964705881,0.0
21,1.0,0.9986632948693696,0.0,0.9999999964705881,0.0
22,1.0,1.0,0.0,0.9999999964705881,0.0
23,1.0,0.9979275721325314,0.0,0.9999999964705881,0.0
24,1.0,1.0,0.0,0.9999999964705881,0.0
25,1.0,1.0,0.0,0.9999999964705881,0.0
26,1.0,0.9986550862267481,0.0,0.9999999964705881,0.0
27,1.0,0.9975785212980284,0.0,0.9999999964705881,0.0
28,1.0,0.9967107194971123,0.0,0.9999999964705881,0.0
29,1.0,0.9983428418679812,0.0,0.9999999964705881,0.0
30,1.0,1.0,0.0,0.9999999964705881,0.0
31,1.0,0.9999870481316112,0.0,0.9999999964705881,0.0
32,1.0,0.9982098471774448,0.0,0.9999999964705881,0.0
33,1.0,0.9985102796079645,0.0,0.9999999964705881,0.0
34,1.0,0.9990526561164245,0.0,0.9999999964705881,0.0
35,1.0,0.9965023636981447,0.0,0.9999999964705881,0.0
36,1.0,0.9920307869424257,0.0,0.9999999964705881,0.0
37,1.0,0.980592417454599,0.0,0.9999999964705881,0.0
38,1.0,0.9613194852274608,0.0,0.9999999964705881,0.0
39,1.0,0.9512833987184915,0.0,0.9999999964705881,0.0
40,1.0,0.9414067285710381,0.0,0.9999999964705881,0.0
41,1.0,0.9221052606480457,0.0,0.9999999964705881,0.0
42,1.0,0.896441670379802,0.0,0.9999999964705881,0.0
43,1.0,0.8732617331428403,0.0,0.9999999964705881,0.0
44,1.0,0.8605479513450682,0.0,0.9999999964705881,0.0
45,1.0,0.841114988224865,0.0,0.9999999964705881,0.0
46,1.0,0.8325998313798537,0.0,0.9999999964705881,0.0
47,1.0,0.8230752081424618,0.0,0.9999999964705881,0.0
48,1.0,0.8065239662864508,0.0,0.9999999964705881,0.0
49,1.0,0.7946357038672627,0.0,0.9999999964705881,0.0
50,1.0,0.7897640572228802,0.0,0.9999999964705881,0.0
51,1.0,0.7847811357500512,0.0,0.9999999964705881,0.0
52,1.0,0.7823480561929215,0.0,0.9999999964705881,0.0
53,1.0,0.7794078353005635,0.0,0.9999999964705881,0.0
54,1.0,0.7768404193611307,0.0,0.9999999964705881,0.0
55,1.0,0.7781391814403673,0.0,0.9999999964705881,0.0
56,1.0,0.780643492318115,0.0,0.9999999964705881,0.0
57,1.0,0.7815213629699033,0.0,0.9999999964705881,0.0
58,1.0,0.7847385054151518,0.0,0.9999999964705881,0.0
59,1.0,0.7875909026996958,0.0,0.9999999964705881,0.0
60,1.0,0.7906464837202969,0.35906337131453275,0.9999999964705881,0.0
61,1.0,0.793581337609395,0.34014316259717653,0.9999999964705881,0.0
62,1.0,0.7964602956301204,0.3199007217685738,0.9999999964705881,0.0
63,1.0,0.7992167535240042,0.3086895523176413,0.9999999964705881,0.0
64,1.0,0.8019488111688934,0.29621790441312257,0.9999999964705881,0.0
65,1.0,0.8042328087428382,0.2879640401053006,0.9999999964705881,0.0
66,1.0,0.8068092536326377,0.27027771555773156,0.9999999964705881,0.0
67,1.0,0.809292594416559,0.2375188736531968,0.9999999964705881,0.0
68,1.0,0.8118250010689084,0.22738985940667264,0.9999999964705881,0.0
69,1.0,0.8136025532820705,0.20522629546188173,0.9999999964705881,0.0
70,1.0,0.8154559349403206,0.18582385266087129,0.9999999964705881,0.0
71,1.0,0.8151896315348955,0.17429279040338114,0.9999999964705881,0.0
72,1.0,0.8151166750459752,0.15854588997836425,0.9999999964705881,0.0
73,1.0,0.812071980839033,0.15040297020935223,0.9999999964705881,0.0
74,1.0,0.8068511940276037,0.1539440828289299,0.9999999964705881,0.0
75,0.9976001352745238,0.7983535398457745,0.15629761404145137,0.9999999964705881,0.002399864725476176
76,0.9725866354673294,0.787423646308254,0.15633561176860344,0.9999999964705881,0.02741336453267061
77,0.994097195513685,0.779489867589095,0.15548629518176404,0.9999999964705881,0.005902804486314945
78,0.9910883189474419,0.771491327727242,0.16379583958503544,0.9999999964705881,0.00891168105255809
79,1.0,0.7673403655621412,0.15602174541777938,0.9999999964705881,0.0
80,1.0,0.7660844651435172,0.14104559028254013,0.9999999964705881,0.0
81,1.0,0.7665161431512747,0.13477836690208078,0.9999999964705881,0.0
82,1.0,0.7652197086667724,0.13948944133479727,0.9999999964705881,0.0
83,1.0,0.7633710811965516,0.13946364063038613,0.9999999964705881,0.0
84,1.0,0.7595811875782863,0.15052340929620223,0.9999999964705881,0.0
85,1.0,0.7574410056798151,0.1614632513468466,0.9999999964705881,0.0
86,0.9698310203945365,0.7487282311006118,0.1758928558114377,0.9999999964705881,0.03016897960546346
87,0.9332805698098013,0.7372780188515362,0.21206962883802485,0.9999999964705881,0.06671943019019869
