t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.99,0.99,0.01,9.801,0.0,0.0,0.0,0.0,1.0,25.181148065102732,real,0.0,-0.008111539144368504,0,1000.0,0.9,True,0
1,0.8776455989125476,0.01,0.01,0.08776455989125477,1.0,0.9122354401087452,0.9122354401087452,0.0,0.0,25.181148065102732,real,0.0,-0.008111539144368504,0,1000.0,0.9,True,1
2,0.9408111281107718,0.01,0.01,0.0940811128110772,1.0,0.9059188871889228,0.9059188871889228,0.0,0.0,25.181148065102732,real,0.0,-0.008111539144368504,1,1000.0,0.9,True,2
3,0.99,0.01,0.01,0.099,1.0,0.901,0.901,0.0,0.0,25.181148065102732,real,0.0,-0.008111539144368504,0,1000.0,0.9,True,3
4,0.8879888261721125,0.01,0.01,0.08879888261721125,1.0,0.9112011173827888,0.9112011173827888,0.0,0.0,25.181148065102732,real,0.0,-0.008111539144368504,0,1000.0,0.9,True,4
5,0.7742899778905136,0.01,0.01,0.07742899778905137,1.0,0.9225710022109487,0.9225710022109487,0.0,0.0,25.181148065102732,real,0.0,-0.008111539144368504,0,1000.0,0.9,True,5
6,0.7492300733259056,0.7388391518255708,0.01,5.535605118983224,0.2611608481744292,0.0,0.0,0.0,1.0,25.061148065102735,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,6
7,0.7031461482730796,0.777883477117308,0.01,5.469657707403054,0.222116522882692,0.0,0.0,0.0,1.0,24.941148065102734,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,7
8,0.6358906541108805,0.8406814114074425,0.01,5.345814525987368,0.1593185885925575,0.0,0.0,0.0,1.0,24.821148065102733,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,8
9,0.6658969676404327,0.8969226566000997,0.01,5.972580772380074,0.1030773433999003,0.0,0.0,0.0,1.0,24.701148065102732,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,9
10,0.7020300778847473,0.851341809804187,0.01,5.976675570433751,0.1486581901958129,0.0,0.0,0.0,1.0,24.581148065102735,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,10
11,0.7251978648243569,0.9147812008505845,0.01,6.63397373638305,0.0852187991494154,0.0,0.0,0.0,1.0,24.461148065102734,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,11
12,0.8051650079055532,0.8490509759130377,0.01,6.836261357332387,0.1509490240869622,0.0,0.0,0.0,1.0,24.341148065102733,real,-0.12,-0.008111539144368504,0,1000.0,0.9,True,12
13,0.8603140176070371,0.8848255546526802,0.01,7.612278278046223,0.1151744453473198,0.0,0.0,0.0,1.0,24.22114806510273,real,-0.1200000000000001,-0.008111539144368504,0,1000.0,0.9,True,13
14,0.8669395831843939,0.99,0.01,8.582701873525501,0.0,0.0,0.0,0.0,1.0,24.101148065102734,real,-0.1200000000000001,-0.008111539144368504,0,1000.0,0.9,True,14
