t,O,R,I,S,demand
0,1.0,1.0,0.0,0.0070921985815602835,0.0
1,0.8776455989125476,0.0,0.0,0.0070921985815602835,1.0
2,0.9408111281107718,0.0,0.0,0.014184397163120567,1.0
3,1.0,0.0,0.0,0.02127659574468085,1.0
4,0.8879888261721125,0.0,0.0,0.02127659574468085,1.0
5,0.7742899778905136,0.0,0.0,0.02127659574468085,1.0
6,0.7492300733259056,0.7388391518255708,0.0,0.02127659574468085,0.2611608481744292
7,0.7031461482730796,0.777883477117308,0.0,0.02127659574468085,0.22211652288269204
8,0.6358906541108805,0.8406814114074425,0.0,0.02127659574468085,0.15931858859255757
9,0.6658969676404327,0.8969226566000997,0.0,0.028368794326241134,0.10307734339990031
10,0.7020300778847473,0.851341809804187,0.0,0.03546099290780142,0.14865819019581297
11,0.7251978648243569,0.9147812008505845,0.0,0.0425531914893617,0.08521879914941549
12,0.8051650079055532,0.8490509759130377,0.0,0.04964539007092199,0.15094902408696229
13,0.8603140176070371,0.8848255546526802,0.0,0.05673758865248227,0.1151744453473198
14,0.8669395831843939,1.0,0.0,0.06382978723404255,0.0
15,0.8269825468555699,0.9691131466294504,0.0,0.06382978723404255,0.030886853370549663
16,0.9273091866433073,0.924447588654306,0.0,0.07092198581560284,0.075552411345694
17,0.8998878541131455,0.8877391146583746,0.0,0.07092198581560284,0.1122608853416254
18,0.843725035936566,0.8830380705026282,0.0,0.07092198581560284,0.11696192949737183
19,0.7623839240816416,0.858019706607057,0.0,0.07092198581560284,0.1419802933929431
20,0.8229884304824455,0.8116783182487433,0.0,0.07801418439716312,0.18832168175125671
21,0.7150013940830212,0.7373806775835552,0.0,0.07801418439716312,0.26261932241644487
22,0.7045340576150867,0.8572408105052121,0.0,0.07801418439716312,0.14275918949478794
23,0.6228932870056968,0.8317301823200596,0.0,0.07801418439716312,0.1682698176799404
24,0.6038464386978549,0.8274780797860815,0.0,0.07801418439716312,0.1725219202139185
25,0.6364175202650493,0.7964889419097294,0.3172976274193264,0.0851063829787234,0.20351105809027062
26,0.6312239487617874,0.8677411201799299,0.19699789853317048,0.0851063829787234,0.13225887982007015
27,0.6209554178494037,0.9496238525508994,0.06572176251101332,0.0851063829787234,0.05037614744910055
28,0.7147971491859568,0.7999055411465051,0.0,0.09219858156028368,0.20009445885349483
29,0.6502265413521189,0.8361416140670282,0.1671626651488725,0.09219858156028368,0.16385838593297175
30,0.6011552778710381,0.8052240328356615,0.0,0.09219858156028368,0.19477596716433854
31,0.6328261562626538,0.8059129496043127,0.0,0.09929078014184398,0.19408705039568724
32,0.6503021864002205,0.8030280221658085,0.2162087389725928,0.10638297872340426,0.19697197783419151
33,0.7029856285763073,0.7850329222839545,0.3157822249607617,0.11347517730496454,0.21496707771604545
34,0.6411112078804158,0.8448483821282056,0.9897662273655666,0.11347517730496454,0.15515161787179438
35,0.7417286064737416,0.7814702160578348,1.0,0.12056737588652482,0.21852978394216516
36,0.8552217471725563,0.7996982320049127,0.6878887936697449,0.1276595744680851,0.20030176799508728
37,0.974921113668998,0.7773109734028041,0.11969361588380382,0.1347517730496454,0.2226890265971959
38,1.0,0.7865486189560407,0.40544667910638466,0.14184397163120568,0.21345138104395933
39,0.9410988175164314,0.710227523593562,0.449256872331862,0.14184397163120568,0.28977247640643794
40,0.8283097682896676,0.6598258758586559,0.35051262693165336,0.14184397163120568,0.3401741241413441
41,0.9003362483664283,0.697332014270192,0.0,0.14893617021276595,0.302667985729808
42,0.9848669479859635,0.7371766981510626,0.0,0.15602836879432624,0.2628233018489374
43,0.9320340814589541,0.7849541846504947,0.0,0.15602836879432624,0.21504581534950526
44,1.0,0.7307670661850159,0.0,0.16312056737588654,0.2692329338149841
45,1.0,0.758025967831901,0.0,0.1702127659574468,0.24197403216809898
46,0.9837111524691824,0.8897607436664643,0.0,0.1702127659574468,0.11023925633353576
47,1.0,0.9003207198282732,0.0,0.1773049645390071,0.09967928017172678
48,1.0,0.9141862818618606,0.0,0.18439716312056736,0.08581371813813941
49,1.0,0.993245359171314,0.0,0.19148936170212766,0.006754640828686091
50,1.0,0.9934818473174054,0.0,0.19858156028368795,0.006518152682594624
51,1.0,0.9005029548677683,0.0,0.20567375886524822,0.09949704513223169
52,1.0,0.9880013151499462,0.0,0.2127659574468085,0.011998684850053834
53,1.0,0.9989379477643802,0.0,0.2198581560283688,0.0010620522356197945
54,0.9620541981123836,0.8690887008199019,0.0,0.2198581560283688,0.13091129918009814
55,1.0,0.8679248657856223,0.0,0.22695035460992907,0.13207513421437764
56,1.0,0.8794189235322382,0.0,0.23404255319148937,0.12058107646776187
57,1.0,0.9881437785862508,0.0,0.24113475177304963,0.011856221413749242
58,1.0,0.9962872714514411,0.0,0.24822695035460993,0.003712728548558848
59,1.0,0.9909063764279966,0.41804015861312693,0.2553191489361702,0.0090936235720034
60,1.0,1.0,0.5044856673459153,0.2624113475177305,0.0
61,1.0,1.0,0.5516054978766722,0.2695035460992908,0.0
62,1.0,1.0,0.7223391742606807,0.2765957446808511,0.0
63,0.8950703414182115,0.8551840296071263,0.7579425746133194,0.2765957446808511,0.1448159703928738
64,1.0,0.8130101695766101,1.0,0.28368794326241137,0.18698983042338985
65,1.0,0.8244634245187836,1.0,0.2907801418439716,0.17553657548121634
66,0.9633792581198851,0.8017734588974836,1.0,0.2907801418439716,0.19822654110251642
67,0.7864172550508134,0.6207863166542023,1.0,0.2907801418439716,0.3792136833457977
68,0.8348623512909006,0.6371010426786596,1.0,0.2978723404255319,0.3628989573213404
69,0.8777581442299183,0.6654726453678359,1.0,0.3049645390070922,0.33452735463216404
70,1.0,0.584478417864718,0.8749561499355203,0.3120567375886525,0.41552158213528195
71,1.0,0.5747391011315386,0.7877333068796474,0.3191489361702128,0.42526089886846136
72,1.0,0.5883697536741965,0.7013862638070772,0.3262411347517731,0.41163024632580353
73,0.7871479428919923,0.5227387625760818,0.523283082724134,0.3262411347517731,0.47726123742391824
74,1.0,0.3780770828683335,0.3618724317497493,0.3333333333333333,0.6219229171316665
75,1.0,0.3572161515439951,0.6871999371483415,0.3404255319148936,0.6427838484560049
76,1.0,0.30315263595277553,0.9987327081686331,0.3475177304964539,0.6968473640472245
77,0.9272837101455456,0.23728375824072945,1.0,0.3475177304964539,0.7627162417592706
78,1.0,0.2288773253875651,0.41460860811389766,0.3546099290780142,0.7711226746124349
79,1.0,0.5912631198357094,0.0,0.3617021276595745,0.4087368801642905
80,1.0,0.6521033691603988,0.11439584605386577,0.36879432624113473,0.3478966308396012
81,1.0,0.6602625916679834,0.0,0.375886524822695,0.33973740833201654
82,1.0,0.6150851583278303,0.0,0.3829787234042553,0.3849148416721697
83,1.0,0.8035634168603247,0.0,0.3900709219858156,0.1964365831396752
84,0.9248525294424685,0.6049073986790854,0.0,0.3900709219858156,0.3950926013209146
85,0.8534250131548379,0.4934989874014417,0.0,0.3900709219858156,0.5065010125985583
86,0.7848031477506723,0.4693236644787352,0.0,0.3900709219858156,0.5306763355212648
87,0.8290975502426116,0.4873116396134729,0.0,0.3971631205673759,0.5126883603865271
88,0.8061230888303765,0.8792613199222616,0.0,0.3971631205673759,0.12073868007773836
89,0.7453449866198767,0.9550872564555066,0.0,0.3971631205673759,0.04491274354449334
90,0.5206576490488064,0.5595172392784835,0.0,0.3971631205673759,0.44048276072151643
91,0.7350217791228882,0.13810215922196978,0.7008260286749434,0.40425531914893614,0.8618978407780302
92,0.7876530601410738,0.1350637423362503,0.8199391322857809,0.41134751773049644,0.8649362576637497
93,0.9571948942883273,0.06988966982144318,0.7390274467873534,0.41843971631205673,0.9301103301785568
94,0.9923495530296815,0.07641394973988624,0.7843120016238744,0.425531914893617,0.9235860502601138
95,0.7809894752469464,0.0,1.0,0.425531914893617,1.0
96,0.664848850762882,0.18316665034128454,1.0,0.425531914893617,0.8168333496587155
97,0.8600962439815774,0.2867720055882995,0.9465216027186206,0.4326241134751773,0.7132279944117005
98,0.5078861831252662,0.0,0.988044459039086,0.4326241134751773,1.0
99,0.606939964874361,0.0,0.9906490731805635,0.4397163120567376,1.0
100,0.57579308832251,0.0,1.0,0.4397163120567376,1.0
101,0.6885867594341876,0.0,0.20055173031187237,0.44680851063829785,1.0
102,0.9979059168532803,0.0,0.0,0.45390070921985815,1.0
103,1.0,0.0,0.0,0.46099290780141844,1.0
104,1.0,0.5315736655160759,0.013106548969814447,0.46808510638297873,0.4684263344839242
105,1.0,0.5197279305692648,0.0,0.475177304964539,0.48027206943073525
106,1.0,0.6382277999330251,0.0,0.48226950354609927,0.36177220006697486
107,0.8202863425984402,0.2000187610836467,0.0,0.48226950354609927,0.7999812389163533
108,0.802319481571542,0.28570081238890666,0.0,0.48226950354609927,0.7142991876110933
109,1.0,0.23514888117498345,0.0,0.48936170212765956,0.7648511188250166
110,1.0,0.28132077559431456,0.0,0.49645390070921985,0.7186792244056854
111,0.8008727944555332,0.09888268307524328,0.0,0.49645390070921985,0.9011173169247567
112,0.6581302152077853,0.30618752024873364,0.0,0.49645390070921985,0.6938124797512664
113,0.8091174043792877,0.2624004575919452,0.0,0.5035460992907801,0.7375995424080548
114,0.793092434749771,0.26277457503120205,0.0,0.5035460992907801,0.737225424968798
115,0.7083390440827728,0.431495658723244,0.0,0.5035460992907801,0.568504341276756
116,0.7521354740206803,0.43738275501932267,0.0,0.5106382978723404,0.5626172449806773
117,0.6481402728331198,0.5036191786270898,0.0,0.5106382978723404,0.4963808213729102
118,0.6074978181771613,0.5988551587051743,0.0,0.5106382978723404,0.4011448412948257
119,0.6176790478313454,0.8426383804178798,0.0,0.5177304964539007,0.15736161958212028
120,0.6849201023402813,0.7430000283401872,0.0,0.524822695035461,0.2569999716598128
121,0.7360439190232462,0.7639555181074066,0.0,0.5319148936170213,0.2360444818925934
122,0.8619165556057284,0.6788320904998071,0.0,0.5390070921985816,0.3211679095001929
123,0.8889031218775442,0.8525941326357891,0.0,0.5460992907801419,0.14740586736421085
124,0.7453122751935584,0.6691875234451715,0.0,0.5460992907801419,0.3308124765548285
125,0.8773616393924285,0.6180476474801389,0.0,0.5531914893617021,0.3819523525198612
126,0.9189936096892529,0.6269819203829685,0.0,0.5602836879432624,0.3730180796170315
127,0.8704759237995863,0.5984933181475997,0.0,0.5602836879432624,0.40150668185240035
128,0.7529796568823655,0.6067506283163581,0.0807781288263632,0.5602836879432624,0.39324937168364194
129,0.42754702658216004,0.03425915991374073,0.0,0.5602836879432624,0.9657408400862593
130,0.394244200608484,0.039962960690805516,0.0,0.5602836879432624,0.9600370393091945
131,0.3387944098842943,0.2198837420990739,0.0,0.5602836879432624,0.7801162579009261
132,0.28355769421164434,0.3373578082345864,0.0,0.5602836879432624,0.6626421917654136
133,0.17350841944850803,0.2871025707519853,0.0,0.5602836879432624,0.7128974292480147
134,0.16881320994496052,0.19554160167735235,0.0,0.5602836879432624,0.8044583983226476
135,0.21396500964458676,0.20141227893837654,0.0371606912494481,0.5673758865248227,0.7985877210616235
136,0.2047583253407127,0.19344946092825654,0.323499273361694,0.5673758865248227,0.8065505390717435
137,0.2600103404934575,0.03244983825610048,0.824511359889219,0.574468085106383,0.9675501617438995
138,0.2645014147560918,0.06806933041580121,0.5918985017642109,0.5815602836879432,0.9319306695841988
139,0.26360587918963574,0.6536602673452603,1.0,0.5815602836879432,0.3463397326547397
140,0.28721739038572636,0.6912595331501625,0.8723099201484261,0.5886524822695035,0.3087404668498374
141,0.2729958791148669,0.7443662418115331,0.9121023220532396,0.5886524822695035,0.2556337581884669
142,0.30815974136436264,0.7638872376389773,0.40607582978773105,0.5957446808510638,0.23611276236102272
143,0.24279937981864974,0.653755488040429,0.4276303621879669,0.5957446808510638,0.346244511959571
144,0.23553127124824125,0.6566340617242401,0.11080331573761937,0.5957446808510638,0.34336593827575995
145,0.24701838881785965,0.6438563978763121,0.06455956862602052,0.6028368794326241,0.3561436021236879
146,0.14684127436659322,0.2204151108201442,0.0,0.6028368794326241,0.7795848891798558
