t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,0
1,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,1
2,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,2
3,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,3
4,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,4
5,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,5
6,0.01,0.01,0.01,0.0010000000000000002,0.2467230997457668,0.2457230997457668,0.2457230997457668,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,6
7,0.01,0.01,0.01,0.0010000000000000002,0.2124786533588025,0.2114786533588025,0.2114786533588025,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,7
8,0.01,0.01,0.01,0.0010000000000000002,0.1550089417042285,0.1540089417042285,0.1540089417042285,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,8
9,0.01,0.01,0.01,0.0010000000000000002,0.1009393719236822,0.0999393719236822,0.0999393719236822,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,9
10,0.01,0.01,0.01,0.0010000000000000002,0.1437612262432142,0.1427612262432142,0.1427612262432142,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,10
11,0.01,0.01,0.01,0.0010000000000000002,0.0893112353053745,0.0883112353053745,0.0883112353053745,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,11
12,0.01,0.01,0.01,0.0010000000000000002,0.1524218373091956,0.1514218373091956,0.1514218373091956,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,12
13,0.01,0.01,0.01,0.0010000000000000002,0.1189178969777649,0.1179178969777649,0.1179178969777649,0.0,0.0,2.3112081188846427,real,0.0,0.05606593928830241,0,1000.0,0.9,True,13
14,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,2.191208118884643,real,-0.12,0.05606593928830241,0,1000.0,0.9,True,14
15,0.01,0.01,0.01,0.0010000000000000002,0.0460437654802129,0.0450437654802129,0.0450437654802129,0.0,0.0,2.191208118884643,real,0.0,0.05606593928830241,0,1000.0,0.9,True,15
16,0.01,0.01,0.01,0.0010000000000000002,0.0895539693146003,0.0885539693146003,0.0885539693146003,0.0,0.0,2.191208118884643,real,0.0,0.05606593928830241,0,1000.0,0.9,True,16
17,0.01,0.01,0.01,0.0010000000000000002,0.1236355140796004,0.1226355140796004,0.1226355140796004,0.0,0.0,2.191208118884643,real,0.0,0.05606593928830241,0,1000.0,0.9,True,17
18,0.01,0.01,0.01,0.0010000000000000002,0.1261304464379288,0.1251304464379288,0.1251304464379288,0.0,0.0,2.191208118884643,real,0.0,0.05606593928830241,0,1000.0,0.9,True,18
