t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
0,0.8851980180530173,0.98014247053685,0.01,8.676201723288077,0.0670171147235843,0.0,0.0,0.0,1.0,26.38098789469007,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,0
1,0.8395588021070297,0.980201489207751,0.01,8.22936788102786,0.0694723441594533,0.0,0.0,0.0,1.0,26.26098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,1
2,0.8671830756371057,0.9147519939437592,0.01,7.932574475533243,0.0908971042845566,0.0,0.0,0.0,1.0,26.14098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,2
3,0.8196941869993584,0.9083809982093426,0.01,7.445946238128727,0.1213725969872226,0.0,0.0,0.0,1.0,26.02098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,3
4,0.7961314737901249,0.8979689236552543,0.01,7.149013226073898,0.0685175419044601,0.0,0.0,0.0,1.0,25.90098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,4
5,0.8110182650714306,0.8596474074018773,0.01,6.971897489242238,0.0433438064805152,0.0,0.0,0.0,1.0,25.78098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,5
6,0.8209649157883998,0.8435402640418711,0.01,6.925169618332593,0.0144557354261935,0.0,0.0,0.0,1.0,25.66098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,6
7,0.8436170993027016,0.8369936184322238,0.01,7.061021285166648,0.0135748313030087,0.0,0.0,0.0,1.0,25.54098789469007,real,-0.12,-0.07560000000000006,0,1000.0,0.9,True,7
8,0.8254292481680661,0.8527947332658761,0.01,7.039217155213385,0.0185714254690138,0.0,0.0,0.0,1.0,25.42098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,8
9,0.8131131527700715,0.9116226412598823,0.01,7.412523599714028,0.0052805164849451,0.0,0.0,0.0,1.0,25.30098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,9
10,0.7769958789050877,0.943744471600462,0.01,7.332855651730186,0.0,0.0,0.0,0.0,1.0,25.18098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,10
11,0.7285102635496182,0.9759772328099056,0.01,7.110094310927714,0.0236456402228899,0.0,0.0,0.0,1.0,25.06098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,11
12,0.6857637239182609,0.940947864956201,0.01,6.4526791188530135,0.0,0.0,0.0,0.0,1.0,24.940987894690068,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,12
13,0.7029769450389018,0.9094369686852856,0.01,6.393132219518216,0.0,0.0,0.0,0.0,1.0,24.82098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,13
14,0.6955179851016495,0.911222298513106,0.01,6.337714970415293,0.0160731944552439,0.0,0.0,0.0,1.0,24.70098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,14
15,0.6617916202519489,0.848381926085009,0.01,5.614520494562672,0.0351684116697385,0.0,0.0,0.0,1.0,24.580987894690068,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,15
16,0.6785592592521156,0.8518564374694596,0.01,5.7803507319842256,0.0300529725282132,0.0,0.0,0.0,1.0,24.46098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,16
17,0.7053912684125839,0.8697708321227356,0.01,6.135287504993251,0.0402277785546322,0.0,0.0,0.0,1.0,24.34098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,17
18,0.7589545982554401,0.8744456516283335,0.01,6.636645482277984,0.0369208167715739,0.0,0.0,0.0,1.0,24.22098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,18
19,0.8071691214453885,0.8538263712285491,0.01,6.8918228193145215,0.0581464537508844,0.0,0.0,0.0,1.0,24.100987894690068,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,19
20,0.7843002995906886,0.8531043420920372,0.0232541356080002,15.559109386643957,0.0143654621399899,0.0,0.0,0.0,1.0,23.980987894690067,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,20
21,0.8135602896038499,0.8580648357152378,0.1940594580644626,135.47047732137653,0.0163038665978229,0.0,0.0,0.0,1.0,23.86098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,21
22,0.7925875627707497,0.7930474300947485,0.6625112014438267,416.42772925378176,0.0192097744097794,0.0,0.0,0.0,1.0,23.74098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,22
23,0.7952273046240466,0.7565792718706628,0.7910794643551483,475.95493355491436,0.0544896700617199,0.0,0.0,0.0,1.0,23.620987894690067,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,23
24,0.8166421684696568,0.7885056019583828,0.8385335930417087,539.9543577694492,0.0800274331230427,0.0,0.0,0.0,1.0,23.50098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,24
25,0.8348461357476485,0.7678715327341695,0.8454182605198095,541.9592494890472,0.0670768965414302,0.0,0.0,0.0,1.0,23.38098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,25
26,0.9037454738629016,0.765688355123543,0.8558773946632642,592.2563604981663,0.0280754912341497,0.0,0.0,0.0,1.0,23.260987894690068,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,26
27,0.9357295290115742,0.7506229753237101,0.9357489808357916,657.2514469809341,0.04321671930339,0.0,0.0,0.0,1.0,23.140987894690067,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,27
28,0.9527134085071566,0.7291288400244973,0.9625204828161534,668.6156449849219,0.028756911898599,0.0,0.0,0.0,1.0,23.020987894690066,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,28
29,0.9563221932165108,0.7697196079308047,0.99,728.7389441819586,0.0152217876254434,0.0,0.0,0.0,1.0,22.90098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,29
30,0.99,0.7403820086559987,0.9844667245329154,721.592636455025,0.0,0.0,0.0,0.0,1.0,22.780987894690067,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,30
31,0.99,0.7673208188341983,0.99,752.0511345393978,0.0,0.0,0.0,0.0,1.0,22.660987894690066,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,31
32,0.97708288984719,0.7991986307901373,0.99,773.0744746570014,0.0218284924815732,0.0,0.0,0.0,1.0,22.54098789469007,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,32
33,0.9775904245710496,0.793242592884166,0.99,767.7116995338173,0.0141646552318421,0.0,0.0,0.0,1.0,22.420987894690068,real,-0.1200000000000001,-0.07560000000000006,0,1000.0,0.9,True,33
