t,O,R,I,S,demand
0,0.8851980180530173,0.9801424705368501,0.0,0.0,0.06701711472358433
1,0.8395588021070297,0.980201489207751,0.0,0.006404319414042044,0.0694723441594533
2,0.8671830756371057,0.9147519939437592,0.0,0.006404319414042044,0.0908971042845566
3,0.8196941869993584,0.9083809982093426,0.0,0.006404319414042044,0.1213725969872226
4,0.7961314737901249,0.8979689236552543,0.0,0.006404319414042044,0.06851754190446019
5,0.8110182650714306,0.8596474074018773,0.0,0.011250832832717755,0.043343806480515286
6,0.8209649157883998,0.8435402640418711,0.0,0.02083333168842718,0.014455735426193573
7,0.8436170993027016,0.8369936184322238,0.0,0.021780698202804618,0.01357483130300878
8,0.8254292481680661,0.8527947332658761,0.0,0.032350720191855385,0.018571425469013886
9,0.8131131527700715,0.9116226412598825,0.0,0.032350720191855385,0.005280516484945135
10,0.7769958789050877,0.9437444716004619,0.0,0.0393555696619486,0.0
11,0.7285102635496182,0.9759772328099056,0.0,0.0393555696619486,0.023645640222889924
12,0.6857637239182609,0.940947864956201,0.0,0.0393555696619486,0.0
13,0.7029769450389018,0.9094369686852855,0.0,0.0393555696619486,0.0
14,0.6955179851016495,0.911222298513106,0.0,0.052283940412186765,0.016073194455243932
15,0.6617916202519489,0.848381926085009,0.0,0.052283940412186765,0.03516841166973854
16,0.6785592592521156,0.8518564374694596,0.0,0.054888973484001555,0.030052972528213224
17,0.7053912684125839,0.8697708321227356,0.0,0.054888973484001555,0.04022777855463225
18,0.7589545982554401,0.8744456516283335,0.0,0.06808479290325503,0.036920816771573974
19,0.8071691214453885,0.8538263712285491,0.0,0.07294959716396121,0.05814645375088441
20,0.7843002995906886,0.8531043420920372,0.023254135608000298,0.07294959716396121,0.01436546213998991
21,0.8135602896038499,0.8580648357152378,0.19405945806446262,0.08122213069487706,0.016303866597822944
22,0.7925875627707497,0.7930474300947485,0.6625112014438267,0.09211580054227653,0.01920977440977948
23,0.7952273046240466,0.7565792718706628,0.7910794643551483,0.09211580054227653,0.054489670061719925
24,0.8166421684696568,0.7885056019583828,0.8385335930417087,0.0985367319038825,0.08002743312304277
25,0.8348461357476485,0.7678715327341695,0.8454182605198095,0.1094141729832901,0.06707689654143029
26,0.9037454738629015,0.765688355123543,0.8558773946632642,0.11647396715296701,0.028075491234149735
27,0.9357295290115742,0.7506229753237101,0.9357489808357916,0.11647396715296701,0.04321671930339003
28,0.9527134085071566,0.7291288400244973,0.9625204828161534,0.12270119850811964,0.028756911898599007
29,0.9563221932165108,0.7697196079308047,0.9943934995389144,0.12402876368514368,0.015221787625443498
30,0.9900358322328803,0.7403820086559987,0.9844667245329154,0.12973036945902766,0.0
31,1.0,0.7673208188341983,0.9909682802620938,0.1339963190155442,0.0
32,0.9770828898471899,0.7991986307901373,1.0,0.14109049780432398,0.02182849248157324
33,0.9775904245710496,0.793242592884166,1.0,0.14109049780432398,0.014164655231842106
34,0.929903502969476,0.7928708995156949,1.0,0.14360872991414705,0.005594321554182792
35,0.9350623609873439,0.8026120289990585,0.9436549328602908,0.15422329764666412,0.002574475612522778
36,0.9448613807939474,0.7820495835334473,0.7414084565216483,0.15674145037520673,0.011045924156229596
37,0.8926448670129502,0.7893056398237113,0.4625500793980737,0.17142749870759835,0.01919519735736889
38,0.9250254600061896,0.7817997919664796,0.0,0.1858837130353633,9.634429829902959e-05
39,0.9030437642718884,0.7682173171664191,0.0,0.1926081923448472,0.006491170597297093
40,0.9138140906231792,0.7850558555814408,0.0,0.20109063538179012,0.006165842828659047
41,0.9305954078822514,0.7975794385178742,0.0,0.21673812101581127,0.0
42,0.9375253650504056,0.8244666542350454,0.0,0.21673812101581127,0.0
43,0.9150827651312953,0.8231029024357621,0.0,0.21673812101581127,0.0
44,0.9178919694215344,0.796312457206367,0.0,0.21673812101581127,0.0
45,0.8960562507408487,0.8475978834957798,0.0,0.21673812101581127,0.0
46,0.9611396522619741,0.8579354719669258,0.0,0.2185663942611419,0.0
47,0.9913787967148278,0.8634505935754713,0.0,0.21886665599985644,0.0
48,0.9452970712621349,0.8459565622845868,0.012572060488808748,0.21886665599985644,0.023841206020008988
49,0.987272185497042,0.8431318351778307,0.15161700714483956,0.21886665599985644,0.023521696904703078
50,1.0,0.8360486745782004,0.0,0.21886665599985644,0.07059978815985553
51,1.0,0.8428619691917771,0.0,0.23517301347284048,0.07890547341801844
52,1.0,0.8354811049505599,0.0,0.24492063085816473,0.08519867167350445
53,1.0,0.8312347176789106,0.0,0.25949865728877375,0.08588582471978096
54,1.0,0.850489659740524,0.0,0.25949865728877375,0.11051916172992833
55,1.0,0.8597143224114576,0.0,0.26068006529376747,0.10227305363374427
56,1.0,0.8865649792572229,0.0,0.26068006529376747,0.10760483098791906
