t,O,R,I,S,demand
0,0.0,0.058430580307182844,0.1806445493568257,0.0,0.12543935413746904
1,0.0,0.05050196339088686,0.19862484857580626,0.0,0.12824231724701227
2,0.0,0.09965613851446087,0.20462460359351586,0.015973408940079484,0.06357628157604939
3,0.0,0.08021294345101537,0.17355631445190103,0.01637151111377005,0.12146165598244285
4,0.0,0.060749631530402914,0.1485469153514463,0.01637151111377005,0.14047171618659943
5,0.011216639588145939,0.09393715420385296,0.1626689098396326,0.020319716826016257,0.17401875626366275
6,0.011526356641499121,0.11211728946461663,0.14645217664891907,0.024645481545307674,0.17260130846696212
7,0.00021331298383704428,0.18718515489556287,0.12433659013635573,0.03342635349863318,0.18391980731197186
8,0.0,0.15812227821843972,0.11672090869251975,0.03385598592634512,0.1278110935321184
9,0.0,0.1199947773360891,0.08009398228420529,0.03385598592634512,0.06942748588683204
10,0.0,0.10075254408499679,0.11128395553194707,0.04381401830475876,0.04811771482332612
11,0.0,0.09795853899805673,0.14773442189737238,0.04553360469856322,0.07648918375866616
12,0.0,0.12687087951971132,0.1653544542804736,0.05233466748903777,0.02390180015946117
13,0.0,0.12887346516178233,0.18271996226365625,0.05732744491712392,0.020209333452909206
14,0.0,0.07120563976366068,0.17765179376191478,0.05732744491712392,0.0
15,0.03253633040830015,0.03782983215960389,0.1877752017029376,0.06780019782105541,0.0
16,0.03484055809381974,0.08398410210984086,0.1448476747624812,0.07478933482368869,0.0
17,0.05846919609551412,0.07673345616686489,0.12511706452310578,0.08169520108740051,0.0
18,0.06249775688956106,0.07289680463685055,0.16127422171982525,0.09758316719290512,0.0
19,0.07787849675641167,0.1112446051092365,0.1764782908241645,0.09884774894179153,0.04877675913976256
20,0.10053008271971618,0.06495772204778816,0.16323939873829493,0.10665635990895787,0.07267235529572122
21,0.12012071863681813,0.11141191595110922,0.18460285594333287,0.11963262831128305,0.07973942604712604
22,0.13616499210250174,0.092412119051836,0.205756019599528,0.12564291569188896,0.0542183454019919
23,0.13745447478182723,0.14258668747947956,0.20433055519751586,0.13162559588013412,0.02997707193125887
24,0.16899986788095894,0.1193202076364166,0.15974379113290693,0.13200881777454038,0.07671530862066815
25,0.17928796878308156,0.11121436364588289,0.13269778826240547,0.13710562199920368,0.028399497998304355
26,0.2290943698133078,0.10963166195010021,0.13828175491056205,0.13710562199920368,0.06507207647593441
27,0.18978979555781625,0.10389336741809974,0.14074374625713196,0.13734058602721663,0.05325155565564247
28,0.18140211843507892,0.0587756580423614,0.1370677570860391,0.1386673138755279,0.0579343182600532
29,0.18587066118614703,0.04295496528300691,0.09309220144009273,0.14259291126960247,0.09995425070244106
30,0.19504847599431088,0.007679348198798119,0.10022907999538436,0.14418928408410164,0.18367145938485185
31,0.17608633344359706,0.0,0.11642421484820648,0.15547414766779213,0.1509515673664783
32,0.16044608341821703,0.0,0.1153429511221944,0.15964484592483033,0.16389889908411207
33,0.20863075787582802,0.0,0.11726461534735041,0.1646397180526552,0.14299731671072025
34,0.2075569042826041,0.0,0.11824710439481928,0.1646397180526552,0.10749089883816652
35,0.20821362029602636,0.0,0.10469609079262338,0.1646397180526552,0.11281755618692
36,0.15737340251004345,0.005687344300435271,0.12595599080778958,0.1646397180526552,0.07774271319662827
37,0.1595448854967764,0.016735531677288473,0.1459654103403127,0.177031610808788,0.060998356388765496
38,0.15594166638368814,0.06440219877037978,0.16311046375095128,0.1789722418027009,0.05557098656957382
39,0.18759324127595312,0.05531556688325656,0.09829160957779638,0.1789722418027009,0.1522981376653693
40,0.19639766785430776,0.07246075944778751,0.14285815730703635,0.1818669516130848,0.18460183499023192
41,0.24677615735927858,0.05685751495586777,0.14461223222796007,0.1879196189873474,0.17455982110124613
42,0.2541312112772469,0.04682106763750615,0.14848312636363165,0.19241034485673422,0.2276749947563138
43,0.2223662140099716,0.0678727008346992,0.13525933585001865,0.2037736956740493,0.23111728152438607
44,0.2145062947274562,0.06471056533884767,0.12655064156274623,0.2114104300337863,0.28247807794386937
45,0.1836955526815664,0.05300849304625299,0.14303689469021197,0.2114104300337863,0.23432991334856637
46,0.1998556731493283,0.0791119180936618,0.09527194457680856,0.21347406765519697,0.213110891123427
47,0.17437169314621895,0.12098023233059907,0.07719670018475172,0.2158675778733911,0.22725276770940597
48,0.1676644531816445,0.11344688087549348,0.09584480337125299,0.2158675778733911,0.21375749316041667
49,0.1779397747625565,0.16119385498976657,0.08828945551495239,0.2184619040275091,0.2380891877502066
